ID	PHYLLO09_pathabundance	PHYLLO10_pathabundance	PHYLLO11_pathabundance	PHYLLO12_pathabundance	PHYLLO13_pathabundance	PHYLLO14_pathabundance	PHYLLO15_pathabundance	PHYLLO16_pathabundance	PHYLLO17_pathabundance	PHYLLO18_pathabundance	PHYLLO19_pathabundance	PHYLLO20_pathabundance	PHYLLO21_pathabundance	PHYLLO22_pathabundance	PHYLLO23_pathabundance	PHYLLO24_pathabundance	PHYLLO25_pathabundance	PHYLLO26_pathabundance	PHYLLO27_pathabundance	PHYLLO28_pathabundance	PHYLLO29_pathabundance
# Pathway	PHYLLO09_Abundance	PHYLLO10_Abundance	PHYLLO11_Abundance	PHYLLO12_Abundance	PHYLLO13_Abundance	PHYLLO14_Abundance	PHYLLO15_Abundance	PHYLLO16_Abundance	PHYLLO17_Abundance	PHYLLO18_Abundance	PHYLLO19_Abundance	PHYLLO20_Abundance	PHYLLO21_Abundance	PHYLLO22_Abundance	PHYLLO23_Abundance	PHYLLO24_Abundance	PHYLLO25_Abundance	PHYLLO26_Abundance	PHYLLO27_Abundance	PHYLLO28_Abundance	PHYLLO29_Abundance
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	102.6335952122	331.2475983991	0.0	0.0	5.7548726465	2.0053855458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.6184063350	4.7267165625	9.7780362720	6.3199849844	23.0477953225	33.8435242448	0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	20.5751191061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7240326599	0.0	0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Pantoea.s__Pantoea_agglomerans	0.0	13.1956290445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	8.4316896376	13.5607912884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	0.0	12.4215384799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4846828306	0.0	0.0	5.1363204652	0.0	25.6054877239	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	2.5137976172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9670802026	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9670802026	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Pantoea.s__Pantoea_ananatis	0.0	2.0501203165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
