ID	PHYLLO09_pathcoverage	PHYLLO10_pathcoverage	PHYLLO11_pathcoverage	PHYLLO12_pathcoverage	PHYLLO13_pathcoverage	PHYLLO14_pathcoverage	PHYLLO15_pathcoverage	PHYLLO16_pathcoverage	PHYLLO17_pathcoverage	PHYLLO18_pathcoverage	PHYLLO19_pathcoverage	PHYLLO20_pathcoverage	PHYLLO21_pathcoverage	PHYLLO22_pathcoverage	PHYLLO23_pathcoverage	PHYLLO24_pathcoverage	PHYLLO25_pathcoverage	PHYLLO26_pathcoverage	PHYLLO27_pathcoverage	PHYLLO28_pathcoverage	PHYLLO29_pathcoverage
# Pathway	PHYLLO09_Coverage	PHYLLO10_Coverage	PHYLLO11_Coverage	PHYLLO12_Coverage	PHYLLO13_Coverage	PHYLLO14_Coverage	PHYLLO15_Coverage	PHYLLO16_Coverage	PHYLLO17_Coverage	PHYLLO18_Coverage	PHYLLO19_Coverage	PHYLLO20_Coverage	PHYLLO21_Coverage	PHYLLO22_Coverage	PHYLLO23_Coverage	PHYLLO24_Coverage	PHYLLO25_Coverage	PHYLLO26_Coverage	PHYLLO27_Coverage	PHYLLO28_Coverage	PHYLLO29_Coverage
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.0259187844	0.0000000000	0.0	0.0	0.4604398569	0.2207335694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0000000000	0.8196910698	0.0691883912	0.0000000004	0.0600785841	0.0000000000	0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1	0.0015189525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0194137781	0.0	0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Pantoea.s__Pantoea_agglomerans	0.0	0.1405161479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	0.0340740876	0.1348033261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	0.0	0.0039104432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3785988444	0.0	0.0	0.0001121111	0.0	0.0000089765	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0000307365	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0220376727	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Pantoea.s__Pantoea_ananatis	0.0	0.2966759452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
