# Gene Family	SampleAmmonia_assimilation_Abundance-RPKs
UNMAPPED	29576.0000000000
UniRef50_H9UVF3: PilL	9542.5821117877
UniRef50_H9UVF3: PilL|unclassified	9542.5821117877
UniRef50_UPI00047132A1: nitrogen regulatory protein P-II 1	9472.1297117039
UniRef50_UPI00047132A1: nitrogen regulatory protein P-II 1|unclassified	9472.1297117039
UniRef50_UPI0003B4EBBD: nitrogen regulatory protein P-II 1	8122.1212064736
UniRef50_UPI0003B4EBBD: nitrogen regulatory protein P-II 1|unclassified	8122.1212064736
UniRef50_K2GIA5	4782.7765606067
UniRef50_K2GIA5|unclassified	4782.7765606067
UniRef50_P09832: Glutamate synthase [NADPH] small chain	3462.3431176539
UniRef50_P09832: Glutamate synthase [NADPH] small chain|unclassified	3462.3431176539
UniRef50_UPI00036591B2: hypothetical protein	3446.3713316237
UniRef50_UPI00036591B2: hypothetical protein|unclassified	3446.3713316237
UniRef50_P09831: Glutamate synthase [NADPH] large chain	2269.2526265757
UniRef50_P09831: Glutamate synthase [NADPH] large chain|unclassified	2269.2526265757
UniRef50_UPI0004746A8A: ammonia channel protein, partial	2011.5775409731
UniRef50_UPI0004746A8A: ammonia channel protein, partial|unclassified	2011.5775409731
UniRef50_W1AGW8	1955.4899061302
UniRef50_W1AGW8|unclassified	1955.4899061302
UniRef50_V4R440: Glutamate synthase subunit beta	1577.5036394265
UniRef50_V4R440: Glutamate synthase subunit beta|unclassified	1577.5036394265
UniRef50_R4MBY5	1564.0523149994
UniRef50_R4MBY5|unclassified	1564.0523149994
UniRef50_UPI000181692F: probable ammonium transporter (partial sequence c terminus) protein	1454.0804587029
UniRef50_UPI000181692F: probable ammonium transporter (partial sequence c terminus) protein|unclassified	1454.0804587029
UniRef50_UPI00037A9346: hypothetical protein	1374.7083367120
UniRef50_UPI00037A9346: hypothetical protein|unclassified	1374.7083367120
UniRef50_Q667I7: Bifunctional uridylyltransferase/uridylyl-removing enzyme	1346.9590164849
UniRef50_Q667I7: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	1346.9590164849
UniRef50_P0A2E0: Nitrogen regulation protein NR(II)	1298.9644114877
UniRef50_P0A2E0: Nitrogen regulation protein NR(II)|unclassified	1298.9644114877
UniRef50_K8B134	1297.1335878055
UniRef50_K8B134|unclassified	1297.1335878055
UniRef50_Q3JWI9: PilL	1270.1452099466
UniRef50_Q3JWI9: PilL|unclassified	1270.1452099466
UniRef50_UPI0003810EE7: hypothetical protein	1250.4392784432
UniRef50_UPI0003810EE7: hypothetical protein|unclassified	1250.4392784432
UniRef50_N2RDZ5: Pyridine nucleotide-disulfide oxidoreductase family protein	1236.8309614340
