# Gene Family	SampleArginine_Biosynthesis_extended_Abundance-RPKs
UNMAPPED	13079.0000000000
UniRef50_UPI00037AA99C: hypothetical protein	3443.4922773710
UniRef50_UPI00037AA99C: hypothetical protein|unclassified	3443.4922773710
UniRef50_P57850: Arginine repressor	3057.1256324979
UniRef50_P57850: Arginine repressor|unclassified	3057.1256324979
UniRef50_A4YJX9: Argininosuccinate synthase	3037.5929258048
UniRef50_A4YJX9: Argininosuccinate synthase|unclassified	3037.5929258048
UniRef50_Q47VK9: Arginine repressor	2684.5161066787
UniRef50_Q47VK9: Arginine repressor|unclassified	2684.5161066787
UniRef50_R5WIQ1	2671.6319227669
UniRef50_R5WIQ1|unclassified	2671.6319227669
UniRef50_Q731B9: Arginine repressor	2560.3199030549
UniRef50_Q731B9: Arginine repressor|unclassified	2560.3199030549
UniRef50_Q8FAD6: Ornithine carbamoyltransferase	2523.0217275193
UniRef50_Q8FAD6: Ornithine carbamoyltransferase|unclassified	2523.0217275193
UniRef50_B7MI93: Acetylornithine deacetylase	2410.7312688102
UniRef50_B7MI93: Acetylornithine deacetylase|unclassified	2410.7312688102
UniRef50_P0C1A0: Argininosuccinate synthase (Fragment)	2294.4656011453
UniRef50_P0C1A0: Argininosuccinate synthase (Fragment)|unclassified	2294.4656011453
UniRef50_P59302: Acetylglutamate kinase	2262.7842244651
UniRef50_P59302: Acetylglutamate kinase|unclassified	2262.7842244651
UniRef50_P24532: Argininosuccinate synthase	2126.0271404928
UniRef50_P24532: Argininosuccinate synthase|unclassified	2126.0271404928
UniRef50_Q01322: Ornithine carbamoyltransferase (Fragment)	1991.2090231016
UniRef50_Q01322: Ornithine carbamoyltransferase (Fragment)|unclassified	1991.2090231016
UniRef50_Q1C8B1: Succinylornithine transaminase	1944.2448950202
UniRef50_Q1C8B1: Succinylornithine transaminase|unclassified	1944.2448950202
UniRef50_Q01323: Ornithine carbamoyltransferase (Fragment)	1907.9951502908
UniRef50_Q01323: Ornithine carbamoyltransferase (Fragment)|unclassified	1907.9951502908
UniRef50_Q7N8S4: Amino-acid acetyltransferase	1841.3482766170
UniRef50_Q7N8S4: Amino-acid acetyltransferase|unclassified	1841.3482766170
UniRef50_Q5PK75: N-acetyl-gamma-glutamyl-phosphate reductase	1784.6747718898
UniRef50_Q5PK75: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1784.6747718898
UniRef50_Q8CU41: Ornithine carbamoyltransferase 1, catabolic	1672.4159802841
UniRef50_Q8CU41: Ornithine carbamoyltransferase 1, catabolic|unclassified	1672.4159802841
UniRef50_A8AQR1	1615.5557025158
UniRef50_A8AQR1|unclassified	1615.5557025158
UniRef50_A7Z7M0: Argininosuccinate synthase	1494.6223543146
UniRef50_A7Z7M0: Argininosuccinate synthase|unclassified	1494.6223543146
UniRef50_B7N653: Succinyl-diaminopimelate desuccinylase	1486.1415524630
UniRef50_B7N653: Succinyl-diaminopimelate desuccinylase|unclassified	1486.1415524630
UniRef50_Q9CLT9: Acetylornithine deacetylase	1477.0469614219
UniRef50_Q9CLT9: Acetylornithine deacetylase|unclassified	1477.0469614219
UniRef50_Q6AA77: Ornithine carbamoyltransferase	1369.0522231329
UniRef50_Q6AA77: Ornithine carbamoyltransferase|unclassified	1369.0522231329
UniRef50_B2S8N8: Argininosuccinate lyase	1359.0953827736
UniRef50_B2S8N8: Argininosuccinate lyase|unclassified	1359.0953827736
UniRef50_Q7WJI7: Argininosuccinate lyase	1324.6235106959
UniRef50_Q7WJI7: Argininosuccinate lyase|unclassified	1324.6235106959
UniRef50_Q9KNT6: N-acetyl-gamma-glutamyl-phosphate reductase	1320.9036742142
UniRef50_Q9KNT6: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1320.9036742142
UniRef50_A0KLC8: Amino-acid acetyltransferase	1318.3588761136
UniRef50_A0KLC8: Amino-acid acetyltransferase|unclassified	1318.3588761136
UniRef50_G8LKZ7	1316.3863537295
UniRef50_G8LKZ7|unclassified	1316.3863537295
UniRef50_Q31H63: Argininosuccinate synthase	1299.5586531273
UniRef50_Q31H63: Argininosuccinate synthase|unclassified	1299.5586531273
UniRef50_Q6FFB2: Argininosuccinate lyase	1296.2461691829
UniRef50_Q6FFB2: Argininosuccinate lyase|unclassified	1296.2461691829
UniRef50_W7WS85	1268.6801080523
UniRef50_W7WS85|unclassified	1268.6801080523
UniRef50_B4TCQ6: Argininosuccinate lyase	1237.3577556661
UniRef50_B4TCQ6: Argininosuccinate lyase|unclassified	1237.3577556661
UniRef50_Q2YPH2: Ornithine carbamoyltransferase	1228.8836895905
UniRef50_Q2YPH2: Ornithine carbamoyltransferase|unclassified	1228.8836895905
UniRef50_Q59284: Succinyl-diaminopimelate desuccinylase	1205.5080345031
UniRef50_Q59284: Succinyl-diaminopimelate desuccinylase|unclassified	1205.5080345031
UniRef50_Q92L73: Argininosuccinate synthase	1188.0554687083
UniRef50_Q92L73: Argininosuccinate synthase|unclassified	1188.0554687083
UniRef50_UPI000169CBB0: argininosuccinate synthase	1167.2203521524
UniRef50_UPI000169CBB0: argininosuccinate synthase|unclassified	1167.2203521524
UniRef50_UPI0002F79B6B: N-acetylglutamate synthase	1165.8991735389
UniRef50_UPI0002F79B6B: N-acetylglutamate synthase|unclassified	1165.8991735389
UniRef50_Q2KZD0: Ornithine carbamoyltransferase	1151.8275064140
UniRef50_Q2KZD0: Ornithine carbamoyltransferase|unclassified	1151.8275064140
UniRef50_C0Z6S0: Argininosuccinate synthase	1131.7650339005
UniRef50_C0Z6S0: Argininosuccinate synthase|unclassified	1131.7650339005
UniRef50_A5F4Z5: Acetylglutamate kinase	1119.5584692335
UniRef50_A5F4Z5: Acetylglutamate kinase|unclassified	1119.5584692335
UniRef50_B4RKY8: Succinyl-diaminopimelate desuccinylase	1112.7126164177
