Total Number of Aligned Reads:	535210	Total Number of Mapped Genomes:	3480
Genome	Tax Names	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|349106	Psychrobacter sp. PRwf-1	0.44544169560369745	0.001065002522374395	570.0	0.001065002522374395	0.0	0.44544169560369745	0.001065002522374395	570.0	0.001065002522374395	0.0
ti|1392	Bacillus anthracis	0.11541704691469484	0.03431176547523402	18364.0	0.03391192242297416	0.0003998430522598606	0.007729280635808279	0.000945965943583008	506.2904326650617	0.0	0.013723585134806898
ti|435590	Bacteroides vulgatus ATCC 8482	0.05312790479329679	0.0015825563797387942	847.0	0.0015825563797387942	0.0	0.021104514699866895	0.0008191488699139899	438.4166666666666	0.0004577642420732049	0.0008277124866874685
ti|62977	Acinetobacter sp. ADP1	0.02877184477616647	0.001005212907083201	538.0	0.001005212907083201	0.0	0.028771844776166903	0.0010070813325610507	539.0	0.0010070813325610507	0.0
ti|393133	Listeria monocytogenes 10403S	0.027001401008308286	0.004440624552356327	2376.6666666666297	0.0	0.013321873657069187	0.007858112921287028	0.00034410494507657925	184.16840765443598	0.0	0.004828011434763925
ti|1457187	Listeria monocytogenes WSLC1001	0.027001401008308286	0.004440624552356327	2376.6666666666297	0.0	0.013321873657069187	0.007858112921287028	0.00034410494507657925	184.16840765443598	0.0	0.004828011434763925
ti|1334565	Listeria monocytogenes EGD	0.027001401008308286	0.004440624552356327	2376.6666666666297	0.0	0.013321873657069187	0.007858112921287028	0.00034410494507657925	184.16840765443598	0.0	0.004828011434763925
ti|357276	Bacteroides dorei	0.024498190812975898	0.0011808449020010838	632.0	0.0011808449020010838	0.0	0.01775315275253563	0.0007335127021792068	392.58333333333326	0.00029707965097812075	0.000994002354216102
ti|544404	Escherichia coli O157:H7 str. TW14359	0.022200869720454323	0.012501167765923657	6690.75	0.0	0.050004671063694626	0.005750321802670878	0.0008455889042121992	452.56763742341116	0.0	0.01379645372844304
ti|444450	Escherichia coli O157:H7 str. EC4115	0.022200869720454323	0.012501167765923657	6690.75	0.0	0.050004671063694626	0.005750321802670878	0.0008455889042121992	452.56763742341116	0.0	0.01379645372844304
ti|1330457	Escherichia coli O157:H7 str. SS52	0.022200869720454323	0.012501167765923657	6690.75	0.0	0.050004671063694626	0.005750321802670878	0.0008455889042121992	452.56763742341116	0.0	0.01379645372844304
ti|1328859	Escherichia coli O157:H7 str. SS17	0.022200869720454323	0.012501167765923657	6690.75	0.0	0.050004671063694626	0.005750321802670878	0.0008455889042121992	452.56763742341116	0.0	0.01379645372844304
