# Gene Family	SampleBacterial_Chemotaxis_Abundance-RPKs
UNMAPPED	78437.0000000000
UniRef50_UPI000377D90D: chemotaxis protein CheW, partial	3187.9765893175
UniRef50_UPI000377D90D: chemotaxis protein CheW, partial|unclassified	3187.9765893175
UniRef50_UPI0003C1325D: PREDICTED: hybrid signal transduction histidine kinase D-like	2751.3252500531
UniRef50_UPI0003C1325D: PREDICTED: hybrid signal transduction histidine kinase D-like|unclassified	2751.3252500531
UniRef50_P21824: Chemotaxis protein methyltransferase	2409.8138418821
UniRef50_P21824: Chemotaxis protein methyltransferase|unclassified	2409.8138418821
UniRef50_UPI00035EC538: hypothetical protein	1949.4929787537
UniRef50_UPI00035EC538: hypothetical protein|unclassified	1949.4929787537
UniRef50_W1WW43	1746.4577294876
UniRef50_W1WW43|unclassified	1746.4577294876
UniRef50_C6EBU6: Protein phosphatase CheZ	1702.7349990969
UniRef50_C6EBU6: Protein phosphatase CheZ|unclassified	1702.7349990969
UniRef50_B7LP17: Protein phosphatase CheZ	1675.2396583473
UniRef50_B7LP17: Protein phosphatase CheZ|unclassified	1675.2396583473
UniRef50_Q1C6W3: Chemotaxis response regulator protein-glutamate methylesterase	1622.3477884551
UniRef50_Q1C6W3: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	1622.3477884551
UniRef50_Q9KCB8: Chemotaxis protein methyltransferase	1557.6383106604
UniRef50_Q9KCB8: Chemotaxis protein methyltransferase|unclassified	1557.6383106604
UniRef50_Q8CL87	1439.5048628532
UniRef50_Q8CL87|unclassified	1439.5048628532
UniRef50_Q9KQ06: Chemotaxis protein methyltransferase 1	1416.8818312372
UniRef50_Q9KQ06: Chemotaxis protein methyltransferase 1|unclassified	1416.8818312372
UniRef50_I0VLP3	1359.5710052723
UniRef50_I0VLP3|unclassified	1359.5710052723
UniRef50_P09384: Chemotaxis protein CheA	1325.6426528481
UniRef50_P09384: Chemotaxis protein CheA|unclassified	1325.6426528481
UniRef50_UPI00037A66EF: hypothetical protein	1273.7410005068
UniRef50_UPI00037A66EF: hypothetical protein|unclassified	1273.7410005068
UniRef50_UPI0003C7D90B: chemotaxis protein CheV	1215.2831121141
UniRef50_UPI0003C7D90B: chemotaxis protein CheV|unclassified	1215.2831121141
UniRef50_Q9I6V7: Chemotaxis protein methyltransferase 2	1100.9596046670
UniRef50_Q9I6V7: Chemotaxis protein methyltransferase 2|unclassified	1100.9596046670
UniRef50_UPI0003EE58D9: hypothetical protein, partial	1053.3520034632
UniRef50_UPI0003EE58D9: hypothetical protein, partial|unclassified	1053.3520034632
UniRef50_UPI000419E803: chemotaxis protein CheW	1026.2444749509
UniRef50_UPI000419E803: chemotaxis protein CheW|unclassified	1026.2444749509
UniRef50_V1VMF0	1002.2985600550
UniRef50_V1VMF0|unclassified	1002.2985600550
UniRef50_UPI00047939C9: Fis family transcriptional regulator	981.9318937733
UniRef50_UPI00047939C9: Fis family transcriptional regulator|unclassified	981.9318937733
UniRef50_Q9XDE8: Chemotaxis protein methyltransferase	970.7934944291
UniRef50_Q9XDE8: Chemotaxis protein methyltransferase|unclassified	970.7934944291
UniRef50_UPI000468D24D: chemotaxis protein	968.9091222349
UniRef50_UPI000468D24D: chemotaxis protein|unclassified	968.9091222349
UniRef50_UPI000464983B: histidine kinase	932.4714122506
UniRef50_UPI000464983B: histidine kinase|unclassified	932.4714122506
UniRef50_A7MSY8: Chemotaxis protein X	916.5294675344
UniRef50_A7MSY8: Chemotaxis protein X|unclassified	916.5294675344
UniRef50_Q9LB13: Protein phosphatase CheZ	898.4495866690
UniRef50_Q9LB13: Protein phosphatase CheZ|unclassified	898.4495866690
UniRef50_UPI0001A445E7: methyl-accepting chemotaxis protein	873.0867119418
UniRef50_UPI0001A445E7: methyl-accepting chemotaxis protein|unclassified	873.0867119418
UniRef50_UPI00035CD463: hypothetical protein	867.6850934139
UniRef50_UPI00035CD463: hypothetical protein|unclassified	867.6850934139
UniRef50_O87131: Chemotaxis protein methyltransferase 1	848.2238502961
UniRef50_O87131: Chemotaxis protein methyltransferase 1|unclassified	848.2238502961
UniRef50_UPI000255D9DF: Fis family transcriptional regulator	814.4615196250
UniRef50_UPI000255D9DF: Fis family transcriptional regulator|unclassified	814.4615196250
UniRef50_UPI000422217E: chemotaxis protein CheV	814.1946757212
UniRef50_UPI000422217E: chemotaxis protein CheV|unclassified	814.1946757212
UniRef50_Q48768: Chemotaxis protein CheA	795.3538995921
UniRef50_Q48768: Chemotaxis protein CheA|unclassified	795.3538995921
UniRef50_UPI00046FF377: chemotaxis protein CheA	790.3030790313
UniRef50_UPI00046FF377: chemotaxis protein CheA|unclassified	790.3030790313
UniRef50_Q8PIM5: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon	782.5460104218
UniRef50_Q8PIM5: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon|unclassified	782.5460104218
UniRef50_UPI00016AD28B: aerotaxis sensor receptor, partial	750.9235493769
UniRef50_UPI00016AD28B: aerotaxis sensor receptor, partial|unclassified	750.9235493769
UniRef50_A3EJ75	748.7667972020
