# Gene Family	SampleBacterial_Cytoskeleton_Abundance-CPM
UNMAPPED	292950
UniRef50_UPI0004418ACF	15662.6
UniRef50_UPI0004418ACF|unclassified	15662.6
UniRef50_W7X173	13094.4
UniRef50_W7X173|unclassified	13094.4
UniRef50_UPI0004730E83: hypothetical protein, partial	10681.2
UniRef50_UPI0004730E83: hypothetical protein, partial|unclassified	10681.2
UniRef50_UPI0001913E52: cell division protein FtsA, partial	10491.6
UniRef50_UPI0001913E52: cell division protein FtsA, partial|unclassified	10491.6
UniRef50_UPI000470A8CC: hypothetical protein, partial	9676.32
UniRef50_UPI000470A8CC: hypothetical protein, partial|unclassified	9676.32
UniRef50_R8Z2E5: Septum site-determining protein minD	6972.23
UniRef50_R8Z2E5: Septum site-determining protein minD|unclassified	6972.23
UniRef50_UPI0003C19124	6595.23
UniRef50_UPI0003C19124|unclassified	6595.23
UniRef50_R5LGG7	6381.1
UniRef50_R5LGG7|unclassified	6381.1
UniRef50_T1C0K4: MraZ protein (Fragment)	5986.41
UniRef50_T1C0K4: MraZ protein (Fragment)|unclassified	5986.41
UniRef50_UPI0004712E54: hypothetical protein, partial	5524.21
UniRef50_UPI0004712E54: hypothetical protein, partial|unclassified	5524.21
UniRef50_UPI000423B599: rod shape-determining protein MreB	5489.69
UniRef50_UPI000423B599: rod shape-determining protein MreB|unclassified	5489.69
UniRef50_J9GBE5	5456.4
UniRef50_J9GBE5|unclassified	5456.4
UniRef50_W7X2T8	5250.13
UniRef50_W7X2T8|unclassified	5250.13
UniRef50_W1YJ65	5195.67
UniRef50_W1YJ65|unclassified	5195.67
UniRef50_F7Z3Q9	4698.13
UniRef50_F7Z3Q9|unclassified	4698.13
UniRef50_Q326E0	4697.19
UniRef50_Q326E0|unclassified	4697.19
UniRef50_UPI00022CAA60: PREDICTED: septum site-determining protein minD-like	4630.34
UniRef50_UPI00022CAA60: PREDICTED: septum site-determining protein minD-like|unclassified	4630.34
UniRef50_UPI0003C1873C: PREDICTED: putative septum site-determining protein MinD-like	4260.26
UniRef50_UPI0003C1873C: PREDICTED: putative septum site-determining protein MinD-like|unclassified	4260.26
UniRef50_UPI0004782333: cell division protein FtsL	3847.32
UniRef50_UPI0004782333: cell division protein FtsL|unclassified	3847.32
UniRef50_UPI00044220EA: PREDICTED: putative septum site-determining protein MinD-like	3817.46
UniRef50_UPI00044220EA: PREDICTED: putative septum site-determining protein MinD-like|unclassified	3817.46
UniRef50_UPI0002192B8A: rod shape-determining protein MreB	3806.48
UniRef50_UPI0002192B8A: rod shape-determining protein MreB|unclassified	3806.48
UniRef50_UPI00029A86C1: cell division protein FtsZ, partial	3667.88
UniRef50_UPI00029A86C1: cell division protein FtsZ, partial|unclassified	3667.88
UniRef50_X1DXL5: Marine sediment metagenome DNA, contig: S03H2_C00028	3616.27
UniRef50_X1DXL5: Marine sediment metagenome DNA, contig: S03H2_C00028|unclassified	3616.27
UniRef50_UPI000369A6CD: hypothetical protein	3602.21
UniRef50_UPI000369A6CD: hypothetical protein|unclassified	3602.21
UniRef50_UPI000307E33C: hypothetical protein	3425.97
UniRef50_UPI000307E33C: hypothetical protein|unclassified	3425.97
UniRef50_L5MTD0: Septum site-determining protein MinD	3417.19
UniRef50_L5MTD0: Septum site-determining protein MinD|unclassified	3417.19
UniRef50_UPI0003706E72: hypothetical protein, partial	3404.84
UniRef50_UPI0003706E72: hypothetical protein, partial|unclassified	3404.84
UniRef50_R6D662	3334.14
UniRef50_R6D662|unclassified	3334.14
UniRef50_W5X9K0: Cell division protein FtsZ	3324.19
UniRef50_W5X9K0: Cell division protein FtsZ|unclassified	3324.19
UniRef50_UPI0003B5B7E6: cell division protein FtsB	3310.01
UniRef50_UPI0003B5B7E6: cell division protein FtsB|unclassified	3310.01
UniRef50_UPI0002483870: rod shape-determining protein MreB	3221.07
UniRef50_UPI0002483870: rod shape-determining protein MreB|unclassified	3221.07
UniRef50_G9QMJ3: Septum site-determining protein divIVA	3190.97
UniRef50_G9QMJ3: Septum site-determining protein divIVA|unclassified	3190.97
UniRef50_UPI0003673956: cell division protein FtsL	3181.69
UniRef50_UPI0003673956: cell division protein FtsL|unclassified	3181.69
UniRef50_UPI00047CC903: hypothetical protein	3093.2
UniRef50_UPI00047CC903: hypothetical protein|unclassified	3093.2
UniRef50_UPI0003637A82: hypothetical protein	3075.85
UniRef50_UPI0003637A82: hypothetical protein|unclassified	3075.85
UniRef50_UPI00026C726F: cell division protein FtsZ	2961.92
UniRef50_UPI00026C726F: cell division protein FtsZ|unclassified	2961.92
UniRef50_UPI0003C1128E	2958.42
UniRef50_UPI0003C1128E|unclassified	2958.42
UniRef50_UPI0003B4D897: rod shape-determining protein MreB	2934.67
UniRef50_UPI0003B4D897: rod shape-determining protein MreB|unclassified	2934.67
UniRef50_UPI000468BC8D: cell division protein FtsA	2875.51
UniRef50_UPI000468BC8D: cell division protein FtsA|unclassified	2875.51
UniRef50_N0EMT0: Septum site-determining protein minD	2849.3
UniRef50_N0EMT0: Septum site-determining protein minD|unclassified	2849.3
UniRef50_UPI000474A8F2: rod shape-determining protein MreC	2846.14
UniRef50_UPI000474A8F2: rod shape-determining protein MreC|unclassified	2846.14
UniRef50_K2FJL5	2814.07
UniRef50_K2FJL5|unclassified	2814.07
UniRef50_UPI0003B65FB6: MULTISPECIES: cell division protein FtsZ	2783.63
UniRef50_UPI0003B65FB6: MULTISPECIES: cell division protein FtsZ|unclassified	2783.63
UniRef50_UPI000299FB2E: cell division protein MraZ	2779.76
UniRef50_UPI000299FB2E: cell division protein MraZ|unclassified	2779.76
UniRef50_L5MR64: Septum site-determining protein MinD	2775.26
UniRef50_L5MR64: Septum site-determining protein MinD|unclassified	2775.26
UniRef50_M3UEH0	2680.33
UniRef50_M3UEH0|unclassified	2680.33
UniRef50_UPI000472066C: hypothetical protein	2674.03
UniRef50_UPI000472066C: hypothetical protein|unclassified	2674.03
UniRef50_UPI000464F5B2: hypothetical protein	2615.29
UniRef50_UPI000464F5B2: hypothetical protein|unclassified	2615.29
UniRef50_UPI00046E6362: hypothetical protein, partial	2572.28
UniRef50_UPI00046E6362: hypothetical protein, partial|unclassified	2572.28
UniRef50_X1TEP3: Marine sediment metagenome DNA, contig: S12H4_S17133 (Fragment)	2568.29
UniRef50_X1TEP3: Marine sediment metagenome DNA, contig: S12H4_S17133 (Fragment)|unclassified	2568.29
UniRef50_UPI000380E1DF: hypothetical protein	2542.48
UniRef50_UPI000380E1DF: hypothetical protein|unclassified	2542.48
UniRef50_UPI000474DD16: septum formation protein Maf	2510.81
UniRef50_UPI000474DD16: septum formation protein Maf|unclassified	2510.81
UniRef50_X1H2D4: Marine sediment metagenome DNA, contig: S03H2_S07797 (Fragment)	2496.15
UniRef50_X1H2D4: Marine sediment metagenome DNA, contig: S03H2_S07797 (Fragment)|unclassified	2496.15
UniRef50_UPI00047BBE8D: MraZ family transcriptional regulator	2378.39
UniRef50_UPI00047BBE8D: MraZ family transcriptional regulator|unclassified	2378.39
UniRef50_M1Z6J0	2372.2
UniRef50_M1Z6J0|unclassified	2372.2
UniRef50_A0A010HJU7: CobQ/CobB/MinD/ParA nucleotide binding domain protein	2157.63
UniRef50_A0A010HJU7: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	2157.63
UniRef50_UPI000476C43C: cell division protein FtsZ	2111.55
UniRef50_UPI000476C43C: cell division protein FtsZ|unclassified	2111.55
UniRef50_A0A011MRC3: DNA translocase FtsK	2097.85
UniRef50_A0A011MRC3: DNA translocase FtsK|unclassified	2097.85
UniRef50_UPI0003761E42: cell division protein FtsA	2088.48
UniRef50_UPI0003761E42: cell division protein FtsA|unclassified	2088.48
UniRef50_UPI00046E6F35: stage V sporulation protein E, partial	2076.13
UniRef50_UPI00046E6F35: stage V sporulation protein E, partial|unclassified	2076.13
UniRef50_UPI00047E57D8: hypothetical protein	2052.25
UniRef50_UPI00047E57D8: hypothetical protein|unclassified	2052.25
UniRef50_UPI0003B6E323: cell division protein FtsZ	1943.89
UniRef50_UPI0003B6E323: cell division protein FtsZ|unclassified	1943.89
UniRef50_UPI00047C1287: septum formation inhibitor Maf	1929.3
UniRef50_UPI00047C1287: septum formation inhibitor Maf|unclassified	1929.3
UniRef50_UPI00047413BD: septum site-determining protein MinD, partial	1924
UniRef50_UPI00047413BD: septum site-determining protein MinD, partial|unclassified	1924
UniRef50_UPI0003750954: hypothetical protein	1901.71
UniRef50_UPI0003750954: hypothetical protein|unclassified	1901.71
UniRef50_UPI00026276DF: cell division protein FtsZ	1886.85
UniRef50_UPI00026276DF: cell division protein FtsZ|unclassified	1886.85
UniRef50_UPI00037DB63E: hypothetical protein, partial	1866.05
UniRef50_UPI00037DB63E: hypothetical protein, partial|unclassified	1866.05
UniRef50_UPI0004772261: cell division protein FtsK	1839.21
UniRef50_UPI0004772261: cell division protein FtsK|unclassified	1839.21
UniRef50_UPI0004766D5F: cell division protein MraZ	1835.9
UniRef50_UPI0004766D5F: cell division protein MraZ|unclassified	1835.9
UniRef50_T1UAY5: CobQ/CobB/MinD/ParA nucleotide binding domain protein	1791.96
UniRef50_T1UAY5: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	1791.96
UniRef50_UPI00036A8D0A: hypothetical protein	1785.16
UniRef50_UPI00036A8D0A: hypothetical protein|unclassified	1785.16
UniRef50_UPI0003B33F05: cell division protein FtsW, partial	1778.53
UniRef50_UPI0003B33F05: cell division protein FtsW, partial|unclassified	1778.53
UniRef50_UPI0003114821: hypothetical protein	1747.04
UniRef50_UPI0003114821: hypothetical protein|unclassified	1747.04
UniRef50_W5X4C3: Aspartate carbamoyltransferase catalytic subunit	1713.8
UniRef50_W5X4C3: Aspartate carbamoyltransferase catalytic subunit|unclassified	1713.8
UniRef50_UPI0003B768FC: septum formation protein Maf	1709.26
UniRef50_UPI0003B768FC: septum formation protein Maf|unclassified	1709.26
UniRef50_UPI000190FD03: cell division protein FtsW, putative, partial	1696.92
UniRef50_UPI000190FD03: cell division protein FtsW, putative, partial|unclassified	1696.92
UniRef50_UPI000395A4C6: Z-ring-associated protein ZapA	1691.4
UniRef50_UPI000395A4C6: Z-ring-associated protein ZapA|unclassified	1691.4
UniRef50_UPI0003178DCE: hypothetical protein	1676.43
UniRef50_UPI0003178DCE: hypothetical protein|unclassified	1676.43
UniRef50_UPI0003B70C5F: cell division protein MraZ	1672.63
UniRef50_UPI0003B70C5F: cell division protein MraZ|unclassified	1672.63
UniRef50_UPI00037F2BD0: septum formation protein Maf, partial	1657.07
UniRef50_UPI00037F2BD0: septum formation protein Maf, partial|unclassified	1657.07
UniRef50_UPI0002B93680: hypothetical protein, partial	1653.33
UniRef50_UPI0002B93680: hypothetical protein, partial|unclassified	1653.33
UniRef50_C3GPJ1: Rod shape-determining protein MreC	1637.77
UniRef50_C3GPJ1: Rod shape-determining protein MreC|unclassified	1637.77
UniRef50_X0W4H5: Marine sediment metagenome DNA, contig: S01H1_S21311 (Fragment)	1617.25
UniRef50_X0W4H5: Marine sediment metagenome DNA, contig: S01H1_S21311 (Fragment)|unclassified	1617.25
UniRef50_UPI0003B55CF3: cell division protein MraZ	1615.73
UniRef50_UPI0003B55CF3: cell division protein MraZ|unclassified	1615.73
UniRef50_UPI00040EC037: cell division protein FtsA	1609.24
UniRef50_UPI00040EC037: cell division protein FtsA|unclassified	1609.24
UniRef50_UPI00035FE90B: hypothetical protein	1597.37
UniRef50_UPI00035FE90B: hypothetical protein|unclassified	1597.37
UniRef50_UPI00047190EE: cell division protein ZipA, partial	1585.1
UniRef50_UPI00047190EE: cell division protein ZipA, partial|unclassified	1585.1
UniRef50_K0UP39: ParB-like partition protein (Fragment)	1576.79
UniRef50_K0UP39: ParB-like partition protein (Fragment)|unclassified	1576.79
UniRef50_UPI00037003C0: hypothetical protein	1561.99
UniRef50_UPI00037003C0: hypothetical protein|unclassified	1561.99
UniRef50_UPI0003B60FA3: cell division protein FtsK	1544.28
UniRef50_UPI0003B60FA3: cell division protein FtsK|unclassified	1544.28
UniRef50_UPI0003785F11: hypothetical protein	1465.31
UniRef50_UPI0003785F11: hypothetical protein|unclassified	1465.31
UniRef50_K2DR15: Septum site-determining protein MinD	1465.12
UniRef50_K2DR15: Septum site-determining protein MinD|unclassified	1465.12
UniRef50_UPI00035CF64D: hypothetical protein	1463.62
