# Gene Family	SampleBacterial_Cytoskeleton_Abundance-RPKs
UNMAPPED	82675.0000000000
UniRef50_UPI0004418ACF	4420.2099331923
UniRef50_UPI0004418ACF|unclassified	4420.2099331923
UniRef50_W7X173	3695.4266744959
UniRef50_W7X173|unclassified	3695.4266744959
UniRef50_UPI0004730E83: hypothetical protein, partial	3014.4107371831
UniRef50_UPI0004730E83: hypothetical protein, partial|unclassified	3014.4107371831
UniRef50_UPI0001913E52: cell division protein FtsA, partial	2960.8919446869
UniRef50_UPI0001913E52: cell division protein FtsA, partial|unclassified	2960.8919446869
UniRef50_UPI000470A8CC: hypothetical protein, partial	2730.8040253367
UniRef50_UPI000470A8CC: hypothetical protein, partial|unclassified	2730.8040253367
UniRef50_R8Z2E5: Septum site-determining protein minD	1967.6690285110
UniRef50_R8Z2E5: Septum site-determining protein minD|unclassified	1967.6690285110
UniRef50_UPI0003C19124	1861.2747404676
UniRef50_UPI0003C19124|unclassified	1861.2747404676
UniRef50_R5LGG7	1800.8437807686
UniRef50_R5LGG7|unclassified	1800.8437807686
UniRef50_T1C0K4: MraZ protein (Fragment)	1689.4556410830
UniRef50_T1C0K4: MraZ protein (Fragment)|unclassified	1689.4556410830
UniRef50_UPI0004712E54: hypothetical protein, partial	1559.0149973236
UniRef50_UPI0004712E54: hypothetical protein, partial|unclassified	1559.0149973236
UniRef50_UPI000423B599: rod shape-determining protein MreB	1549.2745807372
UniRef50_UPI000423B599: rod shape-determining protein MreB|unclassified	1549.2745807372
UniRef50_J9GBE5	1539.8776658250
UniRef50_J9GBE5|unclassified	1539.8776658250
UniRef50_W7X2T8	1481.6669307164
UniRef50_W7X2T8|unclassified	1481.6669307164
UniRef50_W1YJ65	1466.2984337569
UniRef50_W1YJ65|unclassified	1466.2984337569
UniRef50_F7Z3Q9	1325.8826783750
UniRef50_F7Z3Q9|unclassified	1325.8826783750
UniRef50_Q326E0	1325.6174923910
UniRef50_Q326E0|unclassified	1325.6174923910
