Total Number of Aligned Reads:	529962	Total Number of Mapped Genomes:	4230
Genome	Tax Names	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|465541	Streptomyces sp. Mg1	0.16835439061838522	0.0014397258671376438	763.0	0.0014227435174597423	1.6982349677901436e-05	0.168354375192216	0.000874905496368922	463.66666666666663	0.0008491174838950717	3.396469935580287e-05
ti|504472	Spirosoma linguale DSM 74	0.11888934717873229	0.0007755273019574989	411.0	0.0007755273019574989	0.0	0.11888934717873229	0.0007755273019574989	411.0	0.0007755273019574989	0.0
ti|204669	Candidatus Koribacter versatilis Ellin345	0.08514522992376916	0.0008679867613149622	460.0	0.0008679867613149622	0.0	0.08514522992376915	0.0008679867613149622	460.0	0.0008679867613149622	0.0
ti|525897	Desulfomicrobium baculatum DSM 4028	0.059214035879485205	0.0008283612787331922	439.0	0.0008283612787331922	0.0	0.059214035879484	0.000818926640023247	434.0	0.000818926640023247	0.0
ti|699246	Mageeibacillus indolicus UPII9-5	0.05920882478079347	0.00039814175355968917	211.0	0.00039814175355968917	0.0	0.05920882478079347	0.00039814175355968917	211.0	0.00039814175355968917	0.0
ti|562	Escherichia coli	0.04912719896498345	0.05180560115630932	27455.0	0.05179616651759938	9.434638709945242e-06	0.0014168982843033148	0.0018635056516407382	987.587182154829	8.491174838950717e-05	0.03526667949777531
ti|557600	Acinetobacter baumannii AB307-0294	0.043252234877350464	0.0055249244285439335	2928.0	0.0055249244285439335	0.0	0.005383045114986445	0.0005568272748224069	295.0972962194324	0.0	0.0030228582426664553
ti|707235	Mycobacterium tuberculosis CTRI-2	0.042065283646987695	0.012515991712613358	6633.0	0.012515991712613358	0.0	0.0010280428186861838	0.00030381881874746866	161.012428821046	0.0	0.011532902359037063
ti|13373	Burkholderia mallei	0.02467316224189353	0.02543767288975436	13481.0	0.025294266381363194	0.00014340650839116768	0.001707941880370371	0.0007911562618197045	419.2827548264942	0.0	0.015670934897219047
ti|383407	Xanthomonas oryzae pv. oryzicola BLS256	0.02168860978967249	0.006632551013091505	3515.0	0.006632551013091505	0.0	0.006423863232805169	0.00030415328370653443	161.1896825396824	3.585162709779192e-05	0.0007679795909895427
ti|585143	Staphylococcus aureus subsp. aureus 55/2053	0.019637896893400786	0.032858959698997284	17414.0	0.032858959698997284	0.0	0.0013036719369736787	0.0018035082310027795	955.790829118695	0.0	0.016248334786267693
ti|573062	Thermoanaerobacter sp. X513	0.014821316141926088	0.0021661930478034273	1148.0	0.0006774070593740684	0.0036549790362327863	0.014686837645108286	0.0009128956415743005	483.79999999999944	0.0	0.0027435929368520764
ti|399726	Thermoanaerobacter sp. X514	0.014821316141926088	0.0021661930478034273	1148.0	0.0006774070593740684	0.0036549790362327863	0.014686837645108286	0.0009128956415743005	483.79999999999944	0.0	0.0027435929368520764
ti|383629	Phaeobacter gallaeciensis 2.10	0.0147017508556446	0.0010642272464818233	564.0	0.0010642272464818233	0.0	0.01466638392636358	0.00039122301850572934	207.33333333333334	0.0003377600658160396	0.00011132873677735385
ti|489653	Neisseria lactamica 020-06	0.014693097809161879	0.0011264958619674617	597.0	0.0011189481509995057	7.547710967956193e-06	0.01469244759904737	0.0009687210659167136	513.3853535353534	0.0008925168219608198	9.623331484144146e-05
ti|393130	Listeria monocytogenes J0161	0.012984632314175844	0.016469105332080413	8728.0	0.016469105332080413	0.0	0.0013336728308646188	0.0009735556363604419	515.9474921568525	0.00013019801419724433	0.007317505783433529
ti|470137	Brucella suis ATCC 23445	0.011826182086359528	0.016542695514017988	8767.0	0.016542695514017988	0.0	0.00034821498969143705	0.0004582583895459418	242.8595326405464	0.0	0.011253637053222684
ti|666	Vibrio cholerae	0.011083390492625526	0.013812311071359834	7320.0	0.013810424143617845	1.8869277419890482e-06	0.0014211649925548978	0.0016738602817888242	887.0823426573688	0.000273604522588412	0.005381517920152765
ti|539329	Francisella philomiragia subsp. philomiragia ATCC 25015	0.010369294256933012	0.0007283541084077726	386.0	0.0007283541084077726	0.0	0.008515401583818676	0.0002525338294695343	133.83333333333331	0.00018869277419890482	0.00013963265290718957
ti|762948	Rothia dentocariosa ATCC 17931	0.010367542855462902	0.00031700386065416014	168.0	0.00031700386065416014	0.0	0.010367542855598563	0.00031700386065416014	168.0	0.00031700386065416014	0.0
ti|167546	Prochlorococcus marinus str. MIT 9301	0.010365635834801388	0.0006623116374381559	351.0	0.0006623116374381559	0.0	0.010323312599975343	0.00041512410323759063	220.0	0.00041512410323759063	0.0
ti|295319	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	0.009284868231887105	0.02242802314128183	11886.0	0.022426136213539838	1.8869277419890482e-06	0.00017372939995433754	0.0003281136688917196	173.8877761931935	0.0	0.001441612794879633
ti|474186	Enterococcus faecalis OG1RF	0.007730218358390011	0.011136647533219362	5902.0	0.011136647533219362	0.0	0.004148671444617168	0.001427981988286324	756.7761904761968	0.00018491891871492673	0.004247474347217348
ti|77133	uncultured bacterium	0.007592903744578375	0.002583204078783007	1369.0	0.0025718825123310727	1.1321566451934289e-05	0.0075426573719646235	0.0005279595088405057	279.79847722413206	0.00038115940388178777	0.0013095278529403995
ti|573061	Clostridium cellulovorans 743B	0.00733722680288502	0.0005698521780806926	302.0	0.0005698521780806926	0.0	0.00733722680288502	0.0005698521780806926	302.0	0.0005698521780806926	0.0
ti|335541	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	0.006221036899523794	0.0009981847755122066	529.0	0.0009981847755122066	0.0	0.006221036899523794	0.0009981847755122066	529.0	0.0009981847755122066	0.0
ti|984129	Francisella cf. novicida Fx1	0.005769648348842291	0.0068099222208384755	3609.0	0.0068099222208384755	0.0	0.00039162239577967775	0.00019512121263704816	103.40682809155533	0.0	0.0015114291213332277
ti|351745	Shewanella sp. W3-18-1	0.005204838186862473	0.0019341009355387745	1025.0	0.0019322140077967854	1.8869277419890482e-06	0.003351247468108002	0.0007135731744288569	378.16666666666583	0.00023586596774863105	0.0011057396568055823
ti|649639	Bacillus cellulosilyticus DSM 2522	0.005167680397200681	0.0006151384438884297	326.0	0.0006151384438884297	0.0	0.005167680397200681	0.0006151384438884297	326.0	0.0006151384438884297	0.0
ti|683837	Listeria seeligeri serovar 1/2b str. SLCC3954	0.005165288129528221	0.0004887142851751636	259.0	0.00048682735743317443	1.8869277419890482e-06	0.005165262521932762	0.00046795808001328396	248.0	0.00046795808001328396	0.0
ti|869216	Streptococcus pneumoniae INV200	0.004710023171941456	0.01684837780822021	8929.0	0.01684837780822021	0.0	0.00026176992722094615	0.0006455570748120746	342.12071848155665	9.434638709945242e-06	0.011015884157732064
ti|529120	Alteromonas macleodii ATCC 27126	0.0036471609257150628	0.0003792724761397987	201.0	0.0003792724761397987	0.0	0.0018244723900728464	0.0002853978209758436	151.25	0.0002188836180707296	0.00013397186968122242
ti|640512	Burkholderia sp. CCGE1003	0.003645954954382684	0.0014585951445575344	773.0	0.001441612794879633	1.6982349677901436e-05	0.003645456687946489	0.00045643995858822583	241.89583333333334	0.0004415410916254373	2.075620516187953e-05
ti|220668	Lactobacillus plantarum WCFS1	0.002629036514858567	0.0018982493084409825	1006.0	0.0018982493084409825	0.0	0.0005853337130954779	0.00043788404595405695	232.06190476190392	5.283397677569335e-05	0.0015567153871409649
ti|665029	Erwinia amylovora CFBP1430	0.0025987647119418145	0.0016152101471426253	856.0	0.0015944539419807458	2.075620516187953e-05	0.0011986057693041132	0.00047896515850822324	253.833333333335	1.1321566451934289e-05	0.0011963121884210567
ti|585054	Escherichia fergusonii ATCC 35469	0.002594696018925053	0.00046607115227129494	247.0	0.00046607115227129494	0.0	0.002594879331057417	0.00047478410298947303	251.6175327885071	0.00045286265807737157	0.0012283899600348705
ti|335543	Syntrophobacter fumaroxidans MPOB	0.002590693350995153	0.0008321351342171703	441.0	0.0008321351342171703	0.0	0.002590693350995153	0.0008321351342171703	441.0	0.0008321351342171703	0.0
ti|680646	Rothia mucilaginosa DY-18	0.002587941447216349	0.0005811737445326269	308.0	0.0005811737445326269	0.0	0.002587915011334728	0.0005104139542080376	270.5	0.0005245659122729554	0.0
