# Gene Family	SampleBiotin_biosynthesis_Abundance-CPM
UNMAPPED	136929
UniRef50_Q5E8X7: 3-ketoacyl-CoA thiolase	8396.3
UniRef50_Q5E8X7: 3-ketoacyl-CoA thiolase|unclassified	8396.3
UniRef50_A5F2P1: 3-ketoacyl-CoA thiolase	8164.88
UniRef50_A5F2P1: 3-ketoacyl-CoA thiolase|unclassified	8164.88
UniRef50_P12995: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	7325.68
UniRef50_P12995: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	7325.68
UniRef50_UPI0003B73FF6: acetyl-CoA acetyltransferase, partial	6623.91
UniRef50_UPI0003B73FF6: acetyl-CoA acetyltransferase, partial|unclassified	6623.91
UniRef50_Q8ZES9: Long-chain-fatty-acid--CoA ligase	6107.63
UniRef50_Q8ZES9: Long-chain-fatty-acid--CoA ligase|unclassified	6107.63
UniRef50_O32177: 3-ketoacyl-CoA thiolase	5781.89
UniRef50_O32177: 3-ketoacyl-CoA thiolase|unclassified	5781.89
UniRef50_W7WT80	4331.35
UniRef50_W7WT80|unclassified	4331.35
UniRef50_W1WXK3	4275.94
UniRef50_W1WXK3|unclassified	4275.94
UniRef50_P46450: Long-chain-fatty-acid--CoA ligase	4070.03
UniRef50_P46450: Long-chain-fatty-acid--CoA ligase|unclassified	4070.03
UniRef50_Q18AR0: Acetyl-CoA acetyltransferase	4046.77
UniRef50_Q18AR0: Acetyl-CoA acetyltransferase|unclassified	4046.77
UniRef50_B1FS91	3967.68
UniRef50_B1FS91|unclassified	3967.68
UniRef50_Q8ZPK6: ATP-dependent dethiobiotin synthetase BioD 2	3798.7
UniRef50_Q8ZPK6: ATP-dependent dethiobiotin synthetase BioD 2|unclassified	3798.7
UniRef50_UPI00047B36DF: hypothetical protein, partial	3630.21
UniRef50_UPI00047B36DF: hypothetical protein, partial|unclassified	3630.21
UniRef50_P0A4X7: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	3530.6
UniRef50_P0A4X7: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	3530.6
UniRef50_UPI0004657735: AMP-binding protein, partial	3518.91
