# Gene Family	SampleBiotin_biosynthesis_Abundance-RPKs
UNMAPPED	34364.0000000000
UniRef50_Q5E8X7: 3-ketoacyl-CoA thiolase	2107.1554021303
UniRef50_Q5E8X7: 3-ketoacyl-CoA thiolase|unclassified	2107.1554021303
UniRef50_A5F2P1: 3-ketoacyl-CoA thiolase	2049.0772504732
UniRef50_A5F2P1: 3-ketoacyl-CoA thiolase|unclassified	2049.0772504732
UniRef50_P12995: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	1838.4697720143
UniRef50_P12995: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	1838.4697720143
UniRef50_UPI0003B73FF6: acetyl-CoA acetyltransferase, partial	1662.3511127034
UniRef50_UPI0003B73FF6: acetyl-CoA acetyltransferase, partial|unclassified	1662.3511127034
UniRef50_Q8ZES9: Long-chain-fatty-acid--CoA ligase	1532.7851362641
UniRef50_Q8ZES9: Long-chain-fatty-acid--CoA ligase|unclassified	1532.7851362641
UniRef50_O32177: 3-ketoacyl-CoA thiolase	1451.0361824661
UniRef50_O32177: 3-ketoacyl-CoA thiolase|unclassified	1451.0361824661
UniRef50_W7WT80	1087.0067256740
UniRef50_W7WT80|unclassified	1087.0067256740
UniRef50_W1WXK3	1073.1006071042
UniRef50_W1WXK3|unclassified	1073.1006071042
UniRef50_P46450: Long-chain-fatty-acid--CoA ligase	1021.4245338325
UniRef50_P46450: Long-chain-fatty-acid--CoA ligase|unclassified	1021.4245338325
UniRef50_Q18AR0: Acetyl-CoA acetyltransferase	1015.5865157493
UniRef50_Q18AR0: Acetyl-CoA acetyltransferase|unclassified	1015.5865157493
UniRef50_B1FS91	995.7378479279
UniRef50_B1FS91|unclassified	995.7378479279
UniRef50_Q8ZPK6: ATP-dependent dethiobiotin synthetase BioD 2	953.3316051158
UniRef50_Q8ZPK6: ATP-dependent dethiobiotin synthetase BioD 2|unclassified	953.3316051158
UniRef50_UPI00047B36DF: hypothetical protein, partial	911.0464079033
UniRef50_UPI00047B36DF: hypothetical protein, partial|unclassified	911.0464079033
UniRef50_P0A4X7: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	886.0477435195
UniRef50_P0A4X7: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase|unclassified	886.0477435195
UniRef50_UPI0004657735: AMP-binding protein, partial	883.1126356023
UniRef50_UPI0004657735: AMP-binding protein, partial|unclassified	883.1126356023
UniRef50_V5MG06: BioH protein	849.2373467712
UniRef50_V5MG06: BioH protein|unclassified	849.2373467712
UniRef50_UPI00019122A3: 3-ketoacyl-CoA thiolase, partial	845.3365032492
