# Gene Family	SampleCobalamin_synthesis_Abundance-CPM
UNMAPPED	140449
UniRef50_P0A9H6: Cob(I)yrinic acid a,c-diamide adenosyltransferase	21695.1
UniRef50_P0A9H6: Cob(I)yrinic acid a,c-diamide adenosyltransferase|unclassified	21695.1
UniRef50_Q9I472: Cob(I)yrinic acid a,c-diamide adenosyltransferase	11289.1
UniRef50_Q9I472: Cob(I)yrinic acid a,c-diamide adenosyltransferase|unclassified	11289.1
UniRef50_Q05599: Bifunctional adenosylcobalamin biosynthesis protein CobU	9866.15
UniRef50_Q05599: Bifunctional adenosylcobalamin biosynthesis protein CobU|unclassified	9866.15
UniRef50_Q9HZU2: Precorrin-8X methylmutase	9827.93
UniRef50_Q9HZU2: Precorrin-8X methylmutase|unclassified	9827.93
UniRef50_Q58973: Cobalt-precorrin-4 C(11)-methyltransferase	9352.88
UniRef50_Q58973: Cobalt-precorrin-4 C(11)-methyltransferase|unclassified	9352.88
UniRef50_P21638: Precorrin-8X methylmutase	8373.29
UniRef50_P21638: Precorrin-8X methylmutase|unclassified	8373.29
UniRef50_Q9HZU3: Precorrin-2 C(20)-methyltransferase	8149.91
UniRef50_Q9HZU3: Precorrin-2 C(20)-methyltransferase|unclassified	8149.91
UniRef50_P29930: Cob(I)yrinic acid a,c-diamide adenosyltransferase	7526.14
UniRef50_P29930: Cob(I)yrinic acid a,c-diamide adenosyltransferase|unclassified	7526.14
UniRef50_Q9HZP9: Precorrin-4 C(11)-methyltransferase	7253.36
UniRef50_Q9HZP9: Precorrin-4 C(11)-methyltransferase|unclassified	7253.36
UniRef50_Q05601: Cobalt-precorrin-8X methylmutase	6745.19
UniRef50_Q05601: Cobalt-precorrin-8X methylmutase|unclassified	6745.19
UniRef50_UPI00046660B8: cobinamide adenolsyltransferase	6526.96
UniRef50_UPI00046660B8: cobinamide adenolsyltransferase|unclassified	6526.96
UniRef50_P0A2H0: Cobalt-precorrin-4 C(11)-methyltransferase	6076.51
UniRef50_P0A2H0: Cobalt-precorrin-4 C(11)-methyltransferase|unclassified	6076.51
UniRef50_Q05590: Cobalt-precorrin-3B C(17)-methyltransferase	5658.87
UniRef50_Q05590: Cobalt-precorrin-3B C(17)-methyltransferase|unclassified	5658.87
UniRef50_P63840: Precorrin-8X methylmutase	5615.89
UniRef50_P63840: Precorrin-8X methylmutase|unclassified	5615.89
UniRef50_O68100: Precorrin-4 C(11)-methyltransferase	5534.6
UniRef50_O68100: Precorrin-4 C(11)-methyltransferase|unclassified	5534.6
UniRef50_P52086: Alpha-ribazole phosphatase	5516.86
UniRef50_P52086: Alpha-ribazole phosphatase|unclassified	5516.86
UniRef50_Q92PC8: 5,6-dimethylbenzimidazole synthase	5026.3
UniRef50_Q92PC8: 5,6-dimethylbenzimidazole synthase|unclassified	5026.3
UniRef50_B7MDB8: Cobalamin synthase	4994.38
UniRef50_B7MDB8: Cobalamin synthase|unclassified	4994.38
UniRef50_UPI00016A5EF7: cobalt-precorrin-6A reductase	4851.1
UniRef50_UPI00016A5EF7: cobalt-precorrin-6A reductase|unclassified	4851.1
UniRef50_Q05592: Sirohydrochlorin cobaltochelatase	4826.67
UniRef50_Q05592: Sirohydrochlorin cobaltochelatase|unclassified	4826.67
UniRef50_P9WGB0: Precorrin-4 C(11)-methyltransferase	4815.59
UniRef50_P9WGB0: Precorrin-4 C(11)-methyltransferase|unclassified	4815.59
UniRef50_Q05593: Cobalt-precorrin-2 C(20)-methyltransferase	4791.17
UniRef50_Q05593: Cobalt-precorrin-2 C(20)-methyltransferase|unclassified	4791.17
UniRef50_Q9I466: Bifunctional adenosylcobalamin biosynthesis protein CobP	4595.58
UniRef50_Q9I466: Bifunctional adenosylcobalamin biosynthesis protein CobP|unclassified	4595.58
UniRef50_S9SJ88	4463.58
UniRef50_S9SJ88|unclassified	4463.58
UniRef50_P66878: Cobalamin biosynthesis protein CobIJ	4376
UniRef50_P66878: Cobalamin biosynthesis protein CobIJ|unclassified	4376
UniRef50_UPI0003955AD0: hypothetical protein, partial	4301.89
UniRef50_UPI0003955AD0: hypothetical protein, partial|unclassified	4301.89
UniRef50_Q53138: Precorrin-4 C(11)-methyltransferase	4250.46
UniRef50_Q53138: Precorrin-4 C(11)-methyltransferase|unclassified	4250.46
UniRef50_Q8Z8H8: Threonine-phosphate decarboxylase	4231.09
UniRef50_Q8Z8H8: Threonine-phosphate decarboxylase|unclassified	4231.09
UniRef50_P21639: Precorrin-2 C(20)-methyltransferase	4034.67
UniRef50_P21639: Precorrin-2 C(20)-methyltransferase|unclassified	4034.67
UniRef50_Q05591: Cobalt-precorrin-6A reductase	3974.5
UniRef50_Q05591: Cobalt-precorrin-6A reductase|unclassified	3974.5
UniRef50_B2S6E8: Cobyric acid synthase	3762.45
UniRef50_B2S6E8: Cobyric acid synthase|unclassified	3762.45
UniRef50_Q2RNG5: 5,6-dimethylbenzimidazole synthase	3630.41
UniRef50_Q2RNG5: 5,6-dimethylbenzimidazole synthase|unclassified	3630.41
UniRef50_UPI0001B42DDE: sirohydrochlorin cobaltochelatase, partial	3627.72
UniRef50_UPI0001B42DDE: sirohydrochlorin cobaltochelatase, partial|unclassified	3627.72
UniRef50_Q63WA1: Cobyric acid synthase	3621.46
UniRef50_Q63WA1: Cobyric acid synthase|unclassified	3621.46
UniRef50_UPI000366E84C: hypothetical protein	3575.45
UniRef50_UPI000366E84C: hypothetical protein|unclassified	3575.45
UniRef50_P21640: Precorrin-3B C(17)-methyltransferase	3443.17
UniRef50_P21640: Precorrin-3B C(17)-methyltransferase|unclassified	3443.17
UniRef50_M1JGK6: Ammonium transporter	3431.27
UniRef50_M1JGK6: Ammonium transporter|unclassified	3431.27
UniRef50_Q57MX8: Cobyric acid synthase	3331.91
UniRef50_Q57MX8: Cobyric acid synthase|unclassified	3331.91
UniRef50_A9MLS8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	3068.55
UniRef50_A9MLS8: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	3068.55
UniRef50_C0Q1R0: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	3061.34
UniRef50_C0Q1R0: Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|unclassified	3061.34
UniRef50_UPI0004785767: cobalt-precorrin-4 C(11)-methyltransferase	3023.46
UniRef50_UPI0004785767: cobalt-precorrin-4 C(11)-methyltransferase|unclassified	3023.46
UniRef50_UPI0001BC8E58: CbiG protein/precorrin-3B C17-methyltransferase, partial	3022.41
UniRef50_UPI0001BC8E58: CbiG protein/precorrin-3B C17-methyltransferase, partial|unclassified	3022.41
UniRef50_P29931: Bifunctional adenosylcobalamin biosynthesis protein CobP	3007
UniRef50_P29931: Bifunctional adenosylcobalamin biosynthesis protein CobP|unclassified	3007
UniRef50_UPI0002193EF7: hypothetical protein, partial	2985.07
