# Gene Family	SampleCobalamin_synthesis_Abundance-RPKs
UNMAPPED	40814.0000000000
UniRef50_P0A9H6: Cob(I)yrinic acid a,c-diamide adenosyltransferase	6304.5044573715
UniRef50_P0A9H6: Cob(I)yrinic acid a,c-diamide adenosyltransferase|unclassified	6304.5044573715
UniRef50_Q9I472: Cob(I)yrinic acid a,c-diamide adenosyltransferase	3280.5568172792
UniRef50_Q9I472: Cob(I)yrinic acid a,c-diamide adenosyltransferase|unclassified	3280.5568172792
UniRef50_Q05599: Bifunctional adenosylcobalamin biosynthesis protein CobU	2867.0622519486
UniRef50_Q05599: Bifunctional adenosylcobalamin biosynthesis protein CobU|unclassified	2867.0622519486
UniRef50_Q9HZU2: Precorrin-8X methylmutase	2855.9556428420
UniRef50_Q9HZU2: Precorrin-8X methylmutase|unclassified	2855.9556428420
UniRef50_Q58973: Cobalt-precorrin-4 C(11)-methyltransferase	2717.9082792312
UniRef50_Q58973: Cobalt-precorrin-4 C(11)-methyltransferase|unclassified	2717.9082792312
UniRef50_P21638: Precorrin-8X methylmutase	2433.2424633947
UniRef50_P21638: Precorrin-8X methylmutase|unclassified	2433.2424633947
UniRef50_Q9HZU3: Precorrin-2 C(20)-methyltransferase	2368.3290799923
UniRef50_Q9HZU3: Precorrin-2 C(20)-methyltransferase|unclassified	2368.3290799923
UniRef50_P29930: Cob(I)yrinic acid a,c-diamide adenosyltransferase	2187.0648975056
UniRef50_P29930: Cob(I)yrinic acid a,c-diamide adenosyltransferase|unclassified	2187.0648975056
UniRef50_Q9HZP9: Precorrin-4 C(11)-methyltransferase	2107.7959403619
UniRef50_Q9HZP9: Precorrin-4 C(11)-methyltransferase|unclassified	2107.7959403619
UniRef50_Q05601: Cobalt-precorrin-8X methylmutase	1960.1255982025
UniRef50_Q05601: Cobalt-precorrin-8X methylmutase|unclassified	1960.1255982025
UniRef50_UPI00046660B8: cobinamide adenolsyltransferase	1896.7076832525
UniRef50_UPI00046660B8: cobinamide adenolsyltransferase|unclassified	1896.7076832525
UniRef50_P0A2H0: Cobalt-precorrin-4 C(11)-methyltransferase	1765.8074702886
UniRef50_P0A2H0: Cobalt-precorrin-4 C(11)-methyltransferase|unclassified	1765.8074702886
UniRef50_Q05590: Cobalt-precorrin-3B C(17)-methyltransferase	1644.4435942553
UniRef50_Q05590: Cobalt-precorrin-3B C(17)-methyltransferase|unclassified	1644.4435942553
UniRef50_P63840: Precorrin-8X methylmutase	1631.9532240047
UniRef50_P63840: Precorrin-8X methylmutase|unclassified	1631.9532240047
UniRef50_O68100: Precorrin-4 C(11)-methyltransferase	1608.3306503744
UniRef50_O68100: Precorrin-4 C(11)-methyltransferase|unclassified	1608.3306503744
UniRef50_P52086: Alpha-ribazole phosphatase	1603.1763429791
UniRef50_P52086: Alpha-ribazole phosphatase|unclassified	1603.1763429791
UniRef50_Q92PC8: 5,6-dimethylbenzimidazole synthase	1460.6217750724
UniRef50_Q92PC8: 5,6-dimethylbenzimidazole synthase|unclassified	1460.6217750724
UniRef50_B7MDB8: Cobalamin synthase	1451.3453463628
UniRef50_B7MDB8: Cobalamin synthase|unclassified	1451.3453463628
UniRef50_UPI00016A5EF7: cobalt-precorrin-6A reductase	1409.7095000364
UniRef50_UPI00016A5EF7: cobalt-precorrin-6A reductase|unclassified	1409.7095000364
UniRef50_Q05592: Sirohydrochlorin cobaltochelatase	1402.6114924179
UniRef50_Q05592: Sirohydrochlorin cobaltochelatase|unclassified	1402.6114924179
UniRef50_P9WGB0: Precorrin-4 C(11)-methyltransferase	1399.3917051873
