#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Proteobacteria	76.508
k__Bacteria|p__Planctomycetes	23.492
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	51.9901
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	24.5179
k__Bacteria|p__Planctomycetes|c__Planctomycetia	23.492
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	51.9901
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	24.5179
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	23.492
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae	51.9901
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	24.5179
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae	23.492
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina	51.9901
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas	24.5179
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Rhodopirellula	23.492
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina|s__Idiomarina_unclassified	51.9901
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_unclassified	24.5179
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Rhodopirellula|s__Rhodopirellula_unclassified	23.492
