# Gene Family	SampleCoenzyme_A_Biosynthesis_Abundance-CPM
UNMAPPED	77369.3
UniRef50_A7ZUJ0: Pantothenate kinase	6430.54
UniRef50_A7ZUJ0: Pantothenate kinase|unclassified	6430.54
UniRef50_Q8XE72: 2-dehydropantoate 2-reductase	5623.97
UniRef50_Q8XE72: 2-dehydropantoate 2-reductase|unclassified	5623.97
UniRef50_P0ABQ1: Coenzyme A biosynthesis bifunctional protein CoaBC	5367.95
UniRef50_P0ABQ1: Coenzyme A biosynthesis bifunctional protein CoaBC|unclassified	5367.95
UniRef50_B7MFJ5: Phosphopantetheine adenylyltransferase	5275.08
UniRef50_B7MFJ5: Phosphopantetheine adenylyltransferase|unclassified	5275.08
UniRef50_Q8Z8W3: 2-dehydropantoate 2-reductase	5217.64
UniRef50_Q8Z8W3: 2-dehydropantoate 2-reductase|unclassified	5217.64
UniRef50_Q9KVD1: Coenzyme A biosynthesis bifunctional protein CoaBC	5078.87
UniRef50_Q9KVD1: Coenzyme A biosynthesis bifunctional protein CoaBC|unclassified	5078.87
UniRef50_B2VD19: 3-methyl-2-oxobutanoate hydroxymethyltransferase	4984.08
UniRef50_B2VD19: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	4984.08
UniRef50_Q9CFY8: Putative 2-dehydropantoate 2-reductase	4974.23
UniRef50_Q9CFY8: Putative 2-dehydropantoate 2-reductase|unclassified	4974.23
UniRef50_Q7MPS9: Coenzyme A biosynthesis bifunctional protein CoaBC	4882.79
UniRef50_Q7MPS9: Coenzyme A biosynthesis bifunctional protein CoaBC|unclassified	4882.79
UniRef50_C5B9D9: Phosphopantetheine adenylyltransferase	4799.38
UniRef50_C5B9D9: Phosphopantetheine adenylyltransferase|unclassified	4799.38
UniRef50_B0TGU9: Phosphopantetheine adenylyltransferase	4625.56
UniRef50_B0TGU9: Phosphopantetheine adenylyltransferase|unclassified	4625.56
UniRef50_Q9JZ56: Aspartate 1-decarboxylase	4619.99
UniRef50_Q9JZ56: Aspartate 1-decarboxylase|unclassified	4619.99
UniRef50_Q48UU5: Dephospho-CoA kinase	4585.87
UniRef50_Q48UU5: Dephospho-CoA kinase|unclassified	4585.87
UniRef50_C5D8K3: Phosphopantetheine adenylyltransferase	4492.5
UniRef50_C5D8K3: Phosphopantetheine adenylyltransferase|unclassified	4492.5
