# Gene Family	SampleCoenzyme_A_Biosynthesis_Abundance-RPKs
UNMAPPED	29678.0000000000
UniRef50_A7ZUJ0: Pantothenate kinase	2466.6813163586
UniRef50_A7ZUJ0: Pantothenate kinase|unclassified	2466.6813163586
UniRef50_Q8XE72: 2-dehydropantoate 2-reductase	2157.2932948820
UniRef50_Q8XE72: 2-dehydropantoate 2-reductase|unclassified	2157.2932948820
UniRef50_P0ABQ1: Coenzyme A biosynthesis bifunctional protein CoaBC	2059.0842932354
UniRef50_P0ABQ1: Coenzyme A biosynthesis bifunctional protein CoaBC|unclassified	2059.0842932354
UniRef50_B7MFJ5: Phosphopantetheine adenylyltransferase	2023.4610829645
UniRef50_B7MFJ5: Phosphopantetheine adenylyltransferase|unclassified	2023.4610829645
UniRef50_Q8Z8W3: 2-dehydropantoate 2-reductase	2001.4287069422
UniRef50_Q8Z8W3: 2-dehydropantoate 2-reductase|unclassified	2001.4287069422
UniRef50_Q9KVD1: Coenzyme A biosynthesis bifunctional protein CoaBC	1948.1979509319
UniRef50_Q9KVD1: Coenzyme A biosynthesis bifunctional protein CoaBC|unclassified	1948.1979509319
UniRef50_B2VD19: 3-methyl-2-oxobutanoate hydroxymethyltransferase	1911.8362681679
UniRef50_B2VD19: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	1911.8362681679
UniRef50_Q9CFY8: Putative 2-dehydropantoate 2-reductase	1908.0595188039
UniRef50_Q9CFY8: Putative 2-dehydropantoate 2-reductase|unclassified	1908.0595188039
UniRef50_Q7MPS9: Coenzyme A biosynthesis bifunctional protein CoaBC	1872.9833085167
UniRef50_Q7MPS9: Coenzyme A biosynthesis bifunctional protein CoaBC|unclassified	1872.9833085167
UniRef50_C5B9D9: Phosphopantetheine adenylyltransferase	1840.9878327860
UniRef50_C5B9D9: Phosphopantetheine adenylyltransferase|unclassified	1840.9878327860
UniRef50_B0TGU9: Phosphopantetheine adenylyltransferase	1774.3130738282
UniRef50_B0TGU9: Phosphopantetheine adenylyltransferase|unclassified	1774.3130738282
UniRef50_Q9JZ56: Aspartate 1-decarboxylase	1772.1745729124
