Total Number of Aligned Reads:	528428	Total Number of Mapped Genomes:	3791
Genome	Tax Names	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1287066	Enterococcus faecalis DENG1	0.265728584164973	0.011802932471405755	6237.0	0.011802932471405755	0.0	0.056937131182107636	0.001699597824803135	898.1150793650711	3.7848107973082428e-06	0.006339558085491306
ti|1280	Staphylococcus aureus	0.16774901919605184	0.03344448061041429	17673.0	0.03344448061041429	0.0	0.00716142408990438	0.001472303511953123	778.0064002143649	0.0	0.026200352744366308
ti|381754	Pseudomonas aeruginosa PA7	0.16419020965862435	0.004630716010506635	2447.0	0.004630716010506635	0.0	0.16410625812640844	0.0009147460816053096	483.37744241053053	0.0007531773486643403	0.0002781835936021558
ti|529122	Bacillus thuringiensis YBT-1518	0.08257487276599564	0.024260637210745836	12820.0	0.024215219481178135	4.541772956769891e-05	0.02058462240770571	0.00046355832880557243	244.95720057407104	0.0	0.0022576396405943667
ti|375286	Janthinobacterium sp. Marseille	0.05836007514173722	0.0007437153216710697	393.0	0.0007437153216710697	0.0	0.05836007514155919	0.0007418229162724155	392.0	0.0007418229162724155	0.0
ti|216816	Bifidobacterium longum	0.029294309037672432	0.004732905902033957	2501.0	0.004678026145472988	5.487975656096952e-05	0.0045180581244890225	0.00023187229642035272	122.52781385281415	0.0	0.0010181141044759172
ti|391165	Granulibacter bethesdensis CGDNIH1	0.029264481888177905	0.0007304684838804909	386.0	0.0007304684838804909	0.0	0.0284786355698013	0.0005732411353423113	302.91666666666686	0.00044093045788641023	0.0002895380259940806
ti|1232659	Haemophilus influenzae 2019	0.01488686924279566	0.005720741520131409	3023.0	0.005720741520131409	0.0	0.014423782174344634	0.0006160606305280676	325.5436868686857	0.0003444177825550501	0.0010805634826315032
ti|272560	Burkholderia pseudomallei K96243	0.012390860579018692	0.021157092356953077	11180.0	0.021045440438432483	0.00011165191852059315	0.0006117272708634729	0.0005390410763878778	284.8443979134935	1.324683779057885e-05	0.011377141256708577
ti|441771	Clostridium botulinum A str. Hall	0.01042534735625061	0.0029067346923327304	1536.0	0.0	0.005813469384665461	0.00338709830877476	0.0005767754004032125	304.78427128426875	0.0	0.002463911829047666
