# Gene Family	SampleCopper_homeostasis_Abundance-CPM
UNMAPPED	165285
UniRef50_W7WW88	19317.2
UniRef50_W7WW88|unclassified	19317.2
UniRef50_W7WW54	10557
UniRef50_W7WW54|unclassified	10557
UniRef50_UPI0003B594BF: thiol:disulfide interchange protein	9568.02
UniRef50_UPI0003B594BF: thiol:disulfide interchange protein|unclassified	9568.02
UniRef50_Q57I19: Putative bifunctional cytochrome c-type biogenesis protein CcmAE	8057.18
UniRef50_Q57I19: Putative bifunctional cytochrome c-type biogenesis protein CcmAE|unclassified	8057.18
UniRef50_UPI0003A81A6A: hypothetical protein	7036.78
UniRef50_UPI0003A81A6A: hypothetical protein|unclassified	7036.78
UniRef50_W1Y2Z0: Blue copper oxidase CueO (Fragment)	6784.75
UniRef50_W1Y2Z0: Blue copper oxidase CueO (Fragment)|unclassified	6784.75
UniRef50_UPI0003607215: hypothetical protein, partial	6567.87
UniRef50_UPI0003607215: hypothetical protein, partial|unclassified	6567.87
UniRef50_N3Z2X6: ResB-like family protein	6004.14
UniRef50_N3Z2X6: ResB-like family protein|unclassified	6004.14
UniRef50_U3TYF4: Cytochrome c-type biogenesis protein CcmF	5580.38
UniRef50_U3TYF4: Cytochrome c-type biogenesis protein CcmF|unclassified	5580.38
UniRef50_A8AE21	5449.87
UniRef50_A8AE21|unclassified	5449.87
UniRef50_UPI0003781E17: hypothetical protein, partial	5288.44
UniRef50_UPI0003781E17: hypothetical protein, partial|unclassified	5288.44
UniRef50_UPI000472B438: hypothetical protein	5202.44
UniRef50_UPI000472B438: hypothetical protein|unclassified	5202.44
UniRef50_V2AVU6: Cytochrome c-type biogenesis protein CcmF	5179.55
UniRef50_V2AVU6: Cytochrome c-type biogenesis protein CcmF|unclassified	5179.55
UniRef50_UPI0004722CE5: hypothetical protein	5140.38
UniRef50_UPI0004722CE5: hypothetical protein|unclassified	5140.38
UniRef50_U3TT50: Cytochrome c-type biogenesis protein CcmF	5025.78
UniRef50_U3TT50: Cytochrome c-type biogenesis protein CcmF|unclassified	5025.78
UniRef50_UPI000191342C: multicopper oxidase	4352.27
UniRef50_UPI000191342C: multicopper oxidase|unclassified	4352.27
UniRef50_UPI0003EB2D20: hypothetical protein	4306.44
UniRef50_UPI0003EB2D20: hypothetical protein|unclassified	4306.44
UniRef50_Q8ZCA7: Copper-exporting P-type ATPase A	4150.17
UniRef50_Q8ZCA7: Copper-exporting P-type ATPase A|unclassified	4150.17
UniRef50_UPI00036819CA: hypothetical protein	4136.44
UniRef50_UPI00036819CA: hypothetical protein|unclassified	4136.44
UniRef50_W7X4I1	4111.49
UniRef50_W7X4I1|unclassified	4111.49
UniRef50_UPI000418217F: thiol:disulfide interchange protein	3816.86
UniRef50_UPI000418217F: thiol:disulfide interchange protein|unclassified	3816.86
UniRef50_UPI0003A592DF: transcriptional regulator	3660.98
UniRef50_UPI0003A592DF: transcriptional regulator|unclassified	3660.98
UniRef50_UPI0003A33859: hypothetical protein	3582.33
UniRef50_UPI0003A33859: hypothetical protein|unclassified	3582.33
UniRef50_UPI00036314CE: hypothetical protein	3427.91
UniRef50_UPI00036314CE: hypothetical protein|unclassified	3427.91
UniRef50_G6YUN6: Cytochrome c-type biogenesis protein CcmF	3299.92
UniRef50_G6YUN6: Cytochrome c-type biogenesis protein CcmF|unclassified	3299.92
UniRef50_UPI00040B8B62: cytochrome C biogenesis protein CcmF	3277.9
UniRef50_UPI00040B8B62: cytochrome C biogenesis protein CcmF|unclassified	3277.9
UniRef50_W7X6Z5	3266.01
UniRef50_W7X6Z5|unclassified	3266.01
UniRef50_G8U7F4: Copper resistance protein D	3243.88
UniRef50_G8U7F4: Copper resistance protein D|unclassified	3243.88
UniRef50_UPI0004673A50: cytochrome C biogenesis protein, partial	3188.1
UniRef50_UPI0004673A50: cytochrome C biogenesis protein, partial|unclassified	3188.1
UniRef50_I2XIU6: Cytochrome C biogenesis domain protein	3063.43
UniRef50_I2XIU6: Cytochrome C biogenesis domain protein|unclassified	3063.43
UniRef50_UPI000473E310: thiol:disulfide interchange protein DsbE, partial	2997.9
UniRef50_UPI000473E310: thiol:disulfide interchange protein DsbE, partial|unclassified	2997.9
UniRef50_W0D036	2980.74
UniRef50_W0D036|unclassified	2980.74
UniRef50_UPI000370C63A: hypothetical protein	2972.46
UniRef50_UPI000370C63A: hypothetical protein|unclassified	2972.46
UniRef50_I6H3C8: Inner membrane protein YebZ	2833.43
UniRef50_I6H3C8: Inner membrane protein YebZ|unclassified	2833.43
UniRef50_W1YHQ9: Lead, cadmium, zinc and mercury-transporting ATPase protein (Fragment)	2803.79
UniRef50_W1YHQ9: Lead, cadmium, zinc and mercury-transporting ATPase protein (Fragment)|unclassified	2803.79
UniRef50_UPI0004748ACE: hypothetical protein	2778.02
UniRef50_UPI0004748ACE: hypothetical protein|unclassified	2778.02
UniRef50_UPI0004050213: thiol:disulfide interchange protein	2774.93
UniRef50_UPI0004050213: thiol:disulfide interchange protein|unclassified	2774.93
UniRef50_R0EHC2	2671.15
UniRef50_R0EHC2|unclassified	2671.15
UniRef50_UPI000401A6D7: copper oxidase	2657.51
UniRef50_UPI000401A6D7: copper oxidase|unclassified	2657.51
UniRef50_L6IL30: Cation transporter	2642.49
UniRef50_L6IL30: Cation transporter|unclassified	2642.49
UniRef50_UPI0003F5615A: cytochrome C biogenesis protein CcmE	2611.57
UniRef50_UPI0003F5615A: cytochrome C biogenesis protein CcmE|unclassified	2611.57
UniRef50_L8AYM3: Capsid protein (Fragment)	2546.62
UniRef50_L8AYM3: Capsid protein (Fragment)|unclassified	2546.62
UniRef50_UPI00039FD02B: MFS transporter	2513.57
UniRef50_UPI00039FD02B: MFS transporter|unclassified	2513.57
UniRef50_P58342: Copper-transporting ATPase 2	2491.65
UniRef50_P58342: Copper-transporting ATPase 2|unclassified	2491.65
UniRef50_E7ICF7: Cytochrome C biogenesis family protein	2409.2
UniRef50_E7ICF7: Cytochrome C biogenesis family protein|unclassified	2409.2
UniRef50_I6H156: Cytochrome c-type biogenesis protein CcmH	2374.87
UniRef50_I6H156: Cytochrome c-type biogenesis protein CcmH|unclassified	2374.87
UniRef50_H1C4P9: Inner membrane protein YebZ	2342.06
UniRef50_H1C4P9: Inner membrane protein YebZ|unclassified	2342.06
UniRef50_C5Q414	2285.06
UniRef50_C5Q414|unclassified	2285.06
UniRef50_W7W2N7	2251.32
UniRef50_W7W2N7|unclassified	2251.32
UniRef50_Q9KPZ7: Copper-exporting P-type ATPase A	2216.08
UniRef50_Q9KPZ7: Copper-exporting P-type ATPase A|unclassified	2216.08
UniRef50_F8H6L5: Cytochrome c family protein	2144.13
UniRef50_F8H6L5: Cytochrome c family protein|unclassified	2144.13
UniRef50_UPI00035C7829: hypothetical protein	2127.33
UniRef50_UPI00035C7829: hypothetical protein|unclassified	2127.33
UniRef50_UPI0004685071: MerR family transcriptional regulator	2125.08
UniRef50_UPI0004685071: MerR family transcriptional regulator|unclassified	2125.08
UniRef50_UPI000380A1DC: hypothetical protein, partial	2068.64
UniRef50_UPI000380A1DC: hypothetical protein, partial|unclassified	2068.64
UniRef50_F4MYW4	2060.56
UniRef50_F4MYW4|unclassified	2060.56
UniRef50_O32220: Copper-exporting P-type ATPase A	1988.25
UniRef50_O32220: Copper-exporting P-type ATPase A|unclassified	1988.25
UniRef50_A0A022GUH1: Copper ABC transporter ATPase (Fragment)	1972.58
UniRef50_A0A022GUH1: Copper ABC transporter ATPase (Fragment)|unclassified	1972.58
UniRef50_UPI00029A653B: cytochrome c-type biogenesis protein CcmF	1964.68
UniRef50_UPI00029A653B: cytochrome c-type biogenesis protein CcmF|unclassified	1964.68
UniRef50_UPI0003B40876: heme lyase subunit CcmF	1938.49
UniRef50_UPI0003B40876: heme lyase subunit CcmF|unclassified	1938.49
UniRef50_UPI0001E896F1: ATPase	1927.61
UniRef50_UPI0001E896F1: ATPase|unclassified	1927.61
UniRef50_P05448: Putative L,D-transpeptidase in ATP synthase subunits region ORF 5	1858.64
UniRef50_P05448: Putative L,D-transpeptidase in ATP synthase subunits region ORF 5|unclassified	1858.64
UniRef50_UPI0003652246: hypothetical protein	1852.02
UniRef50_UPI0003652246: hypothetical protein|unclassified	1852.02
UniRef50_F3EUL5: Cytochrome c-type biogenesis protein CcmF	1850.38
UniRef50_F3EUL5: Cytochrome c-type biogenesis protein CcmF|unclassified	1850.38
UniRef50_UPI0003B503CA: cytochrome C biogenesis protein CcdA	1847.42
UniRef50_UPI0003B503CA: cytochrome C biogenesis protein CcdA|unclassified	1847.42
UniRef50_F9YFJ7: Cytochrome c-type biogenesis protein CcmI	1835.79
UniRef50_F9YFJ7: Cytochrome c-type biogenesis protein CcmI|unclassified	1835.79
UniRef50_UPI000475028A: hypothetical protein, partial	1822.04
UniRef50_UPI000475028A: hypothetical protein, partial|unclassified	1822.04
UniRef50_UPI000467C1C7: copper oxidase, partial	1818.9
UniRef50_UPI000467C1C7: copper oxidase, partial|unclassified	1818.9
UniRef50_P05425: Copper-exporting P-type ATPase B	1812.47
UniRef50_P05425: Copper-exporting P-type ATPase B|unclassified	1812.47
UniRef50_A0A038EGB7	1809.57
UniRef50_A0A038EGB7|unclassified	1809.57
UniRef50_UPI00046CF501: hypothetical protein	1793.59
UniRef50_UPI00046CF501: hypothetical protein|unclassified	1793.59
UniRef50_UPI00047501FD: multicopper oxidase	1786.48
UniRef50_UPI00047501FD: multicopper oxidase|unclassified	1786.48
UniRef50_UPI0003EF98F1: hypothetical protein	1762.84
UniRef50_UPI0003EF98F1: hypothetical protein|unclassified	1762.84
UniRef50_UPI0004707593: hypothetical protein	1754.26
UniRef50_UPI0004707593: hypothetical protein|unclassified	1754.26
UniRef50_UPI0003747D01: hypothetical protein	1731.4
UniRef50_UPI0003747D01: hypothetical protein|unclassified	1731.4
UniRef50_UPI0003959364: MerR family transcriptional regulator	1717.54
UniRef50_UPI0003959364: MerR family transcriptional regulator|unclassified	1717.54
UniRef50_UPI000474A0FC: cation-transporting ATPase PacS, partial	1712.71
UniRef50_UPI000474A0FC: cation-transporting ATPase PacS, partial|unclassified	1712.71
UniRef50_UPI0002BB8AA9: hypothetical protein	1711.36
UniRef50_UPI0002BB8AA9: hypothetical protein|unclassified	1711.36
UniRef50_C2VSC5: Multicopper oxidase	1704.43
UniRef50_C2VSC5: Multicopper oxidase|unclassified	1704.43
UniRef50_UPI000476F4CB: ATPase P	1662.52
UniRef50_UPI000476F4CB: ATPase P|unclassified	1662.52
UniRef50_UPI0002887883: cytochrome c-type biogenesis protein CcmF	1652.25
UniRef50_UPI0002887883: cytochrome c-type biogenesis protein CcmF|unclassified	1652.25
UniRef50_A3FKR9: Copper resistance protein (Fragment)	1644.2
UniRef50_A3FKR9: Copper resistance protein (Fragment)|unclassified	1644.2
UniRef50_B2K8K0: Cytochrome c-type biogenesis protein CcmI	1643.45
UniRef50_B2K8K0: Cytochrome c-type biogenesis protein CcmI|unclassified	1643.45
UniRef50_UPI000462C1F9: ATPase, partial	1631.76
UniRef50_UPI000462C1F9: ATPase, partial|unclassified	1631.76
UniRef50_E5AR53: Multicopper oxidase family protein	1630.13
UniRef50_E5AR53: Multicopper oxidase family protein|unclassified	1630.13
UniRef50_U3TWX3: Cytochrome c-type biogenesis protein CcmF	1594.27
UniRef50_U3TWX3: Cytochrome c-type biogenesis protein CcmF|unclassified	1594.27
UniRef50_B7VL40: Cytochrome c-type biogenesis protein CcmH	1589.32
UniRef50_B7VL40: Cytochrome c-type biogenesis protein CcmH|unclassified	1589.32
UniRef50_UPI00046D3CD4: hypothetical protein	1564.69
UniRef50_UPI00046D3CD4: hypothetical protein|unclassified	1564.69
UniRef50_UPI00036344D2: hypothetical protein, partial	1564.03
UniRef50_UPI00036344D2: hypothetical protein, partial|unclassified	1564.03
UniRef50_UPI0003C11B4D: PREDICTED: laccase-2-like	1557.75
UniRef50_UPI0003C11B4D: PREDICTED: laccase-2-like|unclassified	1557.75
UniRef50_UPI00047D0162: hypothetical protein	1555.04
UniRef50_UPI00047D0162: hypothetical protein|unclassified	1555.04
UniRef50_UPI00039A51D4: heme lyase subunit CcmF	1554.52
UniRef50_UPI00039A51D4: heme lyase subunit CcmF|unclassified	1554.52
UniRef50_UPI0003B6C0E2: ATPase	1552.36
UniRef50_UPI0003B6C0E2: ATPase|unclassified	1552.36
UniRef50_UPI000417C8FA: alcohol dehydrogenase	1548.37
UniRef50_UPI000417C8FA: alcohol dehydrogenase|unclassified	1548.37
UniRef50_UPI000255A6FA: putative copper resistance protein A, partial	1539.38
UniRef50_UPI000255A6FA: putative copper resistance protein A, partial|unclassified	1539.38
UniRef50_Q9ZHC7: Silver exporting P-type ATPase	1529.54
UniRef50_Q9ZHC7: Silver exporting P-type ATPase|unclassified	1529.54
UniRef50_O32219: Cadmium, zinc and cobalt-transporting ATPase	1529.04
UniRef50_O32219: Cadmium, zinc and cobalt-transporting ATPase|unclassified	1529.04
UniRef50_F3GI41: Cytochrome c-type biogenesis protein CcmF	1501.63
UniRef50_F3GI41: Cytochrome c-type biogenesis protein CcmF|unclassified	1501.63
UniRef50_E6XQZ1: Cytochrome c-type biogenesis protein CcmI	1475.65
UniRef50_E6XQZ1: Cytochrome c-type biogenesis protein CcmI|unclassified	1475.65
UniRef50_W4S7H3: Cytochrome c-type biogenesis protein CcmF	1473.16
UniRef50_W4S7H3: Cytochrome c-type biogenesis protein CcmF|unclassified	1473.16
UniRef50_UPI00016AA7D5: mulitcopper oxidase domain protein, partial	1463.67
UniRef50_UPI00016AA7D5: mulitcopper oxidase domain protein, partial|unclassified	1463.67
UniRef50_UPI00047AC889: ATPase P	1459.58
UniRef50_UPI00047AC889: ATPase P|unclassified	1459.58
UniRef50_V1VKF2: Cytochrome c-type biogenesis protein H2 (Fragment)	1459.47
UniRef50_V1VKF2: Cytochrome c-type biogenesis protein H2 (Fragment)|unclassified	1459.47
UniRef50_UPI0002BA68D4: hypothetical protein	1459.44
UniRef50_UPI0002BA68D4: hypothetical protein|unclassified	1459.44
UniRef50_UPI0001B431C0: heavy metal-transporting ATPase, partial	1456.5
UniRef50_UPI0001B431C0: heavy metal-transporting ATPase, partial|unclassified	1456.5
UniRef50_UPI0003743D19: hypothetical protein	1441.72
UniRef50_UPI0003743D19: hypothetical protein|unclassified	1441.72
UniRef50_R4XZT5: FIG002261: Cytochrome c family protein	1428.4
UniRef50_R4XZT5: FIG002261: Cytochrome c family protein|unclassified	1428.4
UniRef50_UPI0004702790: hypothetical protein	1418.31
UniRef50_UPI0004702790: hypothetical protein|unclassified	1418.31
UniRef50_UPI000301ABA8: hypothetical protein	1416.43
UniRef50_UPI000301ABA8: hypothetical protein|unclassified	1416.43
UniRef50_UPI0004731535: copper oxidase, partial	1381.55
UniRef50_UPI0004731535: copper oxidase, partial|unclassified	1381.55
UniRef50_UPI0003B467A5: copper-resistance protein CopA	1378.93
UniRef50_UPI0003B467A5: copper-resistance protein CopA|unclassified	1378.93
UniRef50_UPI000348F4FA: hypothetical protein	1371.23
UniRef50_UPI000348F4FA: hypothetical protein|unclassified	1371.23
UniRef50_UPI0003EB23CC: heme lyase subunit CcmH, partial	1370.67
UniRef50_UPI0003EB23CC: heme lyase subunit CcmH, partial|unclassified	1370.67
UniRef50_Z2DJL3: Major facilitator transporter	1349.33
UniRef50_Z2DJL3: Major facilitator transporter|unclassified	1349.33
UniRef50_UPI000380BA90: hypothetical protein, partial	1343.47
UniRef50_UPI000380BA90: hypothetical protein, partial|unclassified	1343.47
UniRef50_Q1CHJ6: Cytochrome c-type biogenesis protein	1338.86
UniRef50_Q1CHJ6: Cytochrome c-type biogenesis protein|unclassified	1338.86
UniRef50_UPI0002E5B447: hypothetical protein	1337.59
UniRef50_UPI0002E5B447: hypothetical protein|unclassified	1337.59
UniRef50_G9TME1: Cytochrome c-type biogenesis protein F2	1332.4
UniRef50_G9TME1: Cytochrome c-type biogenesis protein F2|unclassified	1332.4
UniRef50_UPI00036068C9: hypothetical protein	1328.41
UniRef50_UPI00036068C9: hypothetical protein|unclassified	1328.41
UniRef50_UPI0004729772: copper resistance protein CopA	1315.13
UniRef50_UPI0004729772: copper resistance protein CopA|unclassified	1315.13
UniRef50_UPI00047B4F25: hypothetical protein	1294.29
UniRef50_UPI00047B4F25: hypothetical protein|unclassified	1294.29
UniRef50_UPI0003B72FE7: multicopper oxidase, partial	1292.69
UniRef50_UPI0003B72FE7: multicopper oxidase, partial|unclassified	1292.69
UniRef50_UPI0003685B62: hypothetical protein	1269.53
UniRef50_UPI0003685B62: hypothetical protein|unclassified	1269.53
UniRef50_Q6PQB6: Hypothetical heavy metal-translocating ATPase (Fragment)	1255.01
UniRef50_Q6PQB6: Hypothetical heavy metal-translocating ATPase (Fragment)|unclassified	1255.01
UniRef50_U3AMS9: Cytochrome c-type biogenesis protein CcmI	1248.58
UniRef50_U3AMS9: Cytochrome c-type biogenesis protein CcmI|unclassified	1248.58
UniRef50_Q1HVY0: PIB-type ATPase (Fragment)	1247.2
UniRef50_Q1HVY0: PIB-type ATPase (Fragment)|unclassified	1247.2
UniRef50_Q59998: Zinc-transporting ATPase	1246.28
UniRef50_Q59998: Zinc-transporting ATPase|unclassified	1246.28
UniRef50_E3ZIG6: Copper resistance domain-containing protein (Fragment)	1227.25
UniRef50_E3ZIG6: Copper resistance domain-containing protein (Fragment)|unclassified	1227.25
UniRef50_UPI000476E288: hypothetical protein, partial	1219.27
UniRef50_UPI000476E288: hypothetical protein, partial|unclassified	1219.27
UniRef50_UPI00036A5077: hypothetical protein	1216.58
UniRef50_UPI00036A5077: hypothetical protein|unclassified	1216.58
UniRef50_P9WPU0: Cation-transporting P-type ATPase A	1212.68
UniRef50_P9WPU0: Cation-transporting P-type ATPase A|unclassified	1212.68
UniRef50_O31688: Zinc-transporting ATPase	1212.14
UniRef50_O31688: Zinc-transporting ATPase|unclassified	1212.14
UniRef50_A0A022GVC0: Transcriptional regulator	1208.93
UniRef50_A0A022GVC0: Transcriptional regulator|unclassified	1208.93
UniRef50_UPI000475DCB4: ATPase, partial	1203.58
UniRef50_UPI000475DCB4: ATPase, partial|unclassified	1203.58
UniRef50_UPI0003B5E70F: hypothetical protein	1202.28
UniRef50_UPI0003B5E70F: hypothetical protein|unclassified	1202.28
UniRef50_UPI0003609CE5: copper oxidase, partial	1200.6
UniRef50_UPI0003609CE5: copper oxidase, partial|unclassified	1200.6
UniRef50_UPI00046743AE: ATPase, partial	1194.33
UniRef50_UPI00046743AE: ATPase, partial|unclassified	1194.33
UniRef50_UPI00036A9BE8: hypothetical protein, partial	1191.91
