# Gene Family	SampleCopper_homeostasis_Abundance-RPKs
UNMAPPED	45030.0000000000
UniRef50_W7WW88	5262.7677847443
UniRef50_W7WW88|unclassified	5262.7677847443
UniRef50_W7WW54	2876.1393566248
UniRef50_W7WW54|unclassified	2876.1393566248
UniRef50_UPI0003B594BF: thiol:disulfide interchange protein	2606.7057409891
UniRef50_UPI0003B594BF: thiol:disulfide interchange protein|unclassified	2606.7057409891
UniRef50_Q57I19: Putative bifunctional cytochrome c-type biogenesis protein CcmAE	2195.0934036736
UniRef50_Q57I19: Putative bifunctional cytochrome c-type biogenesis protein CcmAE|unclassified	2195.0934036736
UniRef50_UPI0003A81A6A: hypothetical protein	1917.0942141847
UniRef50_UPI0003A81A6A: hypothetical protein|unclassified	1917.0942141847
UniRef50_W1Y2Z0: Blue copper oxidase CueO (Fragment)	1848.4324386015
UniRef50_W1Y2Z0: Blue copper oxidase CueO (Fragment)|unclassified	1848.4324386015
UniRef50_UPI0003607215: hypothetical protein, partial	1789.3455449443
UniRef50_UPI0003607215: hypothetical protein, partial|unclassified	1789.3455449443
UniRef50_N3Z2X6: ResB-like family protein	1635.7627082218
UniRef50_N3Z2X6: ResB-like family protein|unclassified	1635.7627082218
UniRef50_U3TYF4: Cytochrome c-type biogenesis protein CcmF	1520.3144299619
UniRef50_U3TYF4: Cytochrome c-type biogenesis protein CcmF|unclassified	1520.3144299619
UniRef50_A8AE21	1484.7577521035
UniRef50_A8AE21|unclassified	1484.7577521035
UniRef50_UPI0003781E17: hypothetical protein, partial	1440.7787023475
UniRef50_UPI0003781E17: hypothetical protein, partial|unclassified	1440.7787023475
UniRef50_UPI000472B438: hypothetical protein	1417.3498261130
UniRef50_UPI000472B438: hypothetical protein|unclassified	1417.3498261130
UniRef50_V2AVU6: Cytochrome c-type biogenesis protein CcmF	1411.1132699182
UniRef50_V2AVU6: Cytochrome c-type biogenesis protein CcmF|unclassified	1411.1132699182
UniRef50_UPI0004722CE5: hypothetical protein	1400.4427810362
UniRef50_UPI0004722CE5: hypothetical protein|unclassified	1400.4427810362
UniRef50_U3TT50: Cytochrome c-type biogenesis protein CcmF	1369.2186456505
UniRef50_U3TT50: Cytochrome c-type biogenesis protein CcmF|unclassified	1369.2186456505
UniRef50_UPI000191342C: multicopper oxidase	1185.7290111617
UniRef50_UPI000191342C: multicopper oxidase|unclassified	1185.7290111617
UniRef50_UPI0003EB2D20: hypothetical protein	1173.2422965568
UniRef50_UPI0003EB2D20: hypothetical protein|unclassified	1173.2422965568
UniRef50_Q8ZCA7: Copper-exporting P-type ATPase A	1130.6683872300
UniRef50_Q8ZCA7: Copper-exporting P-type ATPase A|unclassified	1130.6683872300
UniRef50_UPI00036819CA: hypothetical protein	1126.9290192766
UniRef50_UPI00036819CA: hypothetical protein|unclassified	1126.9290192766
UniRef50_W7X4I1	1120.1326303503
UniRef50_W7X4I1|unclassified	1120.1326303503
UniRef50_UPI000418217F: thiol:disulfide interchange protein	1039.8621411931
UniRef50_UPI000418217F: thiol:disulfide interchange protein|unclassified	1039.8621411931
UniRef50_UPI0003A592DF: transcriptional regulator	997.3948520624
UniRef50_UPI0003A592DF: transcriptional regulator|unclassified	997.3948520624
UniRef50_UPI0003A33859: hypothetical protein	975.9664595420
UniRef50_UPI0003A33859: hypothetical protein|unclassified	975.9664595420
UniRef50_UPI00036314CE: hypothetical protein	933.8980785799
UniRef50_UPI00036314CE: hypothetical protein|unclassified	933.8980785799
UniRef50_G6YUN6: Cytochrome c-type biogenesis protein CcmF	899.0275916389
UniRef50_G6YUN6: Cytochrome c-type biogenesis protein CcmF|unclassified	899.0275916389
UniRef50_UPI00040B8B62: cytochrome C biogenesis protein CcmF	893.0296325333
UniRef50_UPI00040B8B62: cytochrome C biogenesis protein CcmF|unclassified	893.0296325333
UniRef50_W7X6Z5	889.7887483309
UniRef50_W7X6Z5|unclassified	889.7887483309
UniRef50_G8U7F4: Copper resistance protein D	883.7609695162
UniRef50_G8U7F4: Copper resistance protein D|unclassified	883.7609695162
UniRef50_UPI0004673A50: cytochrome C biogenesis protein, partial	868.5635446587
UniRef50_UPI0004673A50: cytochrome C biogenesis protein, partial|unclassified	868.5635446587
UniRef50_I2XIU6: Cytochrome C biogenesis domain protein	834.5989190058
UniRef50_I2XIU6: Cytochrome C biogenesis domain protein|unclassified	834.5989190058
UniRef50_UPI000473E310: thiol:disulfide interchange protein DsbE, partial	816.7461711058
UniRef50_UPI000473E310: thiol:disulfide interchange protein DsbE, partial|unclassified	816.7461711058
UniRef50_W0D036	812.0712630560
UniRef50_W0D036|unclassified	812.0712630560
UniRef50_UPI000370C63A: hypothetical protein	809.8154791093
UniRef50_UPI000370C63A: hypothetical protein|unclassified	809.8154791093
