# Gene Family	SampleCysteine_Biosynthesis_Abundance-CPM
UNMAPPED	71769
UniRef50_B1FNA0	25190.9
UniRef50_B1FNA0|unclassified	25190.9
UniRef50_UPI0003703D09: hypothetical protein	19033.6
UniRef50_UPI0003703D09: hypothetical protein|unclassified	19033.6
UniRef50_UPI0001CBF41C: ABC transporter sulfate permease, partial	18098.4
UniRef50_UPI0001CBF41C: ABC transporter sulfate permease, partial|unclassified	18098.4
UniRef50_UPI000262A813: sulfate ABC transporter permease	16383.5
UniRef50_UPI000262A813: sulfate ABC transporter permease|unclassified	16383.5
UniRef50_UPI000255A1B2: sulfate-binding protein	12699.4
UniRef50_UPI000255A1B2: sulfate-binding protein|unclassified	12699.4
UniRef50_UPI00035E3AF9: hypothetical protein	12342
UniRef50_UPI00035E3AF9: hypothetical protein|unclassified	12342
UniRef50_UPI00019134CA: hypothetical protein, partial	11421.1
UniRef50_UPI00019134CA: hypothetical protein, partial|unclassified	11421.1
UniRef50_P65671: Sulfate adenylyltransferase subunit 2	10908.4
UniRef50_P65671: Sulfate adenylyltransferase subunit 2|unclassified	10908.4
UniRef50_A0A011QZH6: Sulfate starvation-induced protein 2	10847.6
UniRef50_A0A011QZH6: Sulfate starvation-induced protein 2|unclassified	10847.6
UniRef50_Q21IS4: Sulfate adenylyltransferase subunit 2	10799.4
UniRef50_Q21IS4: Sulfate adenylyltransferase subunit 2|unclassified	10799.4
UniRef50_UPI0003B49272: sulfate/thiosulfate transporter permease subunit, partial	9776.17
UniRef50_UPI0003B49272: sulfate/thiosulfate transporter permease subunit, partial|unclassified	9776.17
UniRef50_A9M7D7: Sulfate adenylyltransferase subunit 2	9744.27
UniRef50_A9M7D7: Sulfate adenylyltransferase subunit 2|unclassified	9744.27
UniRef50_UPI0003773694: hypothetical protein	9375.56
UniRef50_UPI0003773694: hypothetical protein|unclassified	9375.56
UniRef50_Q87DG8: Sulfate adenylyltransferase subunit 2	9090.61
UniRef50_Q87DG8: Sulfate adenylyltransferase subunit 2|unclassified	9090.61
UniRef50_A0A011Q772	9040.78
UniRef50_A0A011Q772|unclassified	9040.78
UniRef50_Q4UY06: Sulfate adenylyltransferase subunit 2	8815.85
UniRef50_Q4UY06: Sulfate adenylyltransferase subunit 2|unclassified	8815.85
UniRef50_UPI00037A2399: hypothetical protein	8584.02
UniRef50_UPI00037A2399: hypothetical protein|unclassified	8584.02
UniRef50_V8DPQ3	8407.29
UniRef50_V8DPQ3|unclassified	8407.29
UniRef50_UPI00016A829A: hypothetical protein	8028.33
UniRef50_UPI00016A829A: hypothetical protein|unclassified	8028.33
UniRef50_UPI000471E1F6: hypothetical protein, partial	7788.05
UniRef50_UPI000471E1F6: hypothetical protein, partial|unclassified	7788.05
UniRef50_UPI00016A8299: nitrite/sulfite reductase family protein	7611.51
UniRef50_UPI00016A8299: nitrite/sulfite reductase family protein|unclassified	7611.51
UniRef50_UPI0002485FFA: sulfite reductase	7229.06
UniRef50_UPI0002485FFA: sulfite reductase|unclassified	7229.06
UniRef50_Q8CMX3: Phosphoadenosine phosphosulfate reductase	7170.63
UniRef50_Q8CMX3: Phosphoadenosine phosphosulfate reductase|unclassified	7170.63
UniRef50_B7VI85: Sulfite reductase [NADPH] hemoprotein beta-component	7145.76
UniRef50_B7VI85: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	7145.76
UniRef50_Q8RKZ7	6799.92
UniRef50_Q8RKZ7|unclassified	6799.92
UniRef50_W1EIM5	6679.1
UniRef50_W1EIM5|unclassified	6679.1
UniRef50_K8A7R1	6580.56
UniRef50_K8A7R1|unclassified	6580.56
UniRef50_UPI00030F326B: sulfate transporter	6482.66
UniRef50_UPI00030F326B: sulfate transporter|unclassified	6482.66
UniRef50_H0JSG1	5936.94
UniRef50_H0JSG1|unclassified	5936.94
UniRef50_UPI000367B1F8: hypothetical protein	5744.13
UniRef50_UPI000367B1F8: hypothetical protein|unclassified	5744.13
UniRef50_UPI000470129B: hypothetical protein	5695.75
UniRef50_UPI000470129B: hypothetical protein|unclassified	5695.75
UniRef50_Q66ED4: Sulfite reductase [NADPH] flavoprotein alpha-component	5554.02
UniRef50_Q66ED4: Sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	5554.02
UniRef50_Q9JUD9: Sulfite reductase [NADPH] hemoprotein beta-component	5280.73
UniRef50_Q9JUD9: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	5280.73
UniRef50_P29848: Cysteine synthase B	5194.12
UniRef50_P29848: Cysteine synthase B|unclassified	5194.12
UniRef50_A7FLY2: Sulfate adenylyltransferase subunit 1	5179.55
UniRef50_A7FLY2: Sulfate adenylyltransferase subunit 1|unclassified	5179.55
UniRef50_G9ZHR7	5025.41
UniRef50_G9ZHR7|unclassified	5025.41
UniRef50_C4ZZR6: Phosphoadenosine phosphosulfate reductase	4957.5
UniRef50_C4ZZR6: Phosphoadenosine phosphosulfate reductase|unclassified	4957.5
UniRef50_W7WQX4	4870.37
UniRef50_W7WQX4|unclassified	4870.37
UniRef50_Q9I526: Cysteine synthase B	4774.83
UniRef50_Q9I526: Cysteine synthase B|unclassified	4774.83
UniRef50_UPI0003750D31: hypothetical protein, partial	4750.05
UniRef50_UPI0003750D31: hypothetical protein, partial|unclassified	4750.05
UniRef50_Z5XFJ5: Sulfate ABC transporter (Fragment)	4704.08
UniRef50_Z5XFJ5: Sulfate ABC transporter (Fragment)|unclassified	4704.08
UniRef50_S2IJT1	4694.81
UniRef50_S2IJT1|unclassified	4694.81
UniRef50_Q8D0W8: Sulfate/thiosulfate import ATP-binding protein CysA	4520.64
UniRef50_Q8D0W8: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	4520.64
UniRef50_UPI0003461443: phosphoadenosine phosphosulfate reductase	4460.39
UniRef50_UPI0003461443: phosphoadenosine phosphosulfate reductase|unclassified	4460.39
UniRef50_Q7N8L0: Sulfate adenylyltransferase subunit 1	3957.75
UniRef50_Q7N8L0: Sulfate adenylyltransferase subunit 1|unclassified	3957.75
UniRef50_Q87L92: Phosphoadenosine phosphosulfate reductase	3944.03
UniRef50_Q87L92: Phosphoadenosine phosphosulfate reductase|unclassified	3944.03
UniRef50_A5F3I6: Phosphoadenosine phosphosulfate reductase	3931.03
UniRef50_A5F3I6: Phosphoadenosine phosphosulfate reductase|unclassified	3931.03
UniRef50_UPI0003074F79: hypothetical protein	3775.9
UniRef50_UPI0003074F79: hypothetical protein|unclassified	3775.9
UniRef50_UPI0004659182: phosphoadenosine phosphosulfate reductase	3715.05
UniRef50_UPI0004659182: phosphoadenosine phosphosulfate reductase|unclassified	3715.05
UniRef50_R5PHD9	3675.19
UniRef50_R5PHD9|unclassified	3675.19
UniRef50_A1KL82: Phosphoadenosine phosphosulfate reductase	3658.31
UniRef50_A1KL82: Phosphoadenosine phosphosulfate reductase|unclassified	3658.31
UniRef50_C3B9B6: Sulfite reductase	3555.54
UniRef50_C3B9B6: Sulfite reductase|unclassified	3555.54
UniRef50_S7SKT6: Sulfate transport system permease protein	3523.92
UniRef50_S7SKT6: Sulfate transport system permease protein|unclassified	3523.92
UniRef50_B1FN99	3504.39
UniRef50_B1FN99|unclassified	3504.39
UniRef50_B5XV31: Adenylyl-sulfate kinase	3497.29
UniRef50_B5XV31: Adenylyl-sulfate kinase|unclassified	3497.29
UniRef50_Q8AAP9: Sulfate adenylyltransferase subunit 1	3491.04
UniRef50_Q8AAP9: Sulfate adenylyltransferase subunit 1|unclassified	3491.04
UniRef50_B1MN34: Phosphoadenosine phosphosulfate reductase	3419.59
UniRef50_B1MN34: Phosphoadenosine phosphosulfate reductase|unclassified	3419.59
UniRef50_UPI000262B719: sulfate adenylyltransferase subunit 2, partial	3372.8
UniRef50_UPI000262B719: sulfate adenylyltransferase subunit 2, partial|unclassified	3372.8
UniRef50_B5FGJ0: Phosphoadenosine phosphosulfate reductase	3367.15
UniRef50_B5FGJ0: Phosphoadenosine phosphosulfate reductase|unclassified	3367.15
UniRef50_E9CQF2: Putative sulfate/thiosulfate transporter subunit (Fragment)	3337.8
UniRef50_E9CQF2: Putative sulfate/thiosulfate transporter subunit (Fragment)|unclassified	3337.8
UniRef50_Q8EB10: Sulfate adenylyltransferase subunit 1	3326.23
UniRef50_Q8EB10: Sulfate adenylyltransferase subunit 1|unclassified	3326.23
UniRef50_UPI00047334B3: sulfate ABC transporter	3270.75
UniRef50_UPI00047334B3: sulfate ABC transporter|unclassified	3270.75
UniRef50_B2VG00: Adenylyl-sulfate kinase	3269.87
UniRef50_B2VG00: Adenylyl-sulfate kinase|unclassified	3269.87
UniRef50_UPI0002B8DD14: hypothetical protein, partial	3256.9
UniRef50_UPI0002B8DD14: hypothetical protein, partial|unclassified	3256.9
UniRef50_O50274: Bifunctional enzyme CysN/CysC	3254.39
UniRef50_O50274: Bifunctional enzyme CysN/CysC|unclassified	3254.39
UniRef50_Q8ZBP3: Adenylyl-sulfate kinase	3189.24
UniRef50_Q8ZBP3: Adenylyl-sulfate kinase|unclassified	3189.24
UniRef50_UPI000426B838: sulfate permease	3094.92
UniRef50_UPI000426B838: sulfate permease|unclassified	3094.92
UniRef50_A0KP33: Adenylyl-sulfate kinase	3091.51
UniRef50_A0KP33: Adenylyl-sulfate kinase|unclassified	3091.51
UniRef50_A7C2T9: Cysteine synthase B	3043.97
UniRef50_A7C2T9: Cysteine synthase B|unclassified	3043.97
UniRef50_W1Y0S9	3015.53
UniRef50_W1Y0S9|unclassified	3015.53
UniRef50_Q9RBV4	3010.97
UniRef50_Q9RBV4|unclassified	3010.97
UniRef50_Q8DE75: Adenylyl-sulfate kinase	2980.43
UniRef50_Q8DE75: Adenylyl-sulfate kinase|unclassified	2980.43
UniRef50_UPI0003B57090: hypothetical protein	2940.72
UniRef50_UPI0003B57090: hypothetical protein|unclassified	2940.72
UniRef50_UPI0003B7A728: sulfate ABC transporter permease, partial	2934.82
UniRef50_UPI0003B7A728: sulfate ABC transporter permease, partial|unclassified	2934.82
UniRef50_Q0A6T1: Phosphoadenosine phosphosulfate reductase	2931.68
UniRef50_Q0A6T1: Phosphoadenosine phosphosulfate reductase|unclassified	2931.68
UniRef50_X2LTS7	2906.08
UniRef50_X2LTS7|unclassified	2906.08
UniRef50_Q87SX6: Adenylyl-sulfate kinase	2886.69
UniRef50_Q87SX6: Adenylyl-sulfate kinase|unclassified	2886.69
UniRef50_E7UKP5: Sulfate transporter, CysZ-type	2873.88
UniRef50_E7UKP5: Sulfate transporter, CysZ-type|unclassified	2873.88
UniRef50_UPI000255E84E: sulfate adenylyltransferase subunit 2	2848.37
UniRef50_UPI000255E84E: sulfate adenylyltransferase subunit 2|unclassified	2848.37
UniRef50_A9DDG2: Sulfate transporter (Fragment)	2842.79
UniRef50_A9DDG2: Sulfate transporter (Fragment)|unclassified	2842.79
UniRef50_UPI000383F8C1: PREDICTED: HBS1-like protein-like, partial	2815.02
UniRef50_UPI000383F8C1: PREDICTED: HBS1-like protein-like, partial|unclassified	2815.02
UniRef50_UPI0003C16A5C: PREDICTED: solute carrier family 26 member 6-like	2794
UniRef50_UPI0003C16A5C: PREDICTED: solute carrier family 26 member 6-like|unclassified	2794
UniRef50_Q9PD78: Bifunctional enzyme CysN/CysC	2773.93
UniRef50_Q9PD78: Bifunctional enzyme CysN/CysC|unclassified	2773.93
UniRef50_Q82WT5: Sulfate/thiosulfate import ATP-binding protein CysA	2768.19
UniRef50_Q82WT5: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	2768.19
UniRef50_Q6D201: Sulfate/thiosulfate import ATP-binding protein CysA	2756.36
UniRef50_Q6D201: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	2756.36
UniRef50_Q9KP21: Adenylyl-sulfate kinase	2711.97
UniRef50_Q9KP21: Adenylyl-sulfate kinase|unclassified	2711.97
