# Gene Family	SampleCysteine_Biosynthesis_Abundance-RPKs
UNMAPPED	24380.0000000000
UniRef50_B1FNA0	8557.3781859280
UniRef50_B1FNA0|unclassified	8557.3781859280
UniRef50_UPI0003703D09: hypothetical protein	6465.7505371306
UniRef50_UPI0003703D09: hypothetical protein|unclassified	6465.7505371306
UniRef50_UPI0001CBF41C: ABC transporter sulfate permease, partial	6148.0366662393
UniRef50_UPI0001CBF41C: ABC transporter sulfate permease, partial|unclassified	6148.0366662393
UniRef50_UPI000262A813: sulfate ABC transporter permease	5565.4936973066
UniRef50_UPI000262A813: sulfate ABC transporter permease|unclassified	5565.4936973066
UniRef50_UPI000255A1B2: sulfate-binding protein	4314.0020625981
UniRef50_UPI000255A1B2: sulfate-binding protein|unclassified	4314.0020625981
UniRef50_UPI00035E3AF9: hypothetical protein	4192.5879414234
UniRef50_UPI00035E3AF9: hypothetical protein|unclassified	4192.5879414234
UniRef50_UPI00019134CA: hypothetical protein, partial	3879.7502846586
UniRef50_UPI00019134CA: hypothetical protein, partial|unclassified	3879.7502846586
UniRef50_P65671: Sulfate adenylyltransferase subunit 2	3705.5998905756
UniRef50_P65671: Sulfate adenylyltransferase subunit 2|unclassified	3705.5998905756
UniRef50_A0A011QZH6: Sulfate starvation-induced protein 2	3684.9583063685
UniRef50_A0A011QZH6: Sulfate starvation-induced protein 2|unclassified	3684.9583063685
UniRef50_Q21IS4: Sulfate adenylyltransferase subunit 2	3668.5524601344
UniRef50_Q21IS4: Sulfate adenylyltransferase subunit 2|unclassified	3668.5524601344
UniRef50_UPI0003B49272: sulfate/thiosulfate transporter permease subunit, partial	3320.9763861281
UniRef50_UPI0003B49272: sulfate/thiosulfate transporter permease subunit, partial|unclassified	3320.9763861281
UniRef50_A9M7D7: Sulfate adenylyltransferase subunit 2	3310.1402618899
UniRef50_A9M7D7: Sulfate adenylyltransferase subunit 2|unclassified	3310.1402618899
UniRef50_UPI0003773694: hypothetical protein	3184.8882692750
UniRef50_UPI0003773694: hypothetical protein|unclassified	3184.8882692750
UniRef50_Q87DG8: Sulfate adenylyltransferase subunit 2	3088.0905369604
UniRef50_Q87DG8: Sulfate adenylyltransferase subunit 2|unclassified	3088.0905369604
UniRef50_A0A011Q772	3071.1634322365
UniRef50_A0A011Q772|unclassified	3071.1634322365
UniRef50_Q4UY06: Sulfate adenylyltransferase subunit 2	2994.7538245750
UniRef50_Q4UY06: Sulfate adenylyltransferase subunit 2|unclassified	2994.7538245750
UniRef50_UPI00037A2399: hypothetical protein	2916.0004481805
UniRef50_UPI00037A2399: hypothetical protein|unclassified	2916.0004481805
UniRef50_V8DPQ3	2855.9675847954
UniRef50_V8DPQ3|unclassified	2855.9675847954
UniRef50_UPI00016A829A: hypothetical protein	2727.2334783727
UniRef50_UPI00016A829A: hypothetical protein|unclassified	2727.2334783727
UniRef50_UPI000471E1F6: hypothetical protein, partial	2645.6098440137
UniRef50_UPI000471E1F6: hypothetical protein, partial|unclassified	2645.6098440137
UniRef50_UPI00016A8299: nitrite/sulfite reductase family protein	2585.6391472559
UniRef50_UPI00016A8299: nitrite/sulfite reductase family protein|unclassified	2585.6391472559
UniRef50_UPI0002485FFA: sulfite reductase	2455.7213786989
UniRef50_UPI0002485FFA: sulfite reductase|unclassified	2455.7213786989
UniRef50_Q8CMX3: Phosphoadenosine phosphosulfate reductase	2435.8703595139
UniRef50_Q8CMX3: Phosphoadenosine phosphosulfate reductase|unclassified	2435.8703595139
UniRef50_B7VI85: Sulfite reductase [NADPH] hemoprotein beta-component	2427.4246391522
UniRef50_B7VI85: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	2427.4246391522
UniRef50_Q8RKZ7	2309.9426150538
UniRef50_Q8RKZ7|unclassified	2309.9426150538
UniRef50_W1EIM5	2268.8988259774
UniRef50_W1EIM5|unclassified	2268.8988259774
UniRef50_K8A7R1	2235.4242229973
UniRef50_K8A7R1|unclassified	2235.4242229973
UniRef50_UPI00030F326B: sulfate transporter	2202.1669636736
UniRef50_UPI00030F326B: sulfate transporter|unclassified	2202.1669636736
UniRef50_H0JSG1	2016.7843263993
UniRef50_H0JSG1|unclassified	2016.7843263993
UniRef50_UPI000367B1F8: hypothetical protein	1951.2885560772
UniRef50_UPI000367B1F8: hypothetical protein|unclassified	1951.2885560772
UniRef50_UPI000470129B: hypothetical protein	1934.8540265712
UniRef50_UPI000470129B: hypothetical protein|unclassified	1934.8540265712
UniRef50_Q66ED4: Sulfite reductase [NADPH] flavoprotein alpha-component	1886.7079153171
UniRef50_Q66ED4: Sulfite reductase [NADPH] flavoprotein alpha-component|unclassified	1886.7079153171
UniRef50_Q9JUD9: Sulfite reductase [NADPH] hemoprotein beta-component	1793.8719658014
UniRef50_Q9JUD9: Sulfite reductase [NADPH] hemoprotein beta-component|unclassified	1793.8719658014
UniRef50_P29848: Cysteine synthase B	1764.4479405035
UniRef50_P29848: Cysteine synthase B|unclassified	1764.4479405035
UniRef50_A7FLY2: Sulfate adenylyltransferase subunit 1	1759.5003861089
UniRef50_A7FLY2: Sulfate adenylyltransferase subunit 1|unclassified	1759.5003861089
UniRef50_G9ZHR7	1707.1375268858
UniRef50_G9ZHR7|unclassified	1707.1375268858
UniRef50_C4ZZR6: Phosphoadenosine phosphosulfate reductase	1684.0704403855
UniRef50_C4ZZR6: Phosphoadenosine phosphosulfate reductase|unclassified	1684.0704403855
UniRef50_W7WQX4	1654.4721149194
UniRef50_W7WQX4|unclassified	1654.4721149194
UniRef50_Q9I526: Cysteine synthase B	1622.0153758250
UniRef50_Q9I526: Cysteine synthase B|unclassified	1622.0153758250
UniRef50_UPI0003750D31: hypothetical protein, partial	1613.5973726754
UniRef50_UPI0003750D31: hypothetical protein, partial|unclassified	1613.5973726754
UniRef50_Z5XFJ5: Sulfate ABC transporter (Fragment)	1597.9827910825
UniRef50_Z5XFJ5: Sulfate ABC transporter (Fragment)|unclassified	1597.9827910825
UniRef50_S2IJT1	1594.8328479451
UniRef50_S2IJT1|unclassified	1594.8328479451
UniRef50_Q8D0W8: Sulfate/thiosulfate import ATP-binding protein CysA	1535.6677991256
UniRef50_Q8D0W8: Sulfate/thiosulfate import ATP-binding protein CysA|unclassified	1535.6677991256
UniRef50_UPI0003461443: phosphoadenosine phosphosulfate reductase	1515.2009965258
UniRef50_UPI0003461443: phosphoadenosine phosphosulfate reductase|unclassified	1515.2009965258
UniRef50_Q7N8L0: Sulfate adenylyltransferase subunit 1	1344.4536015257
UniRef50_Q7N8L0: Sulfate adenylyltransferase subunit 1|unclassified	1344.4536015257
UniRef50_Q87L92: Phosphoadenosine phosphosulfate reductase	1339.7925608344
UniRef50_Q87L92: Phosphoadenosine phosphosulfate reductase|unclassified	1339.7925608344
UniRef50_A5F3I6: Phosphoadenosine phosphosulfate reductase	1335.3773584164
UniRef50_A5F3I6: Phosphoadenosine phosphosulfate reductase|unclassified	1335.3773584164
UniRef50_UPI0003074F79: hypothetical protein	1282.6783117664
UniRef50_UPI0003074F79: hypothetical protein|unclassified	1282.6783117664
UniRef50_UPI0004659182: phosphoadenosine phosphosulfate reductase	1262.0067189777
UniRef50_UPI0004659182: phosphoadenosine phosphosulfate reductase|unclassified	1262.0067189777
UniRef50_R5PHD9	1248.4680503801
UniRef50_R5PHD9|unclassified	1248.4680503801
UniRef50_A1KL82: Phosphoadenosine phosphosulfate reductase	1242.7321047689
UniRef50_A1KL82: Phosphoadenosine phosphosulfate reductase|unclassified	1242.7321047689
UniRef50_C3B9B6: Sulfite reductase	1207.8214973935
UniRef50_C3B9B6: Sulfite reductase|unclassified	1207.8214973935
UniRef50_S7SKT6: Sulfate transport system permease protein	1197.0792544536
UniRef50_S7SKT6: Sulfate transport system permease protein|unclassified	1197.0792544536
UniRef50_B1FN99	1190.4469916495
UniRef50_B1FN99|unclassified	1190.4469916495
UniRef50_B5XV31: Adenylyl-sulfate kinase	1188.0349166961
UniRef50_B5XV31: Adenylyl-sulfate kinase|unclassified	1188.0349166961
UniRef50_Q8AAP9: Sulfate adenylyltransferase subunit 1	1185.9117325499
UniRef50_Q8AAP9: Sulfate adenylyltransferase subunit 1|unclassified	1185.9117325499
UniRef50_B1MN34: Phosphoadenosine phosphosulfate reductase	1161.6389448992
UniRef50_B1MN34: Phosphoadenosine phosphosulfate reductase|unclassified	1161.6389448992
UniRef50_UPI000262B719: sulfate adenylyltransferase subunit 2, partial	1145.7445974124
UniRef50_UPI000262B719: sulfate adenylyltransferase subunit 2, partial|unclassified	1145.7445974124
UniRef50_B5FGJ0: Phosphoadenosine phosphosulfate reductase	1143.8265950505
UniRef50_B5FGJ0: Phosphoadenosine phosphosulfate reductase|unclassified	1143.8265950505
UniRef50_E9CQF2: Putative sulfate/thiosulfate transporter subunit (Fragment)	1133.8545398353
UniRef50_E9CQF2: Putative sulfate/thiosulfate transporter subunit (Fragment)|unclassified	1133.8545398353
