# Gene Family	SampleDNA-replication_Abundance-CPM
UNMAPPED	152624
UniRef50_B9IYZ4: Holliday junction ATP-dependent DNA helicase RuvB	8213.09
UniRef50_B9IYZ4: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	8213.09
UniRef50_Q7W4T6: Holliday junction ATP-dependent DNA helicase RuvB	7911.43
UniRef50_Q7W4T6: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	7911.43
UniRef50_P28630: DNA polymerase III subunit delta	7104.6
UniRef50_P28630: DNA polymerase III subunit delta|unclassified	7104.6
UniRef50_L8UD66	7018.33
UniRef50_L8UD66|unclassified	7018.33
UniRef50_P0A1H0: DNA polymerase III subunit epsilon	6800.32
UniRef50_P0A1H0: DNA polymerase III subunit epsilon|unclassified	6800.32
UniRef50_Q07H98: Holliday junction ATP-dependent DNA helicase RuvB	6264.21
UniRef50_Q07H98: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	6264.21
UniRef50_Q7MWU9: Holliday junction DNA helicase RuvB	6029.92
UniRef50_Q7MWU9: Holliday junction DNA helicase RuvB|unclassified	6029.92
UniRef50_Q8FB22: Replicative DNA helicase	6019.36
UniRef50_Q8FB22: Replicative DNA helicase|unclassified	6019.36
UniRef50_UPI000472B86B: hypothetical protein	5810.34
UniRef50_UPI000472B86B: hypothetical protein|unclassified	5810.34
UniRef50_UPI0003C7CA73: DNA-binding protein, partial	5642.88
UniRef50_UPI0003C7CA73: DNA-binding protein, partial|unclassified	5642.88
UniRef50_L8UGN8	5142.7
UniRef50_L8UGN8|unclassified	5142.7
UniRef50_A0LUK5: Holliday junction ATP-dependent DNA helicase RuvB	5086.55
UniRef50_A0LUK5: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	5086.55
UniRef50_W1XI90: Primosomal protein N (Fragment)	4904.4
UniRef50_W1XI90: Primosomal protein N (Fragment)|unclassified	4904.4
UniRef50_P0ABS6: DNA primase	4613.22
UniRef50_P0ABS6: DNA primase|unclassified	4613.22
UniRef50_P52022: DNA polymerase III subunit alpha	4607.16
