# Gene Family	SampleDNA-replication_Abundance-RPKs
UNMAPPED	40611.0000000000
UniRef50_B9IYZ4: Holliday junction ATP-dependent DNA helicase RuvB	2185.3781999640
UniRef50_B9IYZ4: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	2185.3781999640
UniRef50_Q7W4T6: Holliday junction ATP-dependent DNA helicase RuvB	2105.1102599193
UniRef50_Q7W4T6: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	2105.1102599193
UniRef50_P28630: DNA polymerase III subunit delta	1890.4240820765
UniRef50_P28630: DNA polymerase III subunit delta|unclassified	1890.4240820765
UniRef50_L8UD66	1867.4707283001
UniRef50_L8UD66|unclassified	1867.4707283001
UniRef50_P0A1H0: DNA polymerase III subunit epsilon	1809.4597685286
UniRef50_P0A1H0: DNA polymerase III subunit epsilon|unclassified	1809.4597685286
UniRef50_Q07H98: Holliday junction ATP-dependent DNA helicase RuvB	1666.8110924252
UniRef50_Q07H98: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	1666.8110924252
UniRef50_Q7MWU9: Holliday junction DNA helicase RuvB	1604.4693130554
UniRef50_Q7MWU9: Holliday junction DNA helicase RuvB|unclassified	1604.4693130554
UniRef50_Q8FB22: Replicative DNA helicase	1601.6587143151
UniRef50_Q8FB22: Replicative DNA helicase|unclassified	1601.6587143151
UniRef50_UPI000472B86B: hypothetical protein	1546.0411255424
UniRef50_UPI000472B86B: hypothetical protein|unclassified	1546.0411255424
UniRef50_UPI0003C7CA73: DNA-binding protein, partial	1501.4846613298
UniRef50_UPI0003C7CA73: DNA-binding protein, partial|unclassified	1501.4846613298
UniRef50_L8UGN8	1368.3926743499
UniRef50_L8UGN8|unclassified	1368.3926743499
UniRef50_A0LUK5: Holliday junction ATP-dependent DNA helicase RuvB	1353.4516733972
UniRef50_A0LUK5: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	1353.4516733972
UniRef50_W1XI90: Primosomal protein N (Fragment)	1304.9861928183
UniRef50_W1XI90: Primosomal protein N (Fragment)|unclassified	1304.9861928183
UniRef50_P0ABS6: DNA primase	1227.5058721316
UniRef50_P0ABS6: DNA primase|unclassified	1227.5058721316
UniRef50_P52022: DNA polymerase III subunit alpha	1225.8938063413
UniRef50_P52022: DNA polymerase III subunit alpha|unclassified	1225.8938063413
UniRef50_B7VMI3: Holliday junction ATP-dependent DNA helicase RuvA	1223.2721700759
UniRef50_B7VMI3: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	1223.2721700759
UniRef50_A2C638: Holliday junction ATP-dependent DNA helicase RuvB	1154.4678837186
UniRef50_A2C638: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	1154.4678837186
UniRef50_Q5HT48: Holliday junction ATP-dependent DNA helicase RuvB	1128.7150953265
UniRef50_Q5HT48: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	1128.7150953265
UniRef50_Q115Z7: Holliday junction ATP-dependent DNA helicase RuvB	1114.4527403580
UniRef50_Q115Z7: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	1114.4527403580
UniRef50_UPI00046E91F0: ATP-dependent DNA helicase RuvB	1100.6012323441
UniRef50_UPI00046E91F0: ATP-dependent DNA helicase RuvB|unclassified	1100.6012323441
UniRef50_P28631: DNA polymerase III subunit delta'	1029.6160765355
UniRef50_P28631: DNA polymerase III subunit delta'|unclassified	1029.6160765355
UniRef50_P43749: DNA polymerase III subunit chi	953.8937665480
UniRef50_P43749: DNA polymerase III subunit chi|unclassified	953.8937665480
UniRef50_UPI000463909B: DNA polymerase III subunit chi	932.5820053419
UniRef50_UPI000463909B: DNA polymerase III subunit chi|unclassified	932.5820053419
UniRef50_C0QKP4: Holliday junction ATP-dependent DNA helicase RuvB	890.6128211869
UniRef50_C0QKP4: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	890.6128211869
UniRef50_UPI0002F8EAB4: hypothetical protein	887.6172391880
UniRef50_UPI0002F8EAB4: hypothetical protein|unclassified	887.6172391880
UniRef50_P45256: Replicative DNA helicase	884.7610641081
UniRef50_P45256: Replicative DNA helicase|unclassified	884.7610641081
UniRef50_UPI000472A22B: hypothetical protein	871.6490445232
UniRef50_UPI000472A22B: hypothetical protein|unclassified	871.6490445232
UniRef50_UPI0003EB3D8F: hypothetical protein	863.8473456432
UniRef50_UPI0003EB3D8F: hypothetical protein|unclassified	863.8473456432
UniRef50_A8F5R0: Holliday junction ATP-dependent DNA helicase RuvB	848.7825749173
UniRef50_A8F5R0: Holliday junction ATP-dependent DNA helicase RuvB|unclassified	848.7825749173
UniRef50_H9UPB7: Primosomal replication protein N	844.0452873971
UniRef50_H9UPB7: Primosomal replication protein N|unclassified	844.0452873971
UniRef50_L8UD71	810.4146981188
UniRef50_L8UD71|unclassified	810.4146981188
