# Gene Family	SampleDNA_Repair_Base_Excision_Abundance-CPM
UNMAPPED	132216
UniRef50_UPI0003817925: DNA polymerase, partial	11961.4
UniRef50_UPI0003817925: DNA polymerase, partial|unclassified	11961.4
UniRef50_P04995: Exodeoxyribonuclease I	9443.28
UniRef50_P04995: Exodeoxyribonuclease I|unclassified	9443.28
UniRef50_Q92GH4: Endonuclease III	8007.07
UniRef50_Q92GH4: Endonuclease III|unclassified	8007.07
UniRef50_B7NMR0: Endonuclease 8	7187.64
UniRef50_B7NMR0: Endonuclease 8|unclassified	7187.64
UniRef50_UPI0002FBA11D: DNA polymerase I	7184.03
UniRef50_UPI0002FBA11D: DNA polymerase I|unclassified	7184.03
UniRef50_P04395: DNA-3-methyladenine glycosylase 2	7049.11
UniRef50_P04395: DNA-3-methyladenine glycosylase 2|unclassified	7049.11
UniRef50_G4AFE6	7023.15
UniRef50_G4AFE6|unclassified	7023.15
UniRef50_Q4UK93: Endonuclease III	6654.23
UniRef50_Q4UK93: Endonuclease III|unclassified	6654.23
UniRef50_P21893: Single-stranded-DNA-specific exonuclease RecJ	6627.79
UniRef50_P21893: Single-stranded-DNA-specific exonuclease RecJ|unclassified	6627.79
UniRef50_UPI0004638083: endonuclease III	6544.49
UniRef50_UPI0004638083: endonuclease III|unclassified	6544.49
UniRef50_O05956: Endonuclease III	6265.02
UniRef50_O05956: Endonuclease III|unclassified	6265.02
UniRef50_A0A011NCB6: Endonuclease III	6254.43
UniRef50_A0A011NCB6: Endonuclease III|unclassified	6254.43
UniRef50_Q9HT80: DNA polymerase I	6098.58
UniRef50_Q9HT80: DNA polymerase I|unclassified	6098.58
UniRef50_Q7MPS3: Formamidopyrimidine-DNA glycosylase	5986.06
UniRef50_Q7MPS3: Formamidopyrimidine-DNA glycosylase|unclassified	5986.06
UniRef50_A0A011NQR2: Endonuclease III	5942.37
UniRef50_A0A011NQR2: Endonuclease III|unclassified	5942.37
UniRef50_P43741: DNA polymerase I	5620.39
UniRef50_P43741: DNA polymerase I|unclassified	5620.39
UniRef50_P73715: Endonuclease III	5515.5
UniRef50_P73715: Endonuclease III|unclassified	5515.5
UniRef50_O34996: DNA polymerase I	5074.04
UniRef50_O34996: DNA polymerase I|unclassified	5074.04
UniRef50_Q71YR0: DNA ligase	4715.24
UniRef50_Q71YR0: DNA ligase|unclassified	4715.24
UniRef50_P39788: Endonuclease III	4693.78
UniRef50_P39788: Endonuclease III|unclassified	4693.78
UniRef50_V4R6A6: SsDNA exonuclease RecJ	4673.3
UniRef50_V4R6A6: SsDNA exonuclease RecJ|unclassified	4673.3
UniRef50_P05100: DNA-3-methyladenine glycosylase 1	4328.34
UniRef50_P05100: DNA-3-methyladenine glycosylase 1|unclassified	4328.34
UniRef50_Q2P8V2: Formamidopyrimidine-DNA glycosylase	4262.86
UniRef50_Q2P8V2: Formamidopyrimidine-DNA glycosylase|unclassified	4262.86
UniRef50_UPI00036AA19C: DNA polymerase I, partial	4091.63
UniRef50_UPI00036AA19C: DNA polymerase I, partial|unclassified	4091.63
UniRef50_UPI000470CE4D: hypothetical protein	4027.33
UniRef50_UPI000470CE4D: hypothetical protein|unclassified	4027.33
UniRef50_Q9CB92: Endonuclease III	4004.67
UniRef50_Q9CB92: Endonuclease III|unclassified	4004.67
UniRef50_UPI000255654A: endonuclease III	3970.36
UniRef50_UPI000255654A: endonuclease III|unclassified	3970.36
UniRef50_UPI0002375E02: DNA polymerase I, partial	3954.06
UniRef50_UPI0002375E02: DNA polymerase I, partial|unclassified	3954.06
UniRef50_Q5F8Z9: Formamidopyrimidine-DNA glycosylase	3945.59
UniRef50_Q5F8Z9: Formamidopyrimidine-DNA glycosylase|unclassified	3945.59
UniRef50_Q8KA16: Endonuclease III	3852.73
UniRef50_Q8KA16: Endonuclease III|unclassified	3852.73
UniRef50_O32801: DNA polymerase I	3844.67
UniRef50_O32801: DNA polymerase I|unclassified	3844.67
UniRef50_U1CNT6	3788.72
UniRef50_U1CNT6|unclassified	3788.72
UniRef50_UPI000473A99F: endonuclease III, partial	3575.47
UniRef50_UPI000473A99F: endonuclease III, partial|unclassified	3575.47
UniRef50_UPI0003657D3A: endonuclease IV	3518.73
UniRef50_UPI0003657D3A: endonuclease IV|unclassified	3518.73
UniRef50_Q8CKY2	3411.35
UniRef50_Q8CKY2|unclassified	3411.35
UniRef50_UPI00035E16B4: hypothetical protein, partial	3393.77
UniRef50_UPI00035E16B4: hypothetical protein, partial|unclassified	3393.77
UniRef50_A7ZQP2: Flap endonuclease Xni	3365.06
UniRef50_A7ZQP2: Flap endonuclease Xni|unclassified	3365.06
UniRef50_P55045: Formamidopyrimidine-DNA glycosylase	3261.61
UniRef50_P55045: Formamidopyrimidine-DNA glycosylase|unclassified	3261.61
UniRef50_UPI0003B7357B: excisionase, partial	3260.46
UniRef50_UPI0003B7357B: excisionase, partial|unclassified	3260.46
UniRef50_UPI0003EE3A93: hypothetical protein	3156.64
UniRef50_UPI0003EE3A93: hypothetical protein|unclassified	3156.64
UniRef50_Q89AW4: Endonuclease III	3114.16
UniRef50_Q89AW4: Endonuclease III|unclassified	3114.16
UniRef50_Q1BTH0: Formamidopyrimidine-DNA glycosylase	3113.1
UniRef50_Q1BTH0: Formamidopyrimidine-DNA glycosylase|unclassified	3113.1
UniRef50_Q9S1G2: DNA polymerase I	3085.31
UniRef50_Q9S1G2: DNA polymerase I|unclassified	3085.31
UniRef50_UPI0002F5AC93: hypothetical protein	3084.14
UniRef50_UPI0002F5AC93: hypothetical protein|unclassified	3084.14
UniRef50_UPI00041A4387: DNA polymerase I	2933.44
UniRef50_UPI00041A4387: DNA polymerase I|unclassified	2933.44
UniRef50_N3SR52: DHH family protein	2838.62
UniRef50_N3SR52: DHH family protein|unclassified	2838.62
UniRef50_G4AFE7	2832.64
UniRef50_G4AFE7|unclassified	2832.64
UniRef50_Q73CV5: Putative 3-methyladenine DNA glycosylase	2781
UniRef50_Q73CV5: Putative 3-methyladenine DNA glycosylase|unclassified	2781
UniRef50_UPI000344FFF2: DNA polymerase II	2759.42
UniRef50_UPI000344FFF2: DNA polymerase II|unclassified	2759.42
UniRef50_UPI0004739F9C: endonuclease III, partial	2735.54
UniRef50_UPI0004739F9C: endonuclease III, partial|unclassified	2735.54
UniRef50_Q1BHI7: DNA ligase	2709.4
UniRef50_Q1BHI7: DNA ligase|unclassified	2709.4
UniRef50_R6GBI1	2703.32
UniRef50_R6GBI1|unclassified	2703.32
UniRef50_P46835: DNA polymerase I	2682.96
UniRef50_P46835: DNA polymerase I|unclassified	2682.96
UniRef50_UPI0003C781B5: hypothetical protein	2670.71
UniRef50_UPI0003C781B5: hypothetical protein|unclassified	2670.71
UniRef50_X6L0A3	2668.89
UniRef50_X6L0A3|unclassified	2668.89
UniRef50_Q837G3: Formamidopyrimidine-DNA glycosylase	2591.45
UniRef50_Q837G3: Formamidopyrimidine-DNA glycosylase|unclassified	2591.45
UniRef50_UPI000364433A: hypothetical protein	2572.27
UniRef50_UPI000364433A: hypothetical protein|unclassified	2572.27
UniRef50_UPI0002897FE3: DNA polymerase I	2543.33
UniRef50_UPI0002897FE3: DNA polymerase I|unclassified	2543.33
UniRef50_UPI00047E27F4: hypothetical protein	2528.21
UniRef50_UPI00047E27F4: hypothetical protein|unclassified	2528.21
UniRef50_UPI00037A3B37: hypothetical protein	2504.49
UniRef50_UPI00037A3B37: hypothetical protein|unclassified	2504.49
UniRef50_Q5HLQ3: Putative 3-methyladenine DNA glycosylase	2453.57
UniRef50_Q5HLQ3: Putative 3-methyladenine DNA glycosylase|unclassified	2453.57
UniRef50_UPI000465B46D: endonuclease	2425.49
UniRef50_UPI000465B46D: endonuclease|unclassified	2425.49
UniRef50_Q7VUG7: Formamidopyrimidine-DNA glycosylase	2390.77
UniRef50_Q7VUG7: Formamidopyrimidine-DNA glycosylase|unclassified	2390.77
UniRef50_Q83Z33	2382.02
UniRef50_Q83Z33|unclassified	2382.02
UniRef50_UPI0001AF2D93: DNA-3-methyladenine glycosylase I protein	2368.85
UniRef50_UPI0001AF2D93: DNA-3-methyladenine glycosylase I protein|unclassified	2368.85
UniRef50_P9WNC2: Formamidopyrimidine-DNA glycosylase 1	2354.4
UniRef50_P9WNC2: Formamidopyrimidine-DNA glycosylase 1|unclassified	2354.4
UniRef50_A2RIF3: DNA ligase	2340.19
UniRef50_A2RIF3: DNA ligase|unclassified	2340.19
UniRef50_UPI00047AAC54: DNA polymerase I	2326.31
UniRef50_UPI00047AAC54: DNA polymerase I|unclassified	2326.31
UniRef50_V8ANW6	2260.91
UniRef50_V8ANW6|unclassified	2260.91
UniRef50_UPI000360A9AC: hypothetical protein	2259.56
UniRef50_UPI000360A9AC: hypothetical protein|unclassified	2259.56
