# Gene Family	SampleDNA_Repair_Base_Excision_Abundance-RPKs
UNMAPPED	30597.0000000000
UniRef50_UPI0003817925: DNA polymerase, partial	2768.0514625043
UniRef50_UPI0003817925: DNA polymerase, partial|unclassified	2768.0514625043
UniRef50_P04995: Exodeoxyribonuclease I	2185.3264569836
UniRef50_P04995: Exodeoxyribonuclease I|unclassified	2185.3264569836
UniRef50_Q92GH4: Endonuclease III	1852.9644489634
UniRef50_Q92GH4: Endonuclease III|unclassified	1852.9644489634
UniRef50_B7NMR0: Endonuclease 8	1663.3347185648
UniRef50_B7NMR0: Endonuclease 8|unclassified	1663.3347185648
UniRef50_UPI0002FBA11D: DNA polymerase I	1662.4994388771
UniRef50_UPI0002FBA11D: DNA polymerase I|unclassified	1662.4994388771
UniRef50_P04395: DNA-3-methyladenine glycosylase 2	1631.2786345380
UniRef50_P04395: DNA-3-methyladenine glycosylase 2|unclassified	1631.2786345380
UniRef50_G4AFE6	1625.2710301991
UniRef50_G4AFE6|unclassified	1625.2710301991
UniRef50_Q4UK93: Endonuclease III	1539.8966330328
UniRef50_Q4UK93: Endonuclease III|unclassified	1539.8966330328
UniRef50_P21893: Single-stranded-DNA-specific exonuclease RecJ	1533.7776667049
UniRef50_P21893: Single-stranded-DNA-specific exonuclease RecJ|unclassified	1533.7776667049
UniRef50_UPI0004638083: endonuclease III	1514.5014835779
UniRef50_UPI0004638083: endonuclease III|unclassified	1514.5014835779
UniRef50_O05956: Endonuclease III	1449.8272600006
UniRef50_O05956: Endonuclease III|unclassified	1449.8272600006
UniRef50_A0A011NCB6: Endonuclease III	1447.3762600855
UniRef50_A0A011NCB6: Endonuclease III|unclassified	1447.3762600855
UniRef50_Q9HT80: DNA polymerase I	1411.3097138703
UniRef50_Q9HT80: DNA polymerase I|unclassified	1411.3097138703
UniRef50_Q7MPS3: Formamidopyrimidine-DNA glycosylase	1385.2697951251
UniRef50_Q7MPS3: Formamidopyrimidine-DNA glycosylase|unclassified	1385.2697951251
UniRef50_A0A011NQR2: Endonuclease III	1375.1603725680
UniRef50_A0A011NQR2: Endonuclease III|unclassified	1375.1603725680
UniRef50_P43741: DNA polymerase I	1300.6488678983
UniRef50_P43741: DNA polymerase I|unclassified	1300.6488678983
UniRef50_P73715: Endonuclease III	1276.3751580056
UniRef50_P73715: Endonuclease III|unclassified	1276.3751580056
UniRef50_O34996: DNA polymerase I	1174.2149975387
UniRef50_O34996: DNA polymerase I|unclassified	1174.2149975387
UniRef50_Q71YR0: DNA ligase	1091.1829926632
UniRef50_Q71YR0: DNA ligase|unclassified	1091.1829926632
UniRef50_P39788: Endonuclease III	1086.2174383544
UniRef50_P39788: Endonuclease III|unclassified	1086.2174383544
UniRef50_V4R6A6: SsDNA exonuclease RecJ	1081.4777015476
UniRef50_V4R6A6: SsDNA exonuclease RecJ|unclassified	1081.4777015476
UniRef50_P05100: DNA-3-methyladenine glycosylase 1	1001.6466775545
UniRef50_P05100: DNA-3-methyladenine glycosylase 1|unclassified	1001.6466775545
UniRef50_Q2P8V2: Formamidopyrimidine-DNA glycosylase	986.4939740207
UniRef50_Q2P8V2: Formamidopyrimidine-DNA glycosylase|unclassified	986.4939740207
UniRef50_UPI00036AA19C: DNA polymerase I, partial	946.8694281829
UniRef50_UPI00036AA19C: DNA polymerase I, partial|unclassified	946.8694281829
UniRef50_UPI000470CE4D: hypothetical protein	931.9883670846
UniRef50_UPI000470CE4D: hypothetical protein|unclassified	931.9883670846
UniRef50_Q9CB92: Endonuclease III	926.7444779568
UniRef50_Q9CB92: Endonuclease III|unclassified	926.7444779568
UniRef50_UPI000255654A: endonuclease III	918.8046908922
UniRef50_UPI000255654A: endonuclease III|unclassified	918.8046908922
UniRef50_UPI0002375E02: DNA polymerase I, partial	915.0331057713
UniRef50_UPI0002375E02: DNA polymerase I, partial|unclassified	915.0331057713
UniRef50_Q5F8Z9: Formamidopyrimidine-DNA glycosylase	913.0727840434
UniRef50_Q5F8Z9: Formamidopyrimidine-DNA glycosylase|unclassified	913.0727840434
UniRef50_Q8KA16: Endonuclease III	891.5833570567
UniRef50_Q8KA16: Endonuclease III|unclassified	891.5833570567
UniRef50_O32801: DNA polymerase I	889.7193238374
UniRef50_O32801: DNA polymerase I|unclassified	889.7193238374
UniRef50_U1CNT6	876.7707879143
UniRef50_U1CNT6|unclassified	876.7707879143
UniRef50_UPI000473A99F: endonuclease III, partial	827.4210700489
UniRef50_UPI000473A99F: endonuclease III, partial|unclassified	827.4210700489
UniRef50_UPI0003657D3A: endonuclease IV	814.2898885356
UniRef50_UPI0003657D3A: endonuclease IV|unclassified	814.2898885356
UniRef50_Q8CKY2	789.4408308873
UniRef50_Q8CKY2|unclassified	789.4408308873
UniRef50_UPI00035E16B4: hypothetical protein, partial	785.3736163337
UniRef50_UPI00035E16B4: hypothetical protein, partial|unclassified	785.3736163337
UniRef50_A7ZQP2: Flap endonuclease Xni	778.7300154601
UniRef50_A7ZQP2: Flap endonuclease Xni|unclassified	778.7300154601
UniRef50_P55045: Formamidopyrimidine-DNA glycosylase	754.7893839568
UniRef50_P55045: Formamidopyrimidine-DNA glycosylase|unclassified	754.7893839568
UniRef50_UPI0003B7357B: excisionase, partial	754.5222970427
UniRef50_UPI0003B7357B: excisionase, partial|unclassified	754.5222970427
UniRef50_UPI0003EE3A93: hypothetical protein	730.4969384291
UniRef50_UPI0003EE3A93: hypothetical protein|unclassified	730.4969384291
UniRef50_Q89AW4: Endonuclease III	720.6677408584
UniRef50_Q89AW4: Endonuclease III|unclassified	720.6677408584
UniRef50_Q1BTH0: Formamidopyrimidine-DNA glycosylase	720.4221032545
UniRef50_Q1BTH0: Formamidopyrimidine-DNA glycosylase|unclassified	720.4221032545
UniRef50_Q9S1G2: DNA polymerase I	713.9894182095
UniRef50_Q9S1G2: DNA polymerase I|unclassified	713.9894182095
UniRef50_UPI0002F5AC93: hypothetical protein	713.7205860373
UniRef50_UPI0002F5AC93: hypothetical protein|unclassified	713.7205860373
UniRef50_UPI00041A4387: DNA polymerase I	678.8446950760
UniRef50_UPI00041A4387: DNA polymerase I|unclassified	678.8446950760
UniRef50_N3SR52: DHH family protein	656.9014930042
UniRef50_N3SR52: DHH family protein|unclassified	656.9014930042
UniRef50_G4AFE7	655.5189690010
UniRef50_G4AFE7|unclassified	655.5189690010
UniRef50_Q73CV5: Putative 3-methyladenine DNA glycosylase	643.5678492446
UniRef50_Q73CV5: Putative 3-methyladenine DNA glycosylase|unclassified	643.5678492446
UniRef50_UPI000344FFF2: DNA polymerase II	638.5743411338
UniRef50_UPI000344FFF2: DNA polymerase II|unclassified	638.5743411338
UniRef50_UPI0004739F9C: endonuclease III, partial	633.0473845047
UniRef50_UPI0004739F9C: endonuclease III, partial|unclassified	633.0473845047
UniRef50_Q1BHI7: DNA ligase	626.9981181765
UniRef50_Q1BHI7: DNA ligase|unclassified	626.9981181765
UniRef50_R6GBI1	625.5927241281
UniRef50_R6GBI1|unclassified	625.5927241281
UniRef50_P46835: DNA polymerase I	620.8792147533
UniRef50_P46835: DNA polymerase I|unclassified	620.8792147533
UniRef50_UPI0003C781B5: hypothetical protein	618.0458084262
UniRef50_UPI0003C781B5: hypothetical protein|unclassified	618.0458084262
UniRef50_X6L0A3	617.6249407310
UniRef50_X6L0A3|unclassified	617.6249407310
UniRef50_Q837G3: Formamidopyrimidine-DNA glycosylase	599.7027609605
UniRef50_Q837G3: Formamidopyrimidine-DNA glycosylase|unclassified	599.7027609605
UniRef50_UPI000364433A: hypothetical protein	595.2648417520
UniRef50_UPI000364433A: hypothetical protein|unclassified	595.2648417520
UniRef50_UPI0002897FE3: DNA polymerase I	588.5672317142
UniRef50_UPI0002897FE3: DNA polymerase I|unclassified	588.5672317142
UniRef50_UPI00047E27F4: hypothetical protein	585.0682171982
UniRef50_UPI00047E27F4: hypothetical protein|unclassified	585.0682171982
