# Gene Family	SampleDNA_repair._UvrABC_system_Abundance-CPM
UNMAPPED	61963.8
UniRef50_UPI0003D2D096: helicase subunit of the DNA excision repair complex	32780.3
UniRef50_UPI0003D2D096: helicase subunit of the DNA excision repair complex|unclassified	32780.3
UniRef50_UPI0003660656: hypothetical protein, partial	29841.5
UniRef50_UPI0003660656: hypothetical protein, partial|unclassified	29841.5
UniRef50_R6DM77	27999.9
UniRef50_R6DM77|unclassified	27999.9
UniRef50_UPI00016B2503: excinuclease ABC, B subunit, partial	23252.4
UniRef50_UPI00016B2503: excinuclease ABC, B subunit, partial|unclassified	23252.4
UniRef50_UPI00047439EC: excinuclease ABC subunit B, partial	23248.6
UniRef50_UPI00047439EC: excinuclease ABC subunit B, partial|unclassified	23248.6
UniRef50_UPI0003D2CBF5: helicase subunit of the DNA excision repair complex	17959.7
UniRef50_UPI0003D2CBF5: helicase subunit of the DNA excision repair complex|unclassified	17959.7
UniRef50_UPI0003EF5A08: hypothetical protein	17519.5
UniRef50_UPI0003EF5A08: hypothetical protein|unclassified	17519.5
UniRef50_UPI00047466FE: hypothetical protein, partial	14455.2
UniRef50_UPI00047466FE: hypothetical protein, partial|unclassified	14455.2
UniRef50_UPI0003B5E791: excinuclease ABC subunit B	14024.9
UniRef50_UPI0003B5E791: excinuclease ABC subunit B|unclassified	14024.9
UniRef50_UPI000373CB86: hypothetical protein	10676.1
UniRef50_UPI000373CB86: hypothetical protein|unclassified	10676.1
UniRef50_S6UCU1: Excinuclease ABC subunit A (Fragment)	10329.5
UniRef50_S6UCU1: Excinuclease ABC subunit A (Fragment)|unclassified	10329.5
UniRef50_X1WU98	9909.94
UniRef50_X1WU98|unclassified	9909.94
UniRef50_K1SXZ9: Excinuclease ABC A subunit (Fragment)	9003.77
UniRef50_K1SXZ9: Excinuclease ABC A subunit (Fragment)|unclassified	9003.77
UniRef50_L8DSL3: UvrABC system protein C	8733.16
UniRef50_L8DSL3: UvrABC system protein C|unclassified	8733.16
UniRef50_E1M7D4: UvrABC system protein A	6863.34
UniRef50_E1M7D4: UvrABC system protein A|unclassified	6863.34
UniRef50_H1D9M5: Excinuclease ABC subunit A	6797.24
UniRef50_H1D9M5: Excinuclease ABC subunit A|unclassified	6797.24
UniRef50_W1V2B0	6516.35
UniRef50_W1V2B0|unclassified	6516.35
UniRef50_UPI0002197500: excinuclease ABC subunit C	6323.43
UniRef50_UPI0002197500: excinuclease ABC subunit C|unclassified	6323.43
UniRef50_W5X6D8: Membrane-fusion protein	5920.41
UniRef50_W5X6D8: Membrane-fusion protein|unclassified	5920.41
UniRef50_X1F1E1: Marine sediment metagenome DNA, contig: S01H4_S18981 (Fragment)	5794.24
