# Gene Family	SampleDNA_repair._UvrABC_system_Abundance-RPKs
UNMAPPED	18227.0000000000
UniRef50_UPI0003D2D096: helicase subunit of the DNA excision repair complex	9642.5212866411
UniRef50_UPI0003D2D096: helicase subunit of the DNA excision repair complex|unclassified	9642.5212866411
UniRef50_UPI0003660656: hypothetical protein, partial	8778.0496579557
UniRef50_UPI0003660656: hypothetical protein, partial|unclassified	8778.0496579557
UniRef50_R6DM77	8236.3366583645
UniRef50_R6DM77|unclassified	8236.3366583645
UniRef50_UPI00016B2503: excinuclease ABC, B subunit, partial	6839.8321050045
UniRef50_UPI00016B2503: excinuclease ABC, B subunit, partial|unclassified	6839.8321050045
UniRef50_UPI00047439EC: excinuclease ABC subunit B, partial	6838.7084160876
UniRef50_UPI00047439EC: excinuclease ABC subunit B, partial|unclassified	6838.7084160876
UniRef50_UPI0003D2CBF5: helicase subunit of the DNA excision repair complex	5282.9609272746
UniRef50_UPI0003D2CBF5: helicase subunit of the DNA excision repair complex|unclassified	5282.9609272746
UniRef50_UPI0003EF5A08: hypothetical protein	5153.4688525910
UniRef50_UPI0003EF5A08: hypothetical protein|unclassified	5153.4688525910
UniRef50_UPI00047466FE: hypothetical protein, partial	4252.0663148581
UniRef50_UPI00047466FE: hypothetical protein, partial|unclassified	4252.0663148581
UniRef50_UPI0003B5E791: excinuclease ABC subunit B	4125.5125874180
UniRef50_UPI0003B5E791: excinuclease ABC subunit B|unclassified	4125.5125874180
UniRef50_UPI000373CB86: hypothetical protein	3140.4427681761
UniRef50_UPI000373CB86: hypothetical protein|unclassified	3140.4427681761
UniRef50_S6UCU1: Excinuclease ABC subunit A (Fragment)	3038.4921198691
UniRef50_S6UCU1: Excinuclease ABC subunit A (Fragment)|unclassified	3038.4921198691
UniRef50_X1WU98	2915.0659896051
UniRef50_X1WU98|unclassified	2915.0659896051
UniRef50_K1SXZ9: Excinuclease ABC A subunit (Fragment)	2648.5125374383
UniRef50_K1SXZ9: Excinuclease ABC A subunit (Fragment)|unclassified	2648.5125374383
UniRef50_L8DSL3: UvrABC system protein C	2568.9087122364
UniRef50_L8DSL3: UvrABC system protein C|unclassified	2568.9087122364
UniRef50_E1M7D4: UvrABC system protein A	2018.8898859508
UniRef50_E1M7D4: UvrABC system protein A|unclassified	2018.8898859508
UniRef50_H1D9M5: Excinuclease ABC subunit A	1999.4471497261
UniRef50_H1D9M5: Excinuclease ABC subunit A|unclassified	1999.4471497261
UniRef50_W1V2B0	1916.8215175503
UniRef50_W1V2B0|unclassified	1916.8215175503
UniRef50_UPI0002197500: excinuclease ABC subunit C	1860.0749446147
UniRef50_UPI0002197500: excinuclease ABC subunit C|unclassified	1860.0749446147
UniRef50_W5X6D8: Membrane-fusion protein	1741.5220420053
UniRef50_W5X6D8: Membrane-fusion protein|unclassified	1741.5220420053
UniRef50_X1F1E1: Marine sediment metagenome DNA, contig: S01H4_S18981 (Fragment)	1704.4104057440
UniRef50_X1F1E1: Marine sediment metagenome DNA, contig: S01H4_S18981 (Fragment)|unclassified	1704.4104057440
UniRef50_UPI00029A889C: excinuclease ABC subunit A	1665.5374352827
UniRef50_UPI00029A889C: excinuclease ABC subunit A|unclassified	1665.5374352827
UniRef50_T1BAR7: Excinuclease ABC subunit A (Fragment)	1650.6379801802
UniRef50_T1BAR7: Excinuclease ABC subunit A (Fragment)|unclassified	1650.6379801802
UniRef50_E1M7D5: UvrABC system protein A	1637.2784481749
UniRef50_E1M7D5: UvrABC system protein A|unclassified	1637.2784481749
UniRef50_W5X6E3: Dihydrodipicolinate synthetase	1636.0478577418
UniRef50_W5X6E3: Dihydrodipicolinate synthetase|unclassified	1636.0478577418
UniRef50_UPI00040F4463: MULTISPECIES: hypothetical protein	1635.5478953418
UniRef50_UPI00040F4463: MULTISPECIES: hypothetical protein|unclassified	1635.5478953418
UniRef50_D4KF88: Excinuclease ATPase subunit	1587.8453628038
