Total Number of Aligned Reads:	533303	Total Number of Mapped Genomes:	4031
Genome	Tax Names	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|203123	Oenococcus oeni PSU-1	0.6429524697608321	0.00162571746268069	867.0	0.00162571746268069	0.0	0.6429524697608321	0.00162571746268069	867.0	0.00162571746268069	0.0
ti|324925	Pelodictyon phaeoclathratiforme BU-1	0.23414744927366687	0.0008813001239445493	470.0	0.0008813001239445493	0.0	0.23414744927366624	0.0008813001239445493	470.0	0.0008813001239445493	0.0
ti|298386	Photobacterium profundum SS9	0.015837906222413073	0.0011700665475348911	624.0	0.0011700665475348911	0.0	0.015837906222413073	0.0011700665475348911	624.0	0.0011700665475348911	0.0
ti|562	Escherichia coli	0.013224084119509977	0.03707460861836517	19772.0	0.0370689832984251	5.625319940071591e-06	0.0005973500346540941	0.0016810729760632006	896.521261353433	0.0	0.021192455320896374
ti|155920	Xylella fastidiosa subsp. sandyi Ann-1	0.011389739705263564	0.003326439191229001	1774.0	0.003326439191229001	0.0	0.003630955384346914	0.0005301596171139364	282.73571428571364	0.00011250639880143183	0.001113813348134175
ti|171101	Streptococcus pneumoniae R6	0.006477093524960326	0.015334622156635159	8178.0	0.015310245770228182	2.4376386406976896e-05	0.0006969204017961865	0.0007235278617102249	385.8595792336481	0.0	0.006797261594253173
ti|520455	Brucella abortus bv. 9 str. C68	0.006275960462408676	0.016624695529558243	8866.0	0.016624695529558243	0.0	0.00022832879207361823	0.0004769881765905198	254.37922554025397	0.0	0.011741917821576102
ti|405535	Bacillus cereus AH820	0.006032711606120391	0.02591772407055651	13822.0	0.02587272151103594	4.500255952057273e-05	0.0010934669366058892	0.0006520331980134841	347.7312606001851	5.625319940071591e-06	0.006159725334378393
ti|1423	Bacillus subtilis	0.005802206481723402	0.0027057788911744357	1443.0	0.0027057788911744357	0.0	0.00029943644415665973	0.00014954869654293496	79.75476851243684	0.0	0.0018882323932173642
ti|320372	Burkholderia pseudomallei 1710b	0.0053092869178755445	0.02216001035058869	11818.0	0.021820616047537704	0.000339394303050986	0.00020112687988540554	0.000425701089296354	227.0276680250135	0.0	0.011158759654455347
ti|1280	Staphylococcus aureus	0.004390176836133728	0.023406956270637894	12483.0	0.023406956270637894	0.0	0.0001426367307410615	0.0011102025651006909	592.0743585758937	0.0	0.018196034899484907
ti|479437	Eggerthella lenta DSM 2243	0.0029415868387506435	0.0009263026834651221	494.0	0.0009263026834651221	0.0	0.0029415868351606684	0.0009122393836149431	486.5	0.0009131769369382884	0.0
ti|1271863	Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050	0.002562007639877597	0.016620945316264863	8864.0	0.01661719510297148	3.750213293381061e-06	1.2066856811982616e-05	0.00017499130818011784	93.32338962638138	0.0	0.0003506449429311292
ti|1288295	Listeria monocytogenes 6179	0.00213218191172299	0.01116626008104211	5955.0	0.01113438326804837	3.187681299373902e-05	0.0016549715108728279	0.0003922946918635117	209.21193605488637	2.8126599700357957e-05	0.004520882125170869
ti|243273	Mycoplasma genitalium G37	0.002104538771661011	0.0011756918674749627	627.0	0.0011756918674749627	0.0	0.0004219167600969868	0.00036133305081726444	192.69999999999956	2.0626173113595834e-05	0.0011550656943613668
ti|211586	Shewanella oneidensis MR-1	0.0021010225023386933	0.001593840649686951	850.0	0.001593840649686951	0.0	0.0021009275819466656	0.0009113018302915978	486.0	0.0009113018302915978	0.0
ti|666681	Methylotenera versatilis 301	0.0015139879951220462	0.00031689302329069967	169.0	0.00031689302329069967	0.0	0.0015139879951220462	0.00031689302329069967	169.0	0.00031689302329069967	0.0
ti|313595	Psychroflexus torquis ATCC 700755	0.0015002596200402259	0.0005925337003542077	316.0	0.0005925337003542077	0.0	0.0015002596200402259	0.0005925337003542077	316.0	0.0005925337003542077	0.0
ti|257310	Bordetella bronchiseptica RB50	0.0013347123721647687	0.003525200495778197	1880.0	0.003525200495778197	0.0	0.0001650807553128438	0.00037695082219489775	201.02900432900555	0.0	0.0026814025047674586
ti|66084	Wolbachia sp. wRi	0.0012143173995558527	0.0016444685291475954	877.0	0.0016444685291475954	0.0	0.0011941422878012854	0.0005028410990875106	268.1666666666667	0.000339394303050986	0.00038252175592486825
ti|208435	Streptococcus agalactiae 2603V/R	0.0010754602615179096	0.0032120576857808786	1713.0	0.0032120576857808786	0.0	0.0001340027397798941	0.00040650749511378153	216.79166666666504	0.0	0.0024376386406976896
ti|65393	Cyanothece sp. PCC 7424	0.0010721794521451036	0.0006281607266413277	335.0	0.0006281607266413277	0.0	0.001072179452144813	0.0006281607266413277	335.0	0.0006281607266413277	0.0
ti|435590	Bacteroides vulgatus ATCC 8482	0.0009728905586361131	0.003343315151049216	1783.0	0.003343315151049216	0.0	0.000512696755780023	0.0010521223394580567	561.1	0.000583158167120755	0.000982555882865838
ti|262728	Haemophilus influenzae R2866	0.0008474654584888942	0.0066828800888050505	3564.0	0.00667912987551167	3.750213293381061e-06	0.000769072892522804	0.0012087607125512423	644.6357142857152	0.0008212967112504524	0.0007612932985563554
ti|742729	Bifidobacterium animalis subsp. lactis Bi-07	0.0006219147652214217	0.0002468322204007222	131.63636363636635	0.0	0.002715154424407888	0.0005068495795866384	0.00019600187562865315	104.52838827838761	0.0	0.002696403357940983
ti|580050	Bifidobacterium animalis subsp. lactis Bl-04	0.0006219147652214217	0.0002468322204007222	131.63636363636635	0.0	0.002715154424407888	0.0005068495795866384	0.00019600187562865315	104.52838827838761	0.0	0.002696403357940983
ti|573236	Bifidobacterium animalis subsp. lactis V9	0.0006219147652214217	0.0002468322204007222	131.63636363636635	0.0	0.002715154424407888	0.0005068495795866384	0.00019600187562865315	104.52838827838761	0.0	0.002696403357940983
ti|555970	Bifidobacterium animalis subsp. lactis DSM 10140	0.0006219147652214217	0.0002468322204007222	131.63636363636635	0.0	0.002715154424407888	0.0005068495795866384	0.00019600187562865315	104.52838827838761	0.0	0.002696403357940983
ti|552531	Bifidobacterium animalis subsp. lactis BB-12	0.0006219147652214217	0.0002468322204007222	131.63636363636635	0.0	0.002715154424407888	0.0005068495795866384	0.00019600187562865315	104.52838827838761	0.0	0.002696403357940983
ti|302911	Bifidobacterium animalis subsp. lactis	0.0006219147652214217	0.0002468322204007222	131.63636363636635	0.0	0.002715154424407888	0.0005068495795866384	0.00019600187562865315	104.52838827838761	0.0	0.002696403357940983
ti|1316911	Bifidobacterium animalis subsp. lactis KLDS2.0603	0.0006219147652214217	0.0002468322204007222	131.63636363636635	0.0	0.002715154424407888	0.0005068495795866384	0.00019600187562865315	104.52838827838761	0.0	0.002696403357940983
ti|1281781	Bifidobacterium animalis subsp. lactis Bl12	0.0006219147652214217	0.0002468322204007222	131.63636363636635	0.0	0.002715154424407888	0.0005068495795866384	0.00019600187562865315	104.52838827838761	0.0	0.002696403357940983
ti|1168290	Bifidobacterium animalis subsp. lactis B420	0.0006219147652214217	0.0002468322204007222	131.63636363636635	0.0	0.002715154424407888	0.0005068495795866384	0.00019600187562865315	104.52838827838761	0.0	0.002696403357940983
ti|1075106	Bifidobacterium animalis subsp. lactis BLC1	0.0006219147652214217	0.0002468322204007222	131.63636363636635	0.0	0.002715154424407888	0.0005068495795866384	0.00019600187562865315	104.52838827838761	0.0	0.002696403357940983
ti|1042403	Bifidobacterium animalis subsp. lactis CNCM I-2494	0.0006219147652214217	0.0002468322204007222	131.63636363636635	0.0	0.002715154424407888	0.0005068495795866384	0.00019600187562865315	104.52838827838761	0.0	0.002696403357940983
ti|164757	Mycobacterium sp. JLS	0.0005699209492791525	0.0029214161555438465	1558.0	0.002902665089076941	1.8751066466905304e-05	0.0002010413004882932	0.0010256833357397239	547.0000000000019	0.000763168405203046	0.0007725439384364985
ti|326424	Frankia alni ACN14a	0.0005627812163142045	0.0019482358059114612	1039.0	0.0019163589929177222	3.187681299373902e-05	0.0005623670657722666	0.0009103642769682526	485.5	0.0009056765103515262	9.375533233452652e-06
ti|367928	Bifidobacterium adolescentis ATCC 15703	0.0005499541364037048	0.0019144838862710316	1021.0	0.0019144838862710316	0.0	0.0003777549905434825	0.0011719416541815819	625.0000000000001	0.0013763282786708494	0.00029626685017710385
ti|335992	Candidatus Pelagibacter ubique HTCC1062	0.0005470551415799658	0.0009488039632254084	506.0	0.0009488039632254084	0.0	0.0005470551415799658	0.0009469288565787179	505.0	0.0009469288565787179	0.0
ti|311402	Agrobacterium vitis S4	0.0005467167034518844	0.0003562702628712008	190.0	0.0003562702628712008	0.0	0.0005467167034518661	0.0003562702628712008	190.0	0.0003562702628712008	0.0
ti|272563	Peptoclostridium difficile 630	0.00046251392009809874	0.010986249842959818	5859.0	0.010986249842959818	0.0	0.00011612161265164266	0.0016679386140086943	889.5166666666787	0.00019126087796243413	0.004714018109779994
ti|666714	Treponema pallidum subsp. pallidum str. Chicago	0.00042214202311102234	0.0002550145039499137	136.00000000000082	0.0	0.0012750725197495608	0.0002290981288243433	0.000117844749789443	62.84695859695932	0.0	0.0012750725197495608
ti|491081	Treponema pallidum subsp. pallidum DAL-1	0.00042214202311102234	0.0002550145039499137	136.00000000000082	0.0	0.0012750725197495608	0.0002290981288243433	0.000117844749789443	62.84695859695932	0.0	0.0012750725197495608
ti|455434	Treponema pallidum subsp. pallidum SS14	0.00042214202311102234	0.0002550145039499137	136.00000000000082	0.0	0.0012750725197495608	0.0002290981288243433	0.000117844749789443	62.84695859695932	0.0	0.0012750725197495608
ti|243276	Treponema pallidum subsp. pallidum str. Nichols	0.00042214202311102234	0.0002550145039499137	136.00000000000082	0.0	0.0012750725197495608	0.0002290981288243433	0.000117844749789443	62.84695859695932	0.0	0.0012750725197495608
ti|161	Treponema pallidum subsp. pallidum	0.00042214202311102234	0.0002550145039499137	136.00000000000082	0.0	0.0012750725197495608	0.0002290981288243433	0.000117844749789443	62.84695859695932	0.0	0.0012750725197495608
ti|626418	Burkholderia glumae BGR1	0.00041314868570250965	0.000763168405203046	407.0	0.0007519177653229028	1.1250639880143183e-05	0.00020654840753941392	0.0003159554699673544	168.5	2.2501279760286365e-05	0.0006019092335876603
ti|290318	Chlorobium phaeovibrioides DSM 265	0.0004118759752334275	0.0008850503372379304	472.0	0.0008850503372379304	0.0	0.0004118759752334787	0.0008850503372379304	472.0	0.0008850503372379304	0.0
ti|419610	Methylobacterium extorquens PA1	0.00039629321473265026	0.002908290409017013	1551.0	0.002902665089076941	5.625319940071591e-06	0.00035113696005670074	0.0009319280034051935	496.9999999999999	0.000858798844184263	0.0001293823586216466
ti|405948	Saccharopolyspora erythraea NRRL 2338	0.00039043779744836953	0.000894425870471383	477.0	0.000894425870471383	0.0	0.0003904365719277225	0.0008775499106511683	468.0	0.0008775499106511683	0.0
ti|216591	Burkholderia cenocepacia J2315	0.0002955718590850867	0.004158986542359596	2218.0	0.00406523121002507	9.375533233452653e-05	0.00011780759363097746	0.0009363746848816292	499.3714285714275	0.0004931530480796095	0.0008888005505313114
ti|220664	Pseudomonas protegens Pf-5	0.0002791512431872635	0.0009094267236449073	485.0	0.0009019262970581452	7.500426586762122e-06	0.00014609901504035488	0.000622535406701256	331.99999999999994	0.0004350247420322031	0.00041627367556529776
ti|637905	Shewanella violacea DSS12	0.00027885336361199286	0.0004125234622719167	220.0	0.0004125234622719167	0.0	0.00027885336361199286	0.0004125234622719167	220.0	0.0004125234622719167	0.0
ti|999378	Lactobacillus casei LC2W	0.0002759052752967303	0.0007626996285413733	406.75	0.0	0.003050798514165493	0.0002577626038634475	0.00024367112340553345	129.9505411255412	0.0	0.001441957011305018
ti|998820	Lactobacillus casei BD-II	0.0002759052752967303	0.0007626996285413733	406.75	0.0	0.003050798514165493	0.0002577626038634475	0.00024367112340553345	129.9505411255412	0.0	0.001441957011305018
ti|543734	Lactobacillus casei BL23	0.0002759052752967303	0.0007626996285413733	406.75	0.0	0.003050798514165493	0.0002577626038634475	0.00024367112340553345	129.9505411255412	0.0	0.001441957011305018
ti|1215914	Lactobacillus casei W56	0.0002759052752967303	0.0007626996285413733	406.75	0.0	0.003050798514165493	0.0002577626038634475	0.00024367112340553345	129.9505411255412	0.0	0.001441957011305018
ti|405566	Lactobacillus helveticus DPC 4571	0.0002237881575478471	0.0012638218798694176	674.0	0.0012638218798694176	0.0	5.4804502693743754e-05	0.0005000195100382036	266.6619047619041	5.437809275402539e-05	0.0010294335490331013
ti|517417	Chlorobaculum parvum NCIB 8327	0.00021272493561243813	0.0008869254438846209	473.0	0.0008869254438846209	0.0	0.00021272494600987232	0.0008813001239445493	470.0	0.0008813001239445493	0.0
ti|1772	Mycobacterium smegmatis	0.00020643022315462636	0.0011794420807683438	629.0	0.0011738167608282722	5.625319940071591e-06	0.00010321288683980456	0.0005503438008036707	293.5	0.0001593840649686951	0.0009413035366386463
ti|401614	Francisella tularensis subsp. novicida U112	0.00020121481723962207	0.008252344352085024	4401.0	0.008252344352085024	0.0	3.163891646955511e-05	0.0007574992240374419	403.9766086768399	0.00018188534472898146	0.001976362405611819
ti|318586	Paracoccus denitrificans PD1222	0.00019964359569161352	0.00095442928316548	509.0	0.000950679069872099	3.750213293381061e-06	0.00019964344136415196	0.0009040201661469497	482.1166666666667	0.0008869254438846209	2.6251493053667427e-05
ti|246200	Ruegeria pomeroyi DSS-3	0.00019902287696632414	0.000858798844184263	458.0	0.000858798844184263	0.0	0.0001990228769226186	0.0007848883905272111	418.58333333333326	0.000770668831789808	2.4376386406976896e-05
ti|227941	Chlamydophila caviae GPIC	0.00019897526127071646	0.0003431445163443671	183.0	0.0003431445163443671	0.0	0.00019897526127027288	0.0003431445163443671	183.0	0.0003431445163443671	0.0
ti|446470	Stackebrandtia nassauensis DSM 44728	0.00017454781332109146	0.0016163419294472374	862.0	0.0016163419294472374	0.0	0.00017454781322600834	0.0016144668228005468	861.0	0.0016144668228005468	0.0
ti|287	Pseudomonas aeruginosa	0.0001587837320960847	0.004582760644511657	2444.0	0.004582760644511657	0.0	5.009106118299777e-06	0.00016803461638138862	89.6133650200437	1.6875959820214773e-05	0.002480766093571572
ti|504728	Meiothermus ruber DSM 1279	0.0001560725428927497	0.000922552470171741	492.0	0.000922552470171741	0.0	0.00015607254289293785	0.000922552470171741	492.0	0.000922552470171741	0.0
ti|390236	Borrelia afzelii PKo	0.00015287451173833625	0.0024938918400984056	1330.0	0.002488266520158334	5.625319940071591e-06	5.501376375104559e-05	0.0004396857214111209	234.485714285715	9.000511904114546e-05	0.0009488039632254084
ti|400673	Legionella pneumophila str. Corby	0.00014390624823183942	0.0027226548509946503	1452.0	0.0027226548509946503	0.0	7.121522657330054e-05	0.00048057941628763476	256.2944444444445	0.0001050059722146697	0.0007950452181967849
ti|1901	Streptomyces clavuligerus	0.00014269867942619154	0.0010575601487334593	564.0	0.0010256833357397202	3.187681299373902e-05	0.0001426974028118984	0.0006694130728685194	357.0	0.0006694130728685194	0.0
ti|526224	Brachyspira murdochii DSM 12563	0.00014260038429286491	0.0013144497593300618	701.0	0.0013144497593300618	0.0	0.0001425979041258829	0.0012656969865161081	675.0	0.0012656969865161081	0.0
ti|434922	Coxiella burnetii Dugway 5J108-111	0.00012667027688656712	0.0033095632314087864	1765.0	0.0033095632314087864	0.0	3.074968653868779e-05	0.00045080688964185096	240.41666666666805	0.0	0.0023795103346502832
ti|410358	Methanocorpusculum labreanum Z	0.00011237342183067361	0.0002868913169436512	153.0	0.0002868913169436512	0.0	0.00011237342183067361	0.0002868913169436512	153.0	0.0002868913169436512	0.0
ti|315456	Rickettsia felis URRWXCal2	0.00010869394149789993	0.0009169271502316694	489.0	0.0009113018302915978	5.625319940071591e-06	0.00010432412020424051	0.0006337860465813993	338.0	0.0006206603000545656	1.3125746526833713e-05
ti|316278	Synechococcus sp. RCC307	0.00010744321573210324	0.0006412864731681615	342.0	0.0006412864731681615	0.0	0.00010744321573212584	0.0006356611532280899	339.0	0.0006356611532280899	0.0
ti|205922	Pseudomonas fluorescens Pf0-1	0.00010553986416931332	0.0008719245907110967	465.0	0.0008700494840644062	1.8751066466905305e-06	0.00010553561637294368	0.0008194216046037619	437.0	0.0007912950049034039	5.6253199400715915e-05
ti|661367	Legionella longbeachae NSW150	0.00010352824587673536	0.0006225354067012561	332.0	0.0006225354067012561	0.0	0.00010352824587673536	0.0006225354067012561	332.0	0.0006225354067012561	0.0
ti|350701	Burkholderia dolosa AU0158	0.00010187816919381189	0.0007575430852629744	404.0	0.0007462924453828312	1.1250639880143183e-05	0.0001018813603929607	0.0007337917344048942	391.3333333333333	0.0007181658456824732	3.0001706347048488e-05
ti|406327	Methanococcus vannielii SB	9.978475814282099e-05	0.00029064153023703224	155.0	0.00029064153023703224	0.0	9.978475814282112e-05	0.00029064153023703224	155.0	0.00029064153023703224	0.0
ti|196627	Corynebacterium glutamicum ATCC 13032	9.240286252017432e-05	0.0008569237375375725	457.0	0.001713847475075145	0.0	4.168327647645922e-05	0.00034005579900690173	181.3527777777777	0.0	0.0013332008257969671
ti|1310161	Corynebacterium glutamicum MB001	9.240286252017432e-05	0.0008569237375375725	457.0	0.001713847475075145	0.0	4.168327647645922e-05	0.00034005579900690173	181.3527777777777	0.0	0.0013332008257969671
ti|272944	Rickettsia conorii str. Malish 7	8.870319443610069e-05	0.0032176830057209505	1716.0	0.0032083074724874976	9.375533233452652e-06	1.0605349994142908e-05	0.00044039964623718937	234.8664525372318	1.6875959820214773e-05	0.001381953598610921
ti|932919	Listeria monocytogenes SLCC2755	8.679531043438985e-05	0.0046708906569061116	2491.0	0.00466714044361273	3.750213293381061e-06	1.0871546248165709e-05	0.0006098550787187362	325.2375430459382	0.0	0.005132166891991982
ti|1307427	Fusobacterium nucleatum subsp. vincentii ChDC F8	8.639490301252734e-05	0.002304506068782662	1229.0	0.002300755855489281	3.750213293381061e-06	8.106604634611579e-05	0.00021227993056390795	113.2095238095238	0.00011250639880143183	0.00023063811754293526
ti|100226	Streptomyces coelicolor A3(2)	8.452595339149942e-05	0.003155804486380163	1683.0	0.0031258027800331145	3.0001706347048488e-05	7.420020391787412e-05	0.0011698209978549673	623.8690476190476	0.0007481675520295217	0.0008512984175975009
ti|291331	Xanthomonas oryzae pv. oryzae KACC 10331	8.088507404970947e-05	0.0027807831570420567	1483.0	0.002748906344048318	3.187681299373902e-05	1.766625358691005e-05	0.00039476463973887947	210.52916666666363	1.8751066466905304e-05	0.0019182340995644127
ti|573062	Thermoanaerobacter sp. X513	7.784893179508848e-05	0.001350076785617182	720.0	7.500426586762122e-05	0.0026251493053667425	5.457116607255482e-05	0.0006112535150436682	325.98333333333335	0.0	0.002280129682375685
ti|399726	Thermoanaerobacter sp. X514	7.784893179508848e-05	0.001350076785617182	720.0	7.500426586762122e-05	0.0026251493053667425	5.457116607255482e-05	0.0006112535150436682	325.98333333333335	0.0	0.002280129682375685
ti|1747	Propionibacterium acnes	7.694215115766325e-05	0.002912040622310394	1553.0	0.002912040622310394	0.0	3.094086430822787e-05	0.0002160491519730076	115.21966089466086	5.625319940071591e-06	0.0007894198982567133
ti|392499	Sphingomonas wittichii RW1	7.663015410405026e-05	0.0007219160589758542	385.0	0.0007219160589758542	0.0	7.663015406068937e-05	0.0007087903124490206	378.0	0.0007069152058023301	1.8751066466905305e-06
ti|317655	Sphingopyxis alaskensis RB2256	7.400908709756e-05	0.0007125405257424016	380.0	0.0007125405257424016	0.0	7.400908555612793e-05	0.0006816012660720078	363.5	0.0006806637127486626	1.8751066466905305e-06
ti|633145	Dehalococcoides mccartyi GT	7.367811214566989e-05	0.0015394625569329255	821.0	0.0015394625569329255	0.0	1.8578025148723355e-05	0.00017817754456213297	95.0226190476192	1.1250639880143183e-05	0.0008850503372379304
ti|153948	Nitrosomonas sp. AL212	7.366949252745887e-05	0.0003187681299373902	170.0	0.0003187681299373902	0.0	7.366944973374004e-05	0.0003187681299373902	170.0	0.0003187681299373902	0.0
ti|251221	Gloeobacter violaceus PCC 7421	7.302634144152615e-05	0.0006825388193953531	364.0	0.0006825388193953531	0.0	7.302634144152612e-05	0.0006825388193953531	364.0	0.0006825388193953531	0.0
ti|522772	Denitrovibrio acetiphilus DSM 12809	7.275501517478866e-05	0.0009000511904114546	480.0	0.0009000511904114546	0.0	7.275501517478866e-05	0.0009000511904114546	480.0	0.0009000511904114546	0.0
ti|391595	Roseobacter litoralis Och 149	7.265575823274315e-05	0.0004987783680196811	266.0	0.0004987783680196811	0.0	7.265571961104716e-05	0.00041502360446750403	221.33333333333331	0.0004087732489785357	1.3125746526833713e-05
ti|323850	Shewanella loihica PV-4	7.263882039832204e-05	0.0006075345535277319	324.0	0.0006075345535277319	0.0	7.263882039832204e-05	0.0006075345535277319	324.0	0.0006075345535277319	0.0
ti|396595	Thioalkalivibrio sp. K90mix	7.2609951237688e-05	0.00030376727676386593	162.0	0.00030376727676386593	0.0	7.260995123763693e-05	0.00030376727676386593	162.0	0.00030376727676386593	0.0
ti|1765	Mycobacterium bovis	6.97177268956889e-05	0.010620604046855164	5664.0	0.01060560319368164	1.5000853173524244e-05	1.6650872393393819e-06	0.00026081083164539333	139.0911989489832	0.0	0.010403091675839063
ti|441771	Clostridium botulinum A str. Hall	6.815561885875149e-05	0.0022926303933536243	1222.6666666666679	0.0	0.006877891180060866	2.6667937352127084e-05	0.0009122171285612969	486.48813131312534	0.0	0.0038552192655957307
ti|441770	Clostridium botulinum A str. ATCC 19397	6.815561885875149e-05	0.0022926303933536243	1222.6666666666679	0.0	0.006877891180060866	2.6667937352127084e-05	0.0009122171285612969	486.48813131312534	0.0	0.0038552192655957307
ti|413999	Clostridium botulinum A str. ATCC 3502	6.815561885875149e-05	0.0022926303933536243	1222.6666666666679	0.0	0.006877891180060866	2.6667937352127084e-05	0.0009122171285612969	486.48813131312534	0.0	0.0038552192655957307
ti|271848	Burkholderia thailandensis E264	6.699996578517823e-05	0.00030064209901938205	160.3333333333335	0.0	0.0009019262970581452	2.7970325476034665e-05	0.00026085291980101894	139.1136446886428	0.0	0.002073867951239727
ti|1249660	Burkholderia thailandensis 2002721643	6.699996578517823e-05	0.00030064209901938205	160.3333333333335	0.0	0.0009019262970581452	2.7970325476034665e-05	0.00026085291980101894	139.1136446886428	0.0	0.002073867951239727
ti|1241582	Burkholderia thailandensis 2002721723	6.699996578517823e-05	0.00030064209901938205	160.3333333333335	0.0	0.0009019262970581452	2.7970325476034665e-05	0.00026085291980101894	139.1136446886428	0.0	0.002073867951239727
ti|435591	Parabacteroides distasonis ATCC 8503	6.069390259732035e-05	0.0031295529933264956	1669.0	0.0031295529933264956	0.0	6.069390259732035e-05	0.0031295529933264956	1669.0	0.0031295529933264956	0.0
ti|262719	Mycoplasma hyopneumoniae J	5.8880922155528315e-05	0.0017513496080089556	934.0	0.0017513496080089556	0.0	2.198107055487332e-05	0.0004324308445042795	230.61666666666576	0.00012000682538819395	0.0008531735242441914
ti|485918	Chitinophaga pinensis DSM 2588	5.6490101376644644e-05	0.0012113188937620826	646.0	0.0012113188937620826	0.0	5.6490101376644644e-05	0.0012113188937620826	646.0	0.0012113188937620826	0.0
ti|290317	Chlorobium phaeobacteroides DSM 266	5.6304045379683465e-05	0.0008831752305912398	471.0	0.0008831752305912398	0.0	5.6304045379683465e-05	0.0008831752305912398	471.0	0.0008831752305912398	0.0
ti|383372	Roseiflexus castenholzii DSM 13941	5.566929625108945e-05	0.0009394284299919557	501.0	0.0009394284299919557	0.0	5.566929625443126e-05	0.0009394284299919557	501.0	0.0009394284299919557	0.0
ti|290315	Chlorobium limicola DSM 245	5.364558237465146e-05	0.0008813001239445493	470.0	0.0008813001239445493	0.0	5.364558237527527e-05	0.0008813001239445493	470.0	0.0008813001239445493	0.0
ti|2107	Mycoplasma pulmonis	5.315590808400298e-05	0.0007725439384364985	412.0	0.0007725439384364985	0.0	5.31506791157918e-05	0.0006825388193953531	364.0	0.0007725439384364985	0.0
ti|452471	Candidatus Amoebophilus asiaticus 5a2	5.296293392826733e-05	0.0010275584423864107	548.0	0.0010275584423864107	0.0	5.296293392826733e-05	0.0010275584423864107	548.0	0.0010275584423864107	0.0
ti|395965	Methylocella silvestris BL2	5.2755656851343146e-05	0.000763168405203046	407.0	0.0007556679786162838	7.500426586762122e-06	5.275555152202583e-05	0.0007069152058023301	377.0	0.0007069152058023301	0.0
ti|373903	Halothermothrix orenii H 168	5.235295004143292e-05	0.0006075345535277319	324.0	0.0006075345535277319	0.0	5.235295004143292e-05	0.0006075345535277319	324.0	0.0006075345535277319	0.0
ti|326442	Pseudoalteromonas haloplanktis TAC125	5.230801447925118e-05	0.0006000341269409697	320.0	0.0006000341269409697	0.0	5.2301848696102693e-05	0.0006000341269409697	320.0	0.0006000341269409697	0.0
ti|394221	Maricaulis maris MCS10	5.224084735250491e-05	0.0006956645659221869	371.0	0.0006956645659221869	0.0	5.224084735273204e-05	0.0006956645659221869	371.0	0.0006956645659221869	0.0
