# Gene Family	SampleDNA_repair._bacterial_Abundance-CPM
UNMAPPED	231444
UniRef50_P0A1B0: Exodeoxyribonuclease III	8245.1
UniRef50_P0A1B0: Exodeoxyribonuclease III|unclassified	8245.1
UniRef50_P44318: Exodeoxyribonuclease III	7363.77
UniRef50_P44318: Exodeoxyribonuclease III|unclassified	7363.77
UniRef50_Q71ZM1: Probable endonuclease 4	6224.88
UniRef50_Q71ZM1: Probable endonuclease 4|unclassified	6224.88
UniRef50_P44431: DNA adenine methylase	6224.24
UniRef50_P44431: DNA adenine methylase|unclassified	6224.24
UniRef50_UPI00047202F6: hypothetical protein	6148.44
UniRef50_UPI00047202F6: hypothetical protein|unclassified	6148.44
UniRef50_P37454: Exodeoxyribonuclease	6140.15
UniRef50_P37454: Exodeoxyribonuclease|unclassified	6140.15
UniRef50_P0A6C2: Endonuclease 4	4935.13
UniRef50_P0A6C2: Endonuclease 4|unclassified	4935.13
UniRef50_P17802: A/G-specific adenine glycosylase	4760.91
UniRef50_P17802: A/G-specific adenine glycosylase|unclassified	4760.91
UniRef50_UPI000463DC0E: exodeoxyribonuclease III	4639.54
UniRef50_UPI000463DC0E: exodeoxyribonuclease III|unclassified	4639.54
UniRef50_UPI000465591A: DNA mismatch repair protein, partial	4579.31
UniRef50_UPI000465591A: DNA mismatch repair protein, partial|unclassified	4579.31
UniRef50_UPI00037B6434: hypothetical protein	4227.68
UniRef50_UPI00037B6434: hypothetical protein|unclassified	4227.68
UniRef50_P26189: Regulatory protein ada	3835.82
UniRef50_P26189: Regulatory protein ada|unclassified	3835.82
UniRef50_J2X9Z4	3734.05
UniRef50_J2X9Z4|unclassified	3734.05
UniRef50_L7A6Y6: Recombination and repair protein (Fragment)	3499.3
UniRef50_L7A6Y6: Recombination and repair protein (Fragment)|unclassified	3499.3
UniRef50_UPI000362E5FB: recombinase	3269.34
UniRef50_UPI000362E5FB: recombinase|unclassified	3269.34
UniRef50_P09184: Very short patch repair protein	3254.96
UniRef50_P09184: Very short patch repair protein|unclassified	3254.96
UniRef50_UPI0004656FEC: exodeoxyribonuclease III, partial	3233.49
UniRef50_UPI0004656FEC: exodeoxyribonuclease III, partial|unclassified	3233.49
UniRef50_W6JEW6: Endonuclease IV	3126.07
UniRef50_W6JEW6: Endonuclease IV|unclassified	3126.07
UniRef50_UPI0002652A53: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like	2831.1
UniRef50_UPI0002652A53: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like|unclassified	2831.1
UniRef50_B1KD33: DNA polymerase IV	2776.11
UniRef50_B1KD33: DNA polymerase IV|unclassified	2776.11
UniRef50_UPI000377F4F7: DNA repair protein RecN, partial	2673.28
UniRef50_UPI000377F4F7: DNA repair protein RecN, partial|unclassified	2673.28
UniRef50_UPI0000166D58: COG0419: ATPase involved in DNA repair	2606.56
UniRef50_UPI0000166D58: COG0419: ATPase involved in DNA repair|unclassified	2606.56
UniRef50_UPI0003B67745: exonuclease, partial	2544.15
UniRef50_UPI0003B67745: exonuclease, partial|unclassified	2544.15
UniRef50_P0A697: Methylated-DNA--protein-cysteine methyltransferase	2473.37
UniRef50_P0A697: Methylated-DNA--protein-cysteine methyltransferase|unclassified	2473.37
UniRef50_P21311: Retron EC67 DNA adenine methylase	2466.17
UniRef50_P21311: Retron EC67 DNA adenine methylase|unclassified	2466.17
UniRef50_P44320: A/G-specific adenine glycosylase	2465.28
UniRef50_P44320: A/G-specific adenine glycosylase|unclassified	2465.28
UniRef50_UPI00037A65B6: hypothetical protein, partial	2438.42
UniRef50_UPI00037A65B6: hypothetical protein, partial|unclassified	2438.42
UniRef50_UPI0003C0FE99: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like	2404.91
UniRef50_UPI0003C0FE99: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like|unclassified	2404.91
UniRef50_UPI0004741C8F: endonuclease	2321.08
UniRef50_UPI0004741C8F: endonuclease|unclassified	2321.08
UniRef50_UPI00036404C4: hypothetical protein, partial	2314.24
UniRef50_UPI00036404C4: hypothetical protein, partial|unclassified	2314.24
UniRef50_X3EIA8: DNA recombination protein RmuC	2239.16
UniRef50_X3EIA8: DNA recombination protein RmuC|unclassified	2239.16
UniRef50_UPI0003A4CDA5: exodeoxyribonuclease III	2217.85
UniRef50_UPI0003A4CDA5: exodeoxyribonuclease III|unclassified	2217.85
UniRef50_B7UPF3: Endonuclease V	2208.5
UniRef50_B7UPF3: Endonuclease V|unclassified	2208.5
UniRef50_P05050: Alpha-ketoglutarate-dependent dioxygenase AlkB	2206.29
UniRef50_P05050: Alpha-ketoglutarate-dependent dioxygenase AlkB|unclassified	2206.29
UniRef50_UPI00042857FF: exodeoxyribonuclease III	2191.05
UniRef50_UPI00042857FF: exodeoxyribonuclease III|unclassified	2191.05
UniRef50_Q8TI34: Methylated-DNA--protein-cysteine methyltransferase	2184.68
UniRef50_Q8TI34: Methylated-DNA--protein-cysteine methyltransferase|unclassified	2184.68
UniRef50_Q5HEM7: DNA polymerase IV	2139.3
UniRef50_Q5HEM7: DNA polymerase IV|unclassified	2139.3
UniRef50_UPI00046674B1: hypothetical protein	2083.86
UniRef50_UPI00046674B1: hypothetical protein|unclassified	2083.86
UniRef50_A0A033W1R8	2078.22
UniRef50_A0A033W1R8|unclassified	2078.22
UniRef50_A6TCC4: Exodeoxyribonuclease 7 large subunit	2048.19
UniRef50_A6TCC4: Exodeoxyribonuclease 7 large subunit|unclassified	2048.19
UniRef50_UPI0003F9644A: adenine glycosylase	2044.4
UniRef50_UPI0003F9644A: adenine glycosylase|unclassified	2044.4
UniRef50_UPI0001A42918: exonuclease	2034.4
UniRef50_UPI0001A42918: exonuclease|unclassified	2034.4
UniRef50_R5WCC3: Nuclease SbcCD D subunit	2004.95
UniRef50_R5WCC3: Nuclease SbcCD D subunit|unclassified	2004.95
UniRef50_UPI0003EB37D1: cysteine methyltransferase, partial	1996.7
UniRef50_UPI0003EB37D1: cysteine methyltransferase, partial|unclassified	1996.7
UniRef50_Q3JZG9: DNA polymerase IV	1981.22
UniRef50_Q3JZG9: DNA polymerase IV|unclassified	1981.22
UniRef50_U0ET18	1947.55
UniRef50_U0ET18|unclassified	1947.55
UniRef50_P37462: Alpha-ketoglutarate-dependent dioxygenase AlkB	1945.86
UniRef50_P37462: Alpha-ketoglutarate-dependent dioxygenase AlkB|unclassified	1945.86
UniRef50_UPI000362CAE5: DNA repair protein RecN	1890.5
UniRef50_UPI000362CAE5: DNA repair protein RecN|unclassified	1890.5
UniRef50_Q4ZWM4: DNA polymerase IV	1871.4
UniRef50_Q4ZWM4: DNA polymerase IV|unclassified	1871.4
UniRef50_B0BPX9: DNA polymerase IV	1833.94
UniRef50_B0BPX9: DNA polymerase IV|unclassified	1833.94
UniRef50_Q9CNG4: DNA polymerase IV	1816.03
UniRef50_Q9CNG4: DNA polymerase IV|unclassified	1816.03
UniRef50_P59496: Probable endonuclease 4	1809.27
UniRef50_P59496: Probable endonuclease 4|unclassified	1809.27
UniRef50_UPI00039E00F5: DNA adenine methylase	1789.57
UniRef50_UPI00039E00F5: DNA adenine methylase|unclassified	1789.57
UniRef50_UPI00046BB242: PREDICTED: plectin-like	1789.14
UniRef50_UPI00046BB242: PREDICTED: plectin-like|unclassified	1789.14
UniRef50_UPI0004729057: cysteine methyltransferase	1777.46
UniRef50_UPI0004729057: cysteine methyltransferase|unclassified	1777.46
UniRef50_Q98KC2: Mlr1540 protein	1773.82
UniRef50_Q98KC2: Mlr1540 protein|unclassified	1773.82
UniRef50_UPI0000E105D2: adenine DNA glycosylase	1772.48
UniRef50_UPI0000E105D2: adenine DNA glycosylase|unclassified	1772.48
UniRef50_I0VRS7	1769.71
UniRef50_I0VRS7|unclassified	1769.71
UniRef50_UPI00047DE8DC: adenine glycosylase, partial	1754.78
UniRef50_UPI00047DE8DC: adenine glycosylase, partial|unclassified	1754.78
UniRef50_W1HI89	1721.99
UniRef50_W1HI89|unclassified	1721.99
UniRef50_Q8ZAQ8: Endonuclease V	1714.91
UniRef50_Q8ZAQ8: Endonuclease V|unclassified	1714.91
UniRef50_Q8XZ19: DNA polymerase IV	1701.04
UniRef50_Q8XZ19: DNA polymerase IV|unclassified	1701.04
UniRef50_W1GWA8: Alkylated DNA repair protein AlkB	1690.24
UniRef50_W1GWA8: Alkylated DNA repair protein AlkB|unclassified	1690.24
UniRef50_UPI0004748059: hypothetical protein, partial	1674.96
UniRef50_UPI0004748059: hypothetical protein, partial|unclassified	1674.96
UniRef50_UPI0001BC965F: DNA repair protein RecN, partial	1661.47
UniRef50_UPI0001BC965F: DNA repair protein RecN, partial|unclassified	1661.47
UniRef50_UPI00046C2B50: PREDICTED: recombination repair protein 1-like	1654.7
UniRef50_UPI00046C2B50: PREDICTED: recombination repair protein 1-like|unclassified	1654.7
UniRef50_B0TZS5: DNA polymerase IV	1631.41
UniRef50_B0TZS5: DNA polymerase IV|unclassified	1631.41
UniRef50_UPI00016AFC11: A/G-specific adenine glycosylase, partial	1621.25
UniRef50_UPI00016AFC11: A/G-specific adenine glycosylase, partial|unclassified	1621.25
UniRef50_A9VIS8: UPF0758 protein BcerKBAB4_4299	1618.54
UniRef50_A9VIS8: UPF0758 protein BcerKBAB4_4299|unclassified	1618.54
UniRef50_U6IV49: DNA (Apurinic or apyrimidinic site) lyase	1608.47
UniRef50_U6IV49: DNA (Apurinic or apyrimidinic site) lyase|unclassified	1608.47
UniRef50_B1JSA8: Exodeoxyribonuclease 7 large subunit	1604.97
UniRef50_B1JSA8: Exodeoxyribonuclease 7 large subunit|unclassified	1604.97
UniRef50_Q8YC76: DNA polymerase IV	1601.92
UniRef50_Q8YC76: DNA polymerase IV|unclassified	1601.92
UniRef50_UPI000288548A: DNA repair exonuclease	1566.91
UniRef50_UPI000288548A: DNA repair exonuclease|unclassified	1566.91
UniRef50_UPI0002895C62: ADA regulatory protein	1548.23
UniRef50_UPI0002895C62: ADA regulatory protein|unclassified	1548.23
UniRef50_Q8UJK7: DNA polymerase IV 2	1525.4
UniRef50_Q8UJK7: DNA polymerase IV 2|unclassified	1525.4
UniRef50_Q9JRG1: DNA polymerase IV	1524.34
UniRef50_Q9JRG1: DNA polymerase IV|unclassified	1524.34
UniRef50_P11742: Methylated-DNA--protein-cysteine methyltransferase, constitutive	1521.54
UniRef50_P11742: Methylated-DNA--protein-cysteine methyltransferase, constitutive|unclassified	1521.54
UniRef50_W5X5R0	1511.12
UniRef50_W5X5R0|unclassified	1511.12
UniRef50_P27695: DNA-(apurinic or apyrimidinic site) lyase	1506.24
UniRef50_P27695: DNA-(apurinic or apyrimidinic site) lyase|unclassified	1506.24
UniRef50_C0AYW6	1478.24
UniRef50_C0AYW6|unclassified	1478.24
UniRef50_L8U090	1428.36
UniRef50_L8U090|unclassified	1428.36
UniRef50_UPI000473BF60: exodeoxyribonuclease III, partial	1420.86
UniRef50_UPI000473BF60: exodeoxyribonuclease III, partial|unclassified	1420.86
UniRef50_UPI0003811647: DNA glycosylase	1416.9
UniRef50_UPI0003811647: DNA glycosylase|unclassified	1416.9
UniRef50_Q2P7M9: DNA polymerase IV	1392.63
UniRef50_Q2P7M9: DNA polymerase IV|unclassified	1392.63
UniRef50_Q0A4X2: DNA polymerase IV	1378.57
UniRef50_Q0A4X2: DNA polymerase IV|unclassified	1378.57
UniRef50_UPI0003B43847: recombinase	1370.76
UniRef50_UPI0003B43847: recombinase|unclassified	1370.76
UniRef50_A0A023UPZ7: DNA recombination protein RmuC	1368.62
UniRef50_A0A023UPZ7: DNA recombination protein RmuC|unclassified	1368.62
UniRef50_A8ML82: Probable endonuclease 4	1356.35
UniRef50_A8ML82: Probable endonuclease 4|unclassified	1356.35
UniRef50_UPI00029CBF71: endonuclease IV, partial	1355.24
UniRef50_UPI00029CBF71: endonuclease IV, partial|unclassified	1355.24
UniRef50_Q5XB25: Exodeoxyribonuclease 7 large subunit	1349.94
UniRef50_Q5XB25: Exodeoxyribonuclease 7 large subunit|unclassified	1349.94
UniRef50_UPI00029B26E3: exodeoxyribonuclease III Xth	1346.29
UniRef50_UPI00029B26E3: exodeoxyribonuclease III Xth|unclassified	1346.29
UniRef50_Q98LV1: DNA polymerase IV 1	1343.53
UniRef50_Q98LV1: DNA polymerase IV 1|unclassified	1343.53
UniRef50_UPI00042356A9: exodeoxyribonuclease III	1337.18
UniRef50_UPI00042356A9: exodeoxyribonuclease III|unclassified	1337.18
UniRef50_X2MYB3	1318.15
UniRef50_X2MYB3|unclassified	1318.15
UniRef50_UPI00036E1323: DNA polymerase IV, partial	1310.38
UniRef50_UPI00036E1323: DNA polymerase IV, partial|unclassified	1310.38
UniRef50_Q18A91: DNA polymerase IV	1300.22
UniRef50_Q18A91: DNA polymerase IV|unclassified	1300.22
UniRef50_A0A036XCZ6: UPF0758 protein	1299.97
UniRef50_A0A036XCZ6: UPF0758 protein|unclassified	1299.97
UniRef50_P19220: Methylated-DNA--protein-cysteine methyltransferase, inducible	1267.82
UniRef50_P19220: Methylated-DNA--protein-cysteine methyltransferase, inducible|unclassified	1267.82
UniRef50_Q6D286: Exodeoxyribonuclease 7 large subunit	1264.64
UniRef50_Q6D286: Exodeoxyribonuclease 7 large subunit|unclassified	1264.64
UniRef50_Q189A4: Probable endonuclease 4	1259.9
UniRef50_Q189A4: Probable endonuclease 4|unclassified	1259.9
UniRef50_UPI0001DD0977: methylated DNA-protein cysteine methyltransferase	1257.88
UniRef50_UPI0001DD0977: methylated DNA-protein cysteine methyltransferase|unclassified	1257.88
UniRef50_W5X8B2: Methylated-DNA--protein-cysteine methyltransferase	1249.27
UniRef50_W5X8B2: Methylated-DNA--protein-cysteine methyltransferase|unclassified	1249.27
UniRef50_P63536: Probable endonuclease 4	1248.08
UniRef50_P63536: Probable endonuclease 4|unclassified	1248.08
UniRef50_UPI0003A070BD: exodeoxyribonuclease VII large subunit	1243.36
UniRef50_UPI0003A070BD: exodeoxyribonuclease VII large subunit|unclassified	1243.36
UniRef50_UPI00037F1D2C: hypothetical protein	1235.19
UniRef50_UPI00037F1D2C: hypothetical protein|unclassified	1235.19
UniRef50_UPI0002192FA7: dioxygenase	1231.56
UniRef50_UPI0002192FA7: dioxygenase|unclassified	1231.56
UniRef50_Q8PY44: Methylated-DNA--protein-cysteine methyltransferase	1217.25
UniRef50_Q8PY44: Methylated-DNA--protein-cysteine methyltransferase|unclassified	1217.25
