# Gene Family	SampleDNA_repair._bacterial_Abundance-RPKs
UNMAPPED	70650.0000000000
UniRef50_P0A1B0: Exodeoxyribonuclease III	2516.8752029348
UniRef50_P0A1B0: Exodeoxyribonuclease III|unclassified	2516.8752029348
UniRef50_P44318: Exodeoxyribonuclease III	2247.8438408119
UniRef50_P44318: Exodeoxyribonuclease III|unclassified	2247.8438408119
UniRef50_Q71ZM1: Probable endonuclease 4	1900.1894737086
UniRef50_Q71ZM1: Probable endonuclease 4|unclassified	1900.1894737086
UniRef50_P44431: DNA adenine methylase	1899.9932497602
UniRef50_P44431: DNA adenine methylase|unclassified	1899.9932497602
UniRef50_UPI00047202F6: hypothetical protein	1876.8550533635
UniRef50_UPI00047202F6: hypothetical protein|unclassified	1876.8550533635
UniRef50_P37454: Exodeoxyribonuclease	1874.3235277377
UniRef50_P37454: Exodeoxyribonuclease|unclassified	1874.3235277377
UniRef50_P0A6C2: Endonuclease 4	1506.4838752631
UniRef50_P0A6C2: Endonuclease 4|unclassified	1506.4838752631
UniRef50_P17802: A/G-specific adenine glycosylase	1453.3007796230
UniRef50_P17802: A/G-specific adenine glycosylase|unclassified	1453.3007796230
UniRef50_UPI000463DC0E: exodeoxyribonuclease III	1416.2514735131
UniRef50_UPI000463DC0E: exodeoxyribonuclease III|unclassified	1416.2514735131
UniRef50_UPI000465591A: DNA mismatch repair protein, partial	1397.8673542374
UniRef50_UPI000465591A: DNA mismatch repair protein, partial|unclassified	1397.8673542374
UniRef50_UPI00037B6434: hypothetical protein	1290.5281849317
UniRef50_UPI00037B6434: hypothetical protein|unclassified	1290.5281849317
UniRef50_P26189: Regulatory protein ada	1170.9107161497
UniRef50_P26189: Regulatory protein ada|unclassified	1170.9107161497
UniRef50_J2X9Z4	1139.8441604742
UniRef50_J2X9Z4|unclassified	1139.8441604742
UniRef50_L7A6Y6: Recombination and repair protein (Fragment)	1068.1851433603
UniRef50_L7A6Y6: Recombination and repair protein (Fragment)|unclassified	1068.1851433603
UniRef50_UPI000362E5FB: recombinase	997.9887109007
UniRef50_UPI000362E5FB: recombinase|unclassified	997.9887109007
UniRef50_P09184: Very short patch repair protein	993.5990178298
UniRef50_P09184: Very short patch repair protein|unclassified	993.5990178298
UniRef50_UPI0004656FEC: exodeoxyribonuclease III, partial	987.0451335467
UniRef50_UPI0004656FEC: exodeoxyribonuclease III, partial|unclassified	987.0451335467
UniRef50_W6JEW6: Endonuclease IV	954.2543392226
UniRef50_W6JEW6: Endonuclease IV|unclassified	954.2543392226
UniRef50_UPI0002652A53: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like	864.2138858894
UniRef50_UPI0002652A53: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like|unclassified	864.2138858894
UniRef50_B1KD33: DNA polymerase IV	847.4260718461
UniRef50_B1KD33: DNA polymerase IV|unclassified	847.4260718461
UniRef50_UPI000377F4F7: DNA repair protein RecN, partial	816.0374752250
UniRef50_UPI000377F4F7: DNA repair protein RecN, partial|unclassified	816.0374752250
UniRef50_UPI0000166D58: COG0419: ATPase involved in DNA repair	795.6705237065
UniRef50_UPI0000166D58: COG0419: ATPase involved in DNA repair|unclassified	795.6705237065
UniRef50_UPI0003B67745: exonuclease, partial	776.6190410775
UniRef50_UPI0003B67745: exonuclease, partial|unclassified	776.6190410775
UniRef50_P0A697: Methylated-DNA--protein-cysteine methyltransferase	755.0143116888
UniRef50_P0A697: Methylated-DNA--protein-cysteine methyltransferase|unclassified	755.0143116888
UniRef50_P21311: Retron EC67 DNA adenine methylase	752.8162398707
UniRef50_P21311: Retron EC67 DNA adenine methylase|unclassified	752.8162398707
UniRef50_P44320: A/G-specific adenine glycosylase	752.5450670550
UniRef50_P44320: A/G-specific adenine glycosylase|unclassified	752.5450670550
UniRef50_UPI00037A65B6: hypothetical protein, partial	744.3464007936
UniRef50_UPI00037A65B6: hypothetical protein, partial|unclassified	744.3464007936
UniRef50_UPI0003C0FE99: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like	734.1166606783
UniRef50_UPI0003C0FE99: PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like|unclassified	734.1166606783
UniRef50_UPI0004741C8F: endonuclease	708.5249826339
UniRef50_UPI0004741C8F: endonuclease|unclassified	708.5249826339
UniRef50_UPI00036404C4: hypothetical protein, partial	706.4373109410
UniRef50_UPI00036404C4: hypothetical protein, partial|unclassified	706.4373109410
UniRef50_X3EIA8: DNA recombination protein RmuC	683.5196175014
UniRef50_X3EIA8: DNA recombination protein RmuC|unclassified	683.5196175014
UniRef50_UPI0003A4CDA5: exodeoxyribonuclease III	677.0152650519
UniRef50_UPI0003A4CDA5: exodeoxyribonuclease III|unclassified	677.0152650519
UniRef50_B7UPF3: Endonuclease V	674.1603896966
UniRef50_B7UPF3: Endonuclease V|unclassified	674.1603896966
UniRef50_P05050: Alpha-ketoglutarate-dependent dioxygenase AlkB	673.4847985291
UniRef50_P05050: Alpha-ketoglutarate-dependent dioxygenase AlkB|unclassified	673.4847985291
UniRef50_UPI00042857FF: exodeoxyribonuclease III	668.8338395317
UniRef50_UPI00042857FF: exodeoxyribonuclease III|unclassified	668.8338395317
UniRef50_Q8TI34: Methylated-DNA--protein-cysteine methyltransferase	666.8883253888
UniRef50_Q8TI34: Methylated-DNA--protein-cysteine methyltransferase|unclassified	666.8883253888
UniRef50_Q5HEM7: DNA polymerase IV	653.0353041559
UniRef50_Q5HEM7: DNA polymerase IV|unclassified	653.0353041559
UniRef50_UPI00046674B1: hypothetical protein	636.1139767151
UniRef50_UPI00046674B1: hypothetical protein|unclassified	636.1139767151
UniRef50_A0A033W1R8	634.3927960442
UniRef50_A0A033W1R8|unclassified	634.3927960442
UniRef50_A6TCC4: Exodeoxyribonuclease 7 large subunit	625.2234941795
UniRef50_A6TCC4: Exodeoxyribonuclease 7 large subunit|unclassified	625.2234941795
UniRef50_UPI0003F9644A: adenine glycosylase	624.0686338151
