# Gene Family	SampleDe_Novo_Purine_Biosynthesis_Abundance-CPM
UNMAPPED	26032.9
UniRef50_Q2FFI7: Adenylosuccinate lyase	10209.3
UniRef50_Q2FFI7: Adenylosuccinate lyase|unclassified	10209.3
UniRef50_A0A013VKA1: Transcriptional regulator	8707.74
UniRef50_A0A013VKA1: Transcriptional regulator|unclassified	8707.74
UniRef50_M5R5R4	7859.02
UniRef50_M5R5R4|unclassified	7859.02
UniRef50_P0AG16: Amidophosphoribosyltransferase	7640.83
UniRef50_P0AG16: Amidophosphoribosyltransferase|unclassified	7640.83
UniRef50_A1U1A4: Phosphoribosylaminoimidazole-succinocarboxamide synthase	7071.43
UniRef50_A1U1A4: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	7071.43
UniRef50_P65239: Ribose-phosphate pyrophosphokinase 1	6361.27
UniRef50_P65239: Ribose-phosphate pyrophosphokinase 1|unclassified	6361.27
UniRef50_P0AG19: N5-carboxyaminoimidazole ribonucleotide mutase	6130.84
UniRef50_P0AG19: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	6130.84
UniRef50_P43854: Amidophosphoribosyltransferase	5519.25
UniRef50_P43854: Amidophosphoribosyltransferase|unclassified	5519.25
UniRef50_A1AC10: Phosphoribosylglycinamide formyltransferase 2	5286.35
UniRef50_A1AC10: Phosphoribosylglycinamide formyltransferase 2|unclassified	5286.35
UniRef50_P43850: N5-carboxyaminoimidazole ribonucleotide synthase	5022.36
UniRef50_P43850: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	5022.36
UniRef50_B7NFU7: Bifunctional purine biosynthesis protein PurH	4783.51
UniRef50_B7NFU7: Bifunctional purine biosynthesis protein PurH|unclassified	4783.51
UniRef50_P65234: Ribose-phosphate pyrophosphokinase	4763.22
UniRef50_P65234: Ribose-phosphate pyrophosphokinase|unclassified	4763.22
UniRef50_UPI000368E090: hypothetical protein, partial	4637.29
UniRef50_UPI000368E090: hypothetical protein, partial|unclassified	4637.29
UniRef50_Q89DJ1: Ribose-phosphate pyrophosphokinase	4600.44
UniRef50_Q89DJ1: Ribose-phosphate pyrophosphokinase|unclassified	4600.44
UniRef50_UPI00036538AA: hypothetical protein, partial	4559.03
UniRef50_UPI00036538AA: hypothetical protein, partial|unclassified	4559.03
UniRef50_Q9I0K9: Adenylosuccinate lyase	4498.68
UniRef50_Q9I0K9: Adenylosuccinate lyase|unclassified	4498.68
UniRef50_UPI00046FDE90: hypothetical protein, partial	4452.93
UniRef50_UPI00046FDE90: hypothetical protein, partial|unclassified	4452.93
UniRef50_O06456: N5-carboxyaminoimidazole ribonucleotide mutase	4384.21
UniRef50_O06456: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	4384.21
UniRef50_P44797: Adenylosuccinate lyase	4372.08
UniRef50_P44797: Adenylosuccinate lyase|unclassified	4372.08
UniRef50_K8ABB2	4349.32
UniRef50_K8ABB2|unclassified	4349.32
UniRef50_P52558: N5-carboxyaminoimidazole ribonucleotide mutase	4274.87
UniRef50_P52558: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	4274.87
UniRef50_Q7VR76: Ribose-phosphate pyrophosphokinase	4271.79
UniRef50_Q7VR76: Ribose-phosphate pyrophosphokinase|unclassified	4271.79
UniRef50_A0A011NMN2	4191.17
UniRef50_A0A011NMN2|unclassified	4191.17
UniRef50_UPI00036EC8C9: hypothetical protein, partial	4176.02
UniRef50_UPI00036EC8C9: hypothetical protein, partial|unclassified	4176.02
UniRef50_Q7MGT4: Phosphoribosylamine--glycine ligase	4082.21
UniRef50_Q7MGT4: Phosphoribosylamine--glycine ligase|unclassified	4082.21
UniRef50_UPI00047431D9: adenylosuccinate lyase, partial	3960.59
UniRef50_UPI00047431D9: adenylosuccinate lyase, partial|unclassified	3960.59
UniRef50_B8ZJM7: Phosphoribosylaminoimidazole-succinocarboxamide synthase	3927.69
UniRef50_B8ZJM7: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	3927.69
UniRef50_Q2SZW6: Phosphoribosylglycinamide formyltransferase 2	3899.34
UniRef50_Q2SZW6: Phosphoribosylglycinamide formyltransferase 2|unclassified	3899.34
UniRef50_S2HI35	3888.57
UniRef50_S2HI35|unclassified	3888.57
UniRef50_Q1QVP5: Phosphoribosylformylglycinamidine cyclo-ligase	3881.14
UniRef50_Q1QVP5: Phosphoribosylformylglycinamidine cyclo-ligase|unclassified	3881.14
UniRef50_Q6GI14: Amidophosphoribosyltransferase	3776.49
UniRef50_Q6GI14: Amidophosphoribosyltransferase|unclassified	3776.49
UniRef50_J9G290: Protein containing AIR synthase related protein (Fragment)	3759.34
UniRef50_J9G290: Protein containing AIR synthase related protein (Fragment)|unclassified	3759.34
UniRef50_P56468: Adenylosuccinate lyase	3739.7
UniRef50_P56468: Adenylosuccinate lyase|unclassified	3739.7
UniRef50_Q8YN97: Ribose-phosphate pyrophosphokinase	3731.91
UniRef50_Q8YN97: Ribose-phosphate pyrophosphokinase|unclassified	3731.91
UniRef50_UPI000367477A: phosphoribosylamine--glycine ligase, partial	3699.63
UniRef50_UPI000367477A: phosphoribosylamine--glycine ligase, partial|unclassified	3699.63
UniRef50_P00497: Amidophosphoribosyltransferase	3693.94
UniRef50_P00497: Amidophosphoribosyltransferase|unclassified	3693.94
UniRef50_UPI0002DC1BE7: amidophosphoribosyltransferase	3683.54
UniRef50_UPI0002DC1BE7: amidophosphoribosyltransferase|unclassified	3683.54
UniRef50_P9WHM0: N5-carboxyaminoimidazole ribonucleotide mutase	3672.5
UniRef50_P9WHM0: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	3672.5
UniRef50_W1FVQ5	3669.26
UniRef50_W1FVQ5|unclassified	3669.26
UniRef50_Q9HUV8: Phosphoribosylamine--glycine ligase	3665.03
UniRef50_Q9HUV8: Phosphoribosylamine--glycine ligase|unclassified	3665.03
UniRef50_B9KPJ0: Ribose-phosphate pyrophosphokinase	3662.44
UniRef50_B9KPJ0: Ribose-phosphate pyrophosphokinase|unclassified	3662.44
UniRef50_Q832Z5: Ribose-phosphate pyrophosphokinase 2	3614.28
UniRef50_Q832Z5: Ribose-phosphate pyrophosphokinase 2|unclassified	3614.28
UniRef50_Q2P047: Phosphoribosylglycinamide formyltransferase 2	3595.07
UniRef50_Q2P047: Phosphoribosylglycinamide formyltransferase 2|unclassified	3595.07
UniRef50_UPI00038FD17F: Pur operon repressor	3539.04
UniRef50_UPI00038FD17F: Pur operon repressor|unclassified	3539.04
UniRef50_B7UXY9: Phosphoribosylformylglycinamidine cyclo-ligase	3533.06
