# Gene Family	SampleDe_Novo_Purine_Biosynthesis_Abundance-RPKs
UNMAPPED	7536.0000000000
UniRef50_Q2FFI7: Adenylosuccinate lyase	2955.3819256724
UniRef50_Q2FFI7: Adenylosuccinate lyase|unclassified	2955.3819256724
UniRef50_A0A013VKA1: Transcriptional regulator	2520.7142848877
UniRef50_A0A013VKA1: Transcriptional regulator|unclassified	2520.7142848877
UniRef50_M5R5R4	2275.0278279755
UniRef50_M5R5R4|unclassified	2275.0278279755
UniRef50_P0AG16: Amidophosphoribosyltransferase	2211.8645165993
UniRef50_P0AG16: Amidophosphoribosyltransferase|unclassified	2211.8645165993
UniRef50_A1U1A4: Phosphoribosylaminoimidazole-succinocarboxamide synthase	2047.0371634939
UniRef50_A1U1A4: Phosphoribosylaminoimidazole-succinocarboxamide synthase|unclassified	2047.0371634939
UniRef50_P65239: Ribose-phosphate pyrophosphokinase 1	1841.4582094563
UniRef50_P65239: Ribose-phosphate pyrophosphokinase 1|unclassified	1841.4582094563
UniRef50_P0AG19: N5-carboxyaminoimidazole ribonucleotide mutase	1774.7547591928
UniRef50_P0AG19: N5-carboxyaminoimidazole ribonucleotide mutase|unclassified	1774.7547591928
UniRef50_P43854: Amidophosphoribosyltransferase	1597.7117384191
UniRef50_P43854: Amidophosphoribosyltransferase|unclassified	1597.7117384191
UniRef50_A1AC10: Phosphoribosylglycinamide formyltransferase 2	1530.2918646141
UniRef50_A1AC10: Phosphoribosylglycinamide formyltransferase 2|unclassified	1530.2918646141
UniRef50_P43850: N5-carboxyaminoimidazole ribonucleotide synthase	1453.8721406221
UniRef50_P43850: N5-carboxyaminoimidazole ribonucleotide synthase|unclassified	1453.8721406221
UniRef50_B7NFU7: Bifunctional purine biosynthesis protein PurH	1384.7287246656
UniRef50_B7NFU7: Bifunctional purine biosynthesis protein PurH|unclassified	1384.7287246656
UniRef50_P65234: Ribose-phosphate pyrophosphokinase	1378.8552193111
UniRef50_P65234: Ribose-phosphate pyrophosphokinase|unclassified	1378.8552193111
