# Gene Family	SampleDe_Novo_Pyrimidine_Synthesis_Abundance-CPM
UNMAPPED	39266.5
UniRef50_W7X601	18137.9
UniRef50_W7X601|unclassified	18137.9
UniRef50_W7X0K3	10168.7
UniRef50_W7X0K3|unclassified	10168.7
UniRef50_UPI00047C6BBB: uracil transporter	7662.37
UniRef50_UPI00047C6BBB: uracil transporter|unclassified	7662.37
UniRef50_R7LEN4	6134.74
UniRef50_R7LEN4|unclassified	6134.74
UniRef50_W7WQ80	6104.07
UniRef50_W7WQ80|unclassified	6104.07
UniRef50_K8A9R5	5241.44
UniRef50_K8A9R5|unclassified	5241.44
UniRef50_Q8XZ83: Carbamoyl-phosphate synthase large chain	5146.91
UniRef50_Q8XZ83: Carbamoyl-phosphate synthase large chain|unclassified	5146.91
UniRef50_T1BB70: Carbamoyl phosphate synthase large subunit (Fragment)	4923.96
UniRef50_T1BB70: Carbamoyl phosphate synthase large subunit (Fragment)|unclassified	4923.96
UniRef50_UPI000463786D: hypothetical protein, partial	4820.37
UniRef50_UPI000463786D: hypothetical protein, partial|unclassified	4820.37
UniRef50_K8CRG7	4791.77
UniRef50_K8CRG7|unclassified	4791.77
UniRef50_G8LK60	4678.69
UniRef50_G8LK60|unclassified	4678.69
UniRef50_X3ENZ4	4619.36
UniRef50_X3ENZ4|unclassified	4619.36
UniRef50_Q732I6: Orotidine 5'-phosphate decarboxylase	4596.23
UniRef50_Q732I6: Orotidine 5'-phosphate decarboxylase|unclassified	4596.23
UniRef50_Q9A0C6: Carbamoyl-phosphate synthase large chain	4546.87
UniRef50_Q9A0C6: Carbamoyl-phosphate synthase large chain|unclassified	4546.87
UniRef50_A6TCB0: Uracil phosphoribosyltransferase	4490.4
UniRef50_A6TCB0: Uracil phosphoribosyltransferase|unclassified	4490.4
UniRef50_C0AZ23: MGS-like domain protein	4421.34
UniRef50_C0AZ23: MGS-like domain protein|unclassified	4421.34
UniRef50_B5XY59: Dihydroorotate dehydrogenase (quinone)	4390.1
UniRef50_B5XY59: Dihydroorotate dehydrogenase (quinone)|unclassified	4390.1
UniRef50_A5F642: Uracil phosphoribosyltransferase	4276.52
UniRef50_A5F642: Uracil phosphoribosyltransferase|unclassified	4276.52
UniRef50_L8U863	4234.78
UniRef50_L8U863|unclassified	4234.78
UniRef50_X1G211: Marine sediment metagenome DNA, contig: S03H2_L09907 (Fragment)	4069.94
UniRef50_X1G211: Marine sediment metagenome DNA, contig: S03H2_L09907 (Fragment)|unclassified	4069.94
UniRef50_O28994: Carbamoyl-phosphate synthase large chain	3990.88
UniRef50_O28994: Carbamoyl-phosphate synthase large chain|unclassified	3990.88
UniRef50_L8U9K1	3963.87
UniRef50_L8U9K1|unclassified	3963.87
UniRef50_UPI0001913039: uracil permease	3935.16
UniRef50_UPI0001913039: uracil permease|unclassified	3935.16
UniRef50_C1KWD9: Bifunctional protein PyrR	3685.79
UniRef50_C1KWD9: Bifunctional protein PyrR|unclassified	3685.79
UniRef50_Q6LUK6: Carbamoyl-phosphate synthase small chain	3661.63
UniRef50_Q6LUK6: Carbamoyl-phosphate synthase small chain|unclassified	3661.63
UniRef50_B7MUC3: Orotidine 5'-phosphate decarboxylase	3659.86
UniRef50_B7MUC3: Orotidine 5'-phosphate decarboxylase|unclassified	3659.86
UniRef50_B4T6V0: Orotidine 5'-phosphate decarboxylase	3650.48
UniRef50_B4T6V0: Orotidine 5'-phosphate decarboxylase|unclassified	3650.48
UniRef50_Q8ZIL5: Carbamoyl-phosphate synthase small chain	3581.8
UniRef50_Q8ZIL5: Carbamoyl-phosphate synthase small chain|unclassified	3581.8
UniRef50_Q98I87: Carbamoyl-phosphate synthase large chain	3580.4
UniRef50_Q98I87: Carbamoyl-phosphate synthase large chain|unclassified	3580.4
UniRef50_W7WUG1	3484.55
UniRef50_W7WUG1|unclassified	3484.55
UniRef50_UPI000470E5B8: hypothetical protein, partial	3454.41
UniRef50_UPI000470E5B8: hypothetical protein, partial|unclassified	3454.41
UniRef50_Q8VMB8: Carbamoylphosphate synthetase small subunit (Fragment)	3404.66
UniRef50_Q8VMB8: Carbamoylphosphate synthetase small subunit (Fragment)|unclassified	3404.66
UniRef50_Q57IA0: Orotate phosphoribosyltransferase	3403.23
UniRef50_Q57IA0: Orotate phosphoribosyltransferase|unclassified	3403.23
UniRef50_O67869: Carbamoyl-phosphate synthase large chain, N-terminal section	3385.5
UniRef50_O67869: Carbamoyl-phosphate synthase large chain, N-terminal section|unclassified	3385.5
UniRef50_Q81WF1: Carbamoyl-phosphate synthase small chain	3382.63
UniRef50_Q81WF1: Carbamoyl-phosphate synthase small chain|unclassified	3382.63
UniRef50_A4XS41: Dihydroorotase	3361.54
UniRef50_A4XS41: Dihydroorotase|unclassified	3361.54
UniRef50_B7UVV3: Dihydroorotase	3320.9
UniRef50_B7UVV3: Dihydroorotase|unclassified	3320.9
UniRef50_P0DH75: Orotate phosphoribosyltransferase	3311.94
UniRef50_P0DH75: Orotate phosphoribosyltransferase|unclassified	3311.94
UniRef50_B5F446: Aspartate carbamoyltransferase	3258.59
UniRef50_B5F446: Aspartate carbamoyltransferase|unclassified	3258.59
UniRef50_O50236: Carbamoyl-phosphate synthase large chain	3213.1
UniRef50_O50236: Carbamoyl-phosphate synthase large chain|unclassified	3213.1
UniRef50_Q39J02: Aspartate carbamoyltransferase	3179.62
UniRef50_Q39J02: Aspartate carbamoyltransferase|unclassified	3179.62
UniRef50_A3QDX8: Dihydroorotate dehydrogenase (quinone)	3169.96
UniRef50_A3QDX8: Dihydroorotate dehydrogenase (quinone)|unclassified	3169.96
UniRef50_A4QHG9: Orotate phosphoribosyltransferase	3155
UniRef50_A4QHG9: Orotate phosphoribosyltransferase|unclassified	3155
