# Gene Family	SampleDe_Novo_Pyrimidine_Synthesis_Abundance-RPKs
UNMAPPED	12253.0000000000
UniRef50_W7X601	5659.8739471348
UniRef50_W7X601|unclassified	5659.8739471348
UniRef50_W7X0K3	3173.1172205771
UniRef50_W7X0K3|unclassified	3173.1172205771
UniRef50_UPI00047C6BBB: uracil transporter	2391.0224888868
UniRef50_UPI00047C6BBB: uracil transporter|unclassified	2391.0224888868
UniRef50_R7LEN4	1914.3275330257
UniRef50_R7LEN4|unclassified	1914.3275330257
UniRef50_W7WQ80	1904.7581989738
UniRef50_W7WQ80|unclassified	1904.7581989738
UniRef50_K8A9R5	1635.5765406300
UniRef50_K8A9R5|unclassified	1635.5765406300
UniRef50_Q8XZ83: Carbamoyl-phosphate synthase large chain	1606.0788777793
UniRef50_Q8XZ83: Carbamoyl-phosphate synthase large chain|unclassified	1606.0788777793
UniRef50_T1BB70: Carbamoyl phosphate synthase large subunit (Fragment)	1536.5076399495
UniRef50_T1BB70: Carbamoyl phosphate synthase large subunit (Fragment)|unclassified	1536.5076399495
UniRef50_UPI000463786D: hypothetical protein, partial	1504.1846317287
UniRef50_UPI000463786D: hypothetical protein, partial|unclassified	1504.1846317287
UniRef50_K8CRG7	1495.2581232288
UniRef50_K8CRG7|unclassified	1495.2581232288
UniRef50_G8LK60	1459.9722787349
UniRef50_G8LK60|unclassified	1459.9722787349
UniRef50_X3ENZ4	1441.4593206512
UniRef50_X3ENZ4|unclassified	1441.4593206512
UniRef50_Q732I6: Orotidine 5'-phosphate decarboxylase	1434.2402817970
UniRef50_Q732I6: Orotidine 5'-phosphate decarboxylase|unclassified	1434.2402817970
UniRef50_Q9A0C6: Carbamoyl-phosphate synthase large chain	1418.8383991618
UniRef50_Q9A0C6: Carbamoyl-phosphate synthase large chain|unclassified	1418.8383991618
UniRef50_A6TCB0: Uracil phosphoribosyltransferase	1401.2165058509
UniRef50_A6TCB0: Uracil phosphoribosyltransferase|unclassified	1401.2165058509
UniRef50_C0AZ23: MGS-like domain protein	1379.6656343661
UniRef50_C0AZ23: MGS-like domain protein|unclassified	1379.6656343661
UniRef50_B5XY59: Dihydroorotate dehydrogenase (quinone)	1369.9196596344
UniRef50_B5XY59: Dihydroorotate dehydrogenase (quinone)|unclassified	1369.9196596344
UniRef50_A5F642: Uracil phosphoribosyltransferase	1334.4779075569
UniRef50_A5F642: Uracil phosphoribosyltransferase|unclassified	1334.4779075569
UniRef50_L8U863	1321.4502798155
UniRef50_L8U863|unclassified	1321.4502798155
UniRef50_X1G211: Marine sediment metagenome DNA, contig: S03H2_L09907 (Fragment)	1270.0135004624
UniRef50_X1G211: Marine sediment metagenome DNA, contig: S03H2_L09907 (Fragment)|unclassified	1270.0135004624
UniRef50_O28994: Carbamoyl-phosphate synthase large chain	1245.3445307185
UniRef50_O28994: Carbamoyl-phosphate synthase large chain|unclassified	1245.3445307185
UniRef50_L8U9K1	1236.9156288608
UniRef50_L8U9K1|unclassified	1236.9156288608
UniRef50_UPI0001913039: uracil permease	1227.9573710291
