# Gene Family	SampleECF_class_transporters_Abundance-CPM
UNMAPPED	136958
UniRef50_UPI00046CD2A4: membrane protein, partial	11060.5
UniRef50_UPI00046CD2A4: membrane protein, partial|unclassified	11060.5
UniRef50_UPI0004753A84: riboflavin transporter FmnP, partial	9390.33
UniRef50_UPI0004753A84: riboflavin transporter FmnP, partial|unclassified	9390.33
UniRef50_V1CM27	7974.09
UniRef50_V1CM27|unclassified	7974.09
UniRef50_C0ETS9	6882.66
UniRef50_C0ETS9|unclassified	6882.66
UniRef50_W0C6W3: ABC-type cobalt transport system, permease component CbiQ	6580.79
UniRef50_W0C6W3: ABC-type cobalt transport system, permease component CbiQ|unclassified	6580.79
UniRef50_I6DRQ9	6252.91
UniRef50_I6DRQ9|unclassified	6252.91
UniRef50_Q05598: Cobalt transport protein CbiQ	5866.76
UniRef50_Q05598: Cobalt transport protein CbiQ|unclassified	5866.76
UniRef50_C2S5Z5: Cobalt transport protein	5409.28
UniRef50_C2S5Z5: Cobalt transport protein|unclassified	5409.28
UniRef50_F3R0E6: Cobalt transport protein	5367.99
UniRef50_F3R0E6: Cobalt transport protein|unclassified	5367.99
UniRef50_Q839D4: Energy-coupling factor transporter ATP-binding protein EcfA2	5291.39
UniRef50_Q839D4: Energy-coupling factor transporter ATP-binding protein EcfA2|unclassified	5291.39
UniRef50_Q81CT8: Putative ABC transporter ATP-binding protein BC_2655	5173.63
UniRef50_Q81CT8: Putative ABC transporter ATP-binding protein BC_2655|unclassified	5173.63
UniRef50_B5Q6H7: ABC transporter permease protein	4985.13
UniRef50_B5Q6H7: ABC transporter permease protein|unclassified	4985.13
UniRef50_Q734T1: Putative ABC transporter ATP-binding protein BCE_3323	4927.97
UniRef50_Q734T1: Putative ABC transporter ATP-binding protein BCE_3323|unclassified	4927.97
UniRef50_Q6G5Z1: Putative ABC transporter ATP-binding protein SAS2569	4861.4
UniRef50_Q6G5Z1: Putative ABC transporter ATP-binding protein SAS2569|unclassified	4861.4
UniRef50_UPI00005578C5: hypothetical protein	4691.27
UniRef50_UPI00005578C5: hypothetical protein|unclassified	4691.27
UniRef50_UPI00036E8EE0: cobalt transporter, partial	4511.62
UniRef50_UPI00036E8EE0: cobalt transporter, partial|unclassified	4511.62
UniRef50_Q88XV1: Energy-coupling factor transporter ATP-binding protein EcfA2	4241.77
UniRef50_Q88XV1: Energy-coupling factor transporter ATP-binding protein EcfA2|unclassified	4241.77
UniRef50_D8IMD2: Cobalt transport permease protein	4083.45
UniRef50_D8IMD2: Cobalt transport permease protein|unclassified	4083.45
UniRef50_Q8R7Y4: Energy-coupling factor transporter ATP-binding protein EcfA1	3982.72
UniRef50_Q8R7Y4: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	3982.72
UniRef50_A9VLV8: Cobalt transport protein	3955.71
UniRef50_A9VLV8: Cobalt transport protein|unclassified	3955.71
UniRef50_UPI0001E896C4: cobalt transporter	3913.86
UniRef50_UPI0001E896C4: cobalt transporter|unclassified	3913.86
UniRef50_Q0TMS8: Energy-coupling factor transporter ATP-binding protein EcfA2	3886.73
UniRef50_Q0TMS8: Energy-coupling factor transporter ATP-binding protein EcfA2|unclassified	3886.73
UniRef50_Q890R3: Energy-coupling factor transporter ATP-binding protein EcfA2	3855.49
UniRef50_Q890R3: Energy-coupling factor transporter ATP-binding protein EcfA2|unclassified	3855.49
UniRef50_P0C0E8: Energy-coupling factor transporter ATP-binding protein EcfA1	3726.46
UniRef50_P0C0E8: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	3726.46
UniRef50_Q8Z5N5: Cobalt import ATP-binding protein CbiO	3706.71
UniRef50_Q8Z5N5: Cobalt import ATP-binding protein CbiO|unclassified	3706.71
UniRef50_P0CZ28: Energy-coupling factor transporter ATP-binding protein EcfA1	3700.25
UniRef50_P0CZ28: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	3700.25
UniRef50_UPI0002628006: membrane protein	3653.96
UniRef50_UPI0002628006: membrane protein|unclassified	3653.96
UniRef50_A0REM7: ABC transporter, permease	3622.83
UniRef50_A0REM7: ABC transporter, permease|unclassified	3622.83
UniRef50_Q2FER8: Energy-coupling factor transporter ATP-binding protein EcfA2	3559.9
UniRef50_Q2FER8: Energy-coupling factor transporter ATP-binding protein EcfA2|unclassified	3559.9
UniRef50_A5Z577	3557.08
UniRef50_A5Z577|unclassified	3557.08
UniRef50_Q8XK20: Putative ABC transporter ATP-binding protein CPE1583	3452.64
UniRef50_Q8XK20: Putative ABC transporter ATP-binding protein CPE1583|unclassified	3452.64
UniRef50_A0PXX7: Energy-coupling factor transporter ATP-binding protein EcfA1	3432.31
UniRef50_A0PXX7: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	3432.31
UniRef50_UPI000475520C: membrane protein	3399.48
UniRef50_UPI000475520C: membrane protein|unclassified	3399.48
UniRef50_D4Q069: Cobalt transporter	3388.8
UniRef50_D4Q069: Cobalt transporter|unclassified	3388.8
UniRef50_A3CRB9: Energy-coupling factor transporter ATP-binding protein EcfA1	3345.02
UniRef50_A3CRB9: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	3345.02
UniRef50_Q92CK1: Putative ABC transporter ATP-binding protein lin1170	3338.37
UniRef50_Q92CK1: Putative ABC transporter ATP-binding protein lin1170|unclassified	3338.37
UniRef50_UPI000470D1FC: hypothetical protein, partial	3312.07
UniRef50_UPI000470D1FC: hypothetical protein, partial|unclassified	3312.07
UniRef50_K8FB27	3309.59
UniRef50_K8FB27|unclassified	3309.59
UniRef50_Q57CD8: Putative ABC transporter ATP-binding protein BruAb1_1365	3215.12
UniRef50_Q57CD8: Putative ABC transporter ATP-binding protein BruAb1_1365|unclassified	3215.12
UniRef50_UPI000367FB40: ABC transporter ATP-binding protein, partial	3201
UniRef50_UPI000367FB40: ABC transporter ATP-binding protein, partial|unclassified	3201
UniRef50_Q87G35: Putative ABC transporter ATP-binding protein VPA1482	3170.45
UniRef50_Q87G35: Putative ABC transporter ATP-binding protein VPA1482|unclassified	3170.45
UniRef50_C9YID6: Cobalt transport protein CbiM	3084.97
UniRef50_C9YID6: Cobalt transport protein CbiM|unclassified	3084.97
UniRef50_Q74I62: Putative ABC transporter ATP-binding protein LJ_1704	3075.45
UniRef50_Q74I62: Putative ABC transporter ATP-binding protein LJ_1704|unclassified	3075.45
UniRef50_UPI000255C69D: hypothetical protein	3028
UniRef50_UPI000255C69D: hypothetical protein|unclassified	3028
UniRef50_UPI0003944679: cobalt transporter CbiM	3014.46
UniRef50_UPI0003944679: cobalt transporter CbiM|unclassified	3014.46
UniRef50_Q04BY7: Energy-coupling factor transporter ATP-binding protein EcfA1	3000.19
UniRef50_Q04BY7: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	3000.19
UniRef50_Q041L5: ABC-type cobalt transport system, permease component CbiQ related transporter	2989.05
UniRef50_Q041L5: ABC-type cobalt transport system, permease component CbiQ related transporter|unclassified	2989.05
UniRef50_Q18CI9: Energy-coupling factor transporter ATP-binding protein EcfA2	2934.91
UniRef50_Q18CI9: Energy-coupling factor transporter ATP-binding protein EcfA2|unclassified	2934.91
UniRef50_A0A024DFA2: Cobalt ABC transporter permease	2838.37
UniRef50_A0A024DFA2: Cobalt ABC transporter permease|unclassified	2838.37
UniRef50_A5MAE6	2810.16
UniRef50_A5MAE6|unclassified	2810.16
UniRef50_A3DJK3: Energy-coupling factor transporter ATP-binding protein EcfA1	2808.52
UniRef50_A3DJK3: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	2808.52
UniRef50_A3CL70: Cobalt transport protein CbiM	2792.44
UniRef50_A3CL70: Cobalt transport protein CbiM|unclassified	2792.44
UniRef50_X0PNB8: Substrate-specific component STY3230 of queuosine-regulated ECF transporter	2783.34
UniRef50_X0PNB8: Substrate-specific component STY3230 of queuosine-regulated ECF transporter|unclassified	2783.34
UniRef50_I0VGM3: Lipoprotein	2766.59
UniRef50_I0VGM3: Lipoprotein|unclassified	2766.59
UniRef50_E8SGJ9: Substrate-specific component ThiW of predicted thiazole ECF transporter	2755.84
UniRef50_E8SGJ9: Substrate-specific component ThiW of predicted thiazole ECF transporter|unclassified	2755.84
UniRef50_G5JHE6	2731.7
UniRef50_G5JHE6|unclassified	2731.7
UniRef50_Q8YQ91: Cobalt transport protein CbiM	2731.12
UniRef50_Q8YQ91: Cobalt transport protein CbiM|unclassified	2731.12
UniRef50_H3UP08: Cobalt transport protein	2723.94
UniRef50_H3UP08: Cobalt transport protein|unclassified	2723.94
