# Gene Family	SampleECF_class_transporters_Abundance-RPKs
UNMAPPED	45697.0000000000
UniRef50_UPI00046CD2A4: membrane protein, partial	3690.4046762017
UniRef50_UPI00046CD2A4: membrane protein, partial|unclassified	3690.4046762017
UniRef50_UPI0004753A84: riboflavin transporter FmnP, partial	3133.1511395604
UniRef50_UPI0004753A84: riboflavin transporter FmnP, partial|unclassified	3133.1511395604
UniRef50_V1CM27	2660.6109766999
UniRef50_V1CM27|unclassified	2660.6109766999
UniRef50_C0ETS9	2296.4498168281
UniRef50_C0ETS9|unclassified	2296.4498168281
UniRef50_W0C6W3: ABC-type cobalt transport system, permease component CbiQ	2195.7272091568
UniRef50_W0C6W3: ABC-type cobalt transport system, permease component CbiQ|unclassified	2195.7272091568
UniRef50_I6DRQ9	2086.3269196093
UniRef50_I6DRQ9|unclassified	2086.3269196093
UniRef50_Q05598: Cobalt transport protein CbiQ	1957.4854709172
UniRef50_Q05598: Cobalt transport protein CbiQ|unclassified	1957.4854709172
UniRef50_C2S5Z5: Cobalt transport protein	1804.8438264779
UniRef50_C2S5Z5: Cobalt transport protein|unclassified	1804.8438264779
UniRef50_F3R0E6: Cobalt transport protein	1791.0685762558
UniRef50_F3R0E6: Cobalt transport protein|unclassified	1791.0685762558
UniRef50_Q839D4: Energy-coupling factor transporter ATP-binding protein EcfA2	1765.5117605512
UniRef50_Q839D4: Energy-coupling factor transporter ATP-binding protein EcfA2|unclassified	1765.5117605512
UniRef50_Q81CT8: Putative ABC transporter ATP-binding protein BC_2655	1726.2199440232
UniRef50_Q81CT8: Putative ABC transporter ATP-binding protein BC_2655|unclassified	1726.2199440232
UniRef50_B5Q6H7: ABC transporter permease protein	1663.3258279161
UniRef50_B5Q6H7: ABC transporter permease protein|unclassified	1663.3258279161
UniRef50_Q734T1: Putative ABC transporter ATP-binding protein BCE_3323	1644.2536081369
UniRef50_Q734T1: Putative ABC transporter ATP-binding protein BCE_3323|unclassified	1644.2536081369
UniRef50_Q6G5Z1: Putative ABC transporter ATP-binding protein SAS2569	1622.0422500313
UniRef50_Q6G5Z1: Putative ABC transporter ATP-binding protein SAS2569|unclassified	1622.0422500313
UniRef50_UPI00005578C5: hypothetical protein	1565.2756015890
UniRef50_UPI00005578C5: hypothetical protein|unclassified	1565.2756015890
UniRef50_UPI00036E8EE0: cobalt transporter, partial	1505.3348036168
UniRef50_UPI00036E8EE0: cobalt transporter, partial|unclassified	1505.3348036168
UniRef50_Q88XV1: Energy-coupling factor transporter ATP-binding protein EcfA2	1415.2954586063
UniRef50_Q88XV1: Energy-coupling factor transporter ATP-binding protein EcfA2|unclassified	1415.2954586063
UniRef50_D8IMD2: Cobalt transport permease protein	1362.4715610416
UniRef50_D8IMD2: Cobalt transport permease protein|unclassified	1362.4715610416
UniRef50_Q8R7Y4: Energy-coupling factor transporter ATP-binding protein EcfA1	1328.8636980003
UniRef50_Q8R7Y4: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	1328.8636980003
UniRef50_A9VLV8: Cobalt transport protein	1319.8511934606
UniRef50_A9VLV8: Cobalt transport protein|unclassified	1319.8511934606
UniRef50_UPI0001E896C4: cobalt transporter	1305.8874838380
UniRef50_UPI0001E896C4: cobalt transporter|unclassified	1305.8874838380
UniRef50_Q0TMS8: Energy-coupling factor transporter ATP-binding protein EcfA2	1296.8337237135
UniRef50_Q0TMS8: Energy-coupling factor transporter ATP-binding protein EcfA2|unclassified	1296.8337237135
UniRef50_Q890R3: Energy-coupling factor transporter ATP-binding protein EcfA2	1286.4116215078
UniRef50_Q890R3: Energy-coupling factor transporter ATP-binding protein EcfA2|unclassified	1286.4116215078
UniRef50_P0C0E8: Energy-coupling factor transporter ATP-binding protein EcfA1	1243.3616659640
UniRef50_P0C0E8: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	1243.3616659640
UniRef50_Q8Z5N5: Cobalt import ATP-binding protein CbiO	1236.7717747318
UniRef50_Q8Z5N5: Cobalt import ATP-binding protein CbiO|unclassified	1236.7717747318
UniRef50_P0CZ28: Energy-coupling factor transporter ATP-binding protein EcfA1	1234.6134885498
UniRef50_P0CZ28: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	1234.6134885498
UniRef50_UPI0002628006: membrane protein	1219.1706259734
UniRef50_UPI0002628006: membrane protein|unclassified	1219.1706259734
UniRef50_A0REM7: ABC transporter, permease	1208.7818203689
UniRef50_A0REM7: ABC transporter, permease|unclassified	1208.7818203689
UniRef50_Q2FER8: Energy-coupling factor transporter ATP-binding protein EcfA2	1187.7860202544
UniRef50_Q2FER8: Energy-coupling factor transporter ATP-binding protein EcfA2|unclassified	1187.7860202544
UniRef50_A5Z577	1186.8458334029
UniRef50_A5Z577|unclassified	1186.8458334029
UniRef50_Q8XK20: Putative ABC transporter ATP-binding protein CPE1583	1151.9968047763
UniRef50_Q8XK20: Putative ABC transporter ATP-binding protein CPE1583|unclassified	1151.9968047763
UniRef50_A0PXX7: Energy-coupling factor transporter ATP-binding protein EcfA1	1145.2155239609
UniRef50_A0PXX7: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	1145.2155239609
UniRef50_UPI000475520C: membrane protein	1134.2625020626
UniRef50_UPI000475520C: membrane protein|unclassified	1134.2625020626
UniRef50_D4Q069: Cobalt transporter	1130.6970531129
UniRef50_D4Q069: Cobalt transporter|unclassified	1130.6970531129
UniRef50_A3CRB9: Energy-coupling factor transporter ATP-binding protein EcfA1	1116.0884456041
UniRef50_A3CRB9: Energy-coupling factor transporter ATP-binding protein EcfA1|unclassified	1116.0884456041
UniRef50_Q92CK1: Putative ABC transporter ATP-binding protein lin1170	1113.8721418561
UniRef50_Q92CK1: Putative ABC transporter ATP-binding protein lin1170|unclassified	1113.8721418561
UniRef50_UPI000470D1FC: hypothetical protein, partial	1105.0973290363
UniRef50_UPI000470D1FC: hypothetical protein, partial|unclassified	1105.0973290363
UniRef50_K8FB27	1104.2701014761
UniRef50_K8FB27|unclassified	1104.2701014761
UniRef50_Q57CD8: Putative ABC transporter ATP-binding protein BruAb1_1365	1072.7490331097
UniRef50_Q57CD8: Putative ABC transporter ATP-binding protein BruAb1_1365|unclassified	1072.7490331097
UniRef50_UPI000367FB40: ABC transporter ATP-binding protein, partial	1068.0356714300
UniRef50_UPI000367FB40: ABC transporter ATP-binding protein, partial|unclassified	1068.0356714300
UniRef50_Q87G35: Putative ABC transporter ATP-binding protein VPA1482	1057.8448312254
UniRef50_Q87G35: Putative ABC transporter ATP-binding protein VPA1482|unclassified	1057.8448312254
UniRef50_C9YID6: Cobalt transport protein CbiM	1029.3214316488
UniRef50_C9YID6: Cobalt transport protein CbiM|unclassified	1029.3214316488
UniRef50_Q74I62: Putative ABC transporter ATP-binding protein LJ_1704	1026.1467154095
UniRef50_Q74I62: Putative ABC transporter ATP-binding protein LJ_1704|unclassified	1026.1467154095
UniRef50_UPI000255C69D: hypothetical protein	1010.3136289398
UniRef50_UPI000255C69D: hypothetical protein|unclassified	1010.3136289398
UniRef50_UPI0003944679: cobalt transporter CbiM	1005.7965722839
