# Gene Family	SampleEntner-Doudoroff_Pathway_Abundance-CPM
UNMAPPED	30089.6
UniRef50_A7MQZ1	9905.51
UniRef50_A7MQZ1|unclassified	9905.51
UniRef50_P21599: Pyruvate kinase II	9102.64
UniRef50_P21599: Pyruvate kinase II|unclassified	9102.64
UniRef50_B5F621: Mannonate dehydratase	8996.01
UniRef50_B5F621: Mannonate dehydratase|unclassified	8996.01
UniRef50_A1AHE9: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	8250.78
UniRef50_A1AHE9: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	8250.78
UniRef50_A6TI09: Probable phosphoglycerate mutase GpmB	7576.15
UniRef50_A6TI09: Probable phosphoglycerate mutase GpmB|unclassified	7576.15
UniRef50_P43924: Pyruvate kinase	7556.25
UniRef50_P43924: Pyruvate kinase|unclassified	7556.25
UniRef50_UPI000463660C: enolase	7372.36
UniRef50_UPI000463660C: enolase|unclassified	7372.36
UniRef50_J2X6X7	6528.78
UniRef50_J2X6X7|unclassified	6528.78
UniRef50_W1ATU4	6261.4
UniRef50_W1ATU4|unclassified	6261.4
UniRef50_P00362: Glyceraldehyde-3-phosphate dehydrogenase	6257.64
UniRef50_P00362: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	6257.64
UniRef50_P0AD62: Pyruvate kinase I	6048.85
UniRef50_P0AD62: Pyruvate kinase I|unclassified	6048.85
UniRef50_W1A2A1	6046.68
UniRef50_W1A2A1|unclassified	6046.68
UniRef50_A7FGD3: Glucokinase	6018.82
UniRef50_A7FGD3: Glucokinase|unclassified	6018.82
UniRef50_A5FN12: Enolase	5871.37
UniRef50_A5FN12: Enolase|unclassified	5871.37
UniRef50_A7ZRX6: Uronate isomerase	5179.07
UniRef50_A7ZRX6: Uronate isomerase|unclassified	5179.07
UniRef50_P39160: D-mannonate oxidoreductase	5171.59
UniRef50_P39160: D-mannonate oxidoreductase|unclassified	5171.59
UniRef50_P0C0G7: Glyceraldehyde-3-phosphate dehydrogenase	5160.24
UniRef50_P0C0G7: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	5160.24
UniRef50_UPI0004658B84: aldehyde dehydrogenase, partial	5049.68
UniRef50_UPI0004658B84: aldehyde dehydrogenase, partial|unclassified	5049.68
UniRef50_P19926: Glucose-1-phosphatase	4941.68
UniRef50_P19926: Glucose-1-phosphatase|unclassified	4941.68
UniRef50_Q181T5: Enolase	4901.98
UniRef50_Q181T5: Enolase|unclassified	4901.98
UniRef50_A5F3A7: Aldehyde dehydrogenase	4761.84
UniRef50_A5F3A7: Aldehyde dehydrogenase|unclassified	4761.84
UniRef50_E0WT10: Co-factor independent phosphoglycerate mutase 2	4696.17
UniRef50_E0WT10: Co-factor independent phosphoglycerate mutase 2|unclassified	4696.17
UniRef50_P37685: Aldehyde dehydrogenase B	4690.96
UniRef50_P37685: Aldehyde dehydrogenase B|unclassified	4690.96
UniRef50_W1E4T7	4679.07
UniRef50_W1E4T7|unclassified	4679.07
UniRef50_P0A9C3: Aldose 1-epimerase	4434.98
UniRef50_P0A9C3: Aldose 1-epimerase|unclassified	4434.98
UniRef50_UPI00044229A8: PREDICTED: phosphoglycerate kinase, chloroplastic-like	4426.86
UniRef50_UPI00044229A8: PREDICTED: phosphoglycerate kinase, chloroplastic-like|unclassified	4426.86
UniRef50_P42604: Altronate dehydratase	4341.35
UniRef50_P42604: Altronate dehydratase|unclassified	4341.35
UniRef50_Q9PDT8: Enolase	4303.93
UniRef50_Q9PDT8: Enolase|unclassified	4303.93
UniRef50_W0YR40	4230.02
UniRef50_W0YR40|unclassified	4230.02
UniRef50_Q57039: 6-phosphogluconolactonase	4147.45
UniRef50_Q57039: 6-phosphogluconolactonase|unclassified	4147.45
UniRef50_B7LQ20: Glyceraldehyde-3-phosphate dehydrogenase A	4088.43
UniRef50_B7LQ20: Glyceraldehyde-3-phosphate dehydrogenase A|unclassified	4088.43
UniRef50_Q7VRG3: Phosphoglycerate kinase	4068.47
UniRef50_Q7VRG3: Phosphoglycerate kinase|unclassified	4068.47
UniRef50_O30853: Pyruvate kinase I (Fragment)	4021.05
UniRef50_O30853: Pyruvate kinase I (Fragment)|unclassified	4021.05
UniRef50_B5F623: Uronate isomerase	3966.01
UniRef50_B5F623: Uronate isomerase|unclassified	3966.01
UniRef50_P44481	3886.27
UniRef50_P44481|unclassified	3886.27
UniRef50_UPI0002B4A2D0: PREDICTED: altronate hydrolase-like, partial	3862.1
UniRef50_UPI0002B4A2D0: PREDICTED: altronate hydrolase-like, partial|unclassified	3862.1
UniRef50_H9KDJ0	3848.95
UniRef50_H9KDJ0|unclassified	3848.95
UniRef50_A0QWW2: Glyceraldehyde-3-phosphate dehydrogenase	3840.06
UniRef50_A0QWW2: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	3840.06
UniRef50_Q839H4: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	3500.19
UniRef50_Q839H4: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	3500.19
UniRef50_Q87AH8: Phosphoglycerate kinase	3442.74
UniRef50_Q87AH8: Phosphoglycerate kinase|unclassified	3442.74
UniRef50_O67161: Glyceraldehyde-3-phosphate dehydrogenase	3425.31
UniRef50_O67161: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	3425.31
UniRef50_K2MYX4	3422.21
UniRef50_K2MYX4|unclassified	3422.21
UniRef50_UPI00041EB2BE: enolase	3327.89
UniRef50_UPI00041EB2BE: enolase|unclassified	3327.89
UniRef50_W1WXZ1	3296.83
UniRef50_W1WXZ1|unclassified	3296.83
UniRef50_Q21S63: Phosphoglycerate kinase	3292.95
UniRef50_Q21S63: Phosphoglycerate kinase|unclassified	3292.95
UniRef50_Q8YIY0: Phosphoglycerate kinase	3289.36
UniRef50_Q8YIY0: Phosphoglycerate kinase|unclassified	3289.36
UniRef50_UPI00046A7212: hypothetical protein	3240.43
UniRef50_UPI00046A7212: hypothetical protein|unclassified	3240.43
UniRef50_UPI0004744C6E: hypothetical protein, partial	3205.63
UniRef50_UPI0004744C6E: hypothetical protein, partial|unclassified	3205.63
UniRef50_Q07637: Pyruvate kinase	3196.95
UniRef50_Q07637: Pyruvate kinase|unclassified	3196.95
UniRef50_B2GAM0: Enolase	3127.31
UniRef50_B2GAM0: Enolase|unclassified	3127.31
UniRef50_K8BTG1	3122.81
UniRef50_K8BTG1|unclassified	3122.81
UniRef50_P44304: Glyceraldehyde-3-phosphate dehydrogenase	3086.44
UniRef50_P44304: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	3086.44
UniRef50_P50319: Phosphoglycerate kinase, chromosomal	3064.68
UniRef50_P50319: Phosphoglycerate kinase, chromosomal|unclassified	3064.68
UniRef50_K8ACM9	3058.42
UniRef50_K8ACM9|unclassified	3058.42
UniRef50_B5F050: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	3001.64
UniRef50_B5F050: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	3001.64
UniRef50_UPI0000E0E9D6: pyruvate kinase	2952.72
UniRef50_UPI0000E0E9D6: pyruvate kinase|unclassified	2952.72
UniRef50_W7WT16	2947.02
UniRef50_W7WT16|unclassified	2947.02
UniRef50_E7G0X8: CarR protein	2904.62
UniRef50_E7G0X8: CarR protein|unclassified	2904.62
UniRef50_UPI0004701A70: enolase	2904.56
UniRef50_UPI0004701A70: enolase|unclassified	2904.56
UniRef50_P34918: Glyceraldehyde-3-phosphate dehydrogenase 3	2888.23
UniRef50_P34918: Glyceraldehyde-3-phosphate dehydrogenase 3|unclassified	2888.23
UniRef50_UPI0002EC15CB: hypothetical protein	2877.37
UniRef50_UPI0002EC15CB: hypothetical protein|unclassified	2877.37
UniRef50_C0RLW2: Mannonate dehydratase	2873.57
UniRef50_C0RLW2: Mannonate dehydratase|unclassified	2873.57
UniRef50_F3R1P5: ROK family protein	2860.81
UniRef50_F3R1P5: ROK family protein|unclassified	2860.81
UniRef50_UPI000468BEA2: hypothetical protein	2834.59
UniRef50_UPI000468BEA2: hypothetical protein|unclassified	2834.59
UniRef50_UPI000467D708: hypothetical protein	2795.97
UniRef50_UPI000467D708: hypothetical protein|unclassified	2795.97
