# Gene Family	SampleEntner-Doudoroff_Pathway_Abundance-RPKs
UNMAPPED	8759.0000000000
UniRef50_A7MQZ1	2883.4669245525
UniRef50_A7MQZ1|unclassified	2883.4669245525
UniRef50_P21599: Pyruvate kinase II	2649.7535779873
UniRef50_P21599: Pyruvate kinase II|unclassified	2649.7535779873
UniRef50_B5F621: Mannonate dehydratase	2618.7141282397
UniRef50_B5F621: Mannonate dehydratase|unclassified	2618.7141282397
UniRef50_A1AHE9: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2401.7799883138
UniRef50_A1AHE9: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	2401.7799883138
UniRef50_A6TI09: Probable phosphoglycerate mutase GpmB	2205.3966447714
UniRef50_A6TI09: Probable phosphoglycerate mutase GpmB|unclassified	2205.3966447714
UniRef50_P43924: Pyruvate kinase	2199.6043736265
UniRef50_P43924: Pyruvate kinase|unclassified	2199.6043736265
UniRef50_UPI000463660C: enolase	2146.0742194394
UniRef50_UPI000463660C: enolase|unclassified	2146.0742194394
UniRef50_J2X6X7	1900.5114774973
UniRef50_J2X6X7|unclassified	1900.5114774973
UniRef50_W1ATU4	1822.6767595360
UniRef50_W1ATU4|unclassified	1822.6767595360
UniRef50_P00362: Glyceraldehyde-3-phosphate dehydrogenase	1821.5813412889
UniRef50_P00362: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	1821.5813412889
UniRef50_P0AD62: Pyruvate kinase I	1760.8035858289
UniRef50_P0AD62: Pyruvate kinase I|unclassified	1760.8035858289
UniRef50_W1A2A1	1760.1724535560
UniRef50_W1A2A1|unclassified	1760.1724535560
UniRef50_A7FGD3: Glucokinase	1752.0623507590
UniRef50_A7FGD3: Glucokinase|unclassified	1752.0623507590
UniRef50_A5FN12: Enolase	1709.1411308591
UniRef50_A5FN12: Enolase|unclassified	1709.1411308591
UniRef50_A7ZRX6: Uronate isomerase	1507.6141955336
UniRef50_A7ZRX6: Uronate isomerase|unclassified	1507.6141955336
UniRef50_P39160: D-mannonate oxidoreductase	1505.4357253157
UniRef50_P39160: D-mannonate oxidoreductase|unclassified	1505.4357253157
UniRef50_P0C0G7: Glyceraldehyde-3-phosphate dehydrogenase	1502.1310556636
UniRef50_P0C0G7: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	1502.1310556636
UniRef50_UPI0004658B84: aldehyde dehydrogenase, partial	1469.9486559198
UniRef50_UPI0004658B84: aldehyde dehydrogenase, partial|unclassified	1469.9486559198
UniRef50_P19926: Glucose-1-phosphatase	1438.5106493676
UniRef50_P19926: Glucose-1-phosphatase|unclassified	1438.5106493676
UniRef50_Q181T5: Enolase	1426.9540428605
UniRef50_Q181T5: Enolase|unclassified	1426.9540428605
UniRef50_A5F3A7: Aldehyde dehydrogenase	1386.1578810401
UniRef50_A5F3A7: Aldehyde dehydrogenase|unclassified	1386.1578810401
UniRef50_E0WT10: Co-factor independent phosphoglycerate mutase 2	1367.0412254524
UniRef50_E0WT10: Co-factor independent phosphoglycerate mutase 2|unclassified	1367.0412254524
UniRef50_P37685: Aldehyde dehydrogenase B	1365.5248378579
UniRef50_P37685: Aldehyde dehydrogenase B|unclassified	1365.5248378579
UniRef50_W1E4T7	1362.0638649186
UniRef50_W1E4T7|unclassified	1362.0638649186
UniRef50_P0A9C3: Aldose 1-epimerase	1291.0096407797
UniRef50_P0A9C3: Aldose 1-epimerase|unclassified	1291.0096407797
UniRef50_UPI00044229A8: PREDICTED: phosphoglycerate kinase, chloroplastic-like	1288.6471992830
UniRef50_UPI00044229A8: PREDICTED: phosphoglycerate kinase, chloroplastic-like|unclassified	1288.6471992830
UniRef50_P42604: Altronate dehydratase	1263.7550921271
UniRef50_P42604: Altronate dehydratase|unclassified	1263.7550921271
UniRef50_Q9PDT8: Enolase	1252.8635092415
UniRef50_Q9PDT8: Enolase|unclassified	1252.8635092415
UniRef50_W0YR40	1231.3485538410
UniRef50_W0YR40|unclassified	1231.3485538410
UniRef50_Q57039: 6-phosphogluconolactonase	1207.3111743162
UniRef50_Q57039: 6-phosphogluconolactonase|unclassified	1207.3111743162
UniRef50_B7LQ20: Glyceraldehyde-3-phosphate dehydrogenase A	1190.1304035615
UniRef50_B7LQ20: Glyceraldehyde-3-phosphate dehydrogenase A|unclassified	1190.1304035615
UniRef50_Q7VRG3: Phosphoglycerate kinase	1184.3201346604
UniRef50_Q7VRG3: Phosphoglycerate kinase|unclassified	1184.3201346604
UniRef50_O30853: Pyruvate kinase I (Fragment)	1170.5155980658
UniRef50_O30853: Pyruvate kinase I (Fragment)|unclassified	1170.5155980658
UniRef50_B5F623: Uronate isomerase	1154.4948513926
UniRef50_B5F623: Uronate isomerase|unclassified	1154.4948513926
UniRef50_P44481	1131.2820483784
UniRef50_P44481|unclassified	1131.2820483784
UniRef50_UPI0002B4A2D0: PREDICTED: altronate hydrolase-like, partial	1124.2473755371
UniRef50_UPI0002B4A2D0: PREDICTED: altronate hydrolase-like, partial|unclassified	1124.2473755371
UniRef50_H9KDJ0	1120.4204408548
UniRef50_H9KDJ0|unclassified	1120.4204408548
UniRef50_A0QWW2: Glyceraldehyde-3-phosphate dehydrogenase	1117.8322490467
UniRef50_A0QWW2: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	1117.8322490467
UniRef50_Q839H4: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	1018.8971263472
UniRef50_Q839H4: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	1018.8971263472
UniRef50_Q87AH8: Phosphoglycerate kinase	1002.1729261444
UniRef50_Q87AH8: Phosphoglycerate kinase|unclassified	1002.1729261444
UniRef50_O67161: Glyceraldehyde-3-phosphate dehydrogenase	997.0998970024
UniRef50_O67161: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	997.0998970024
UniRef50_K2MYX4	996.1968305717
UniRef50_K2MYX4|unclassified	996.1968305717
UniRef50_UPI00041EB2BE: enolase	968.7404341038
UniRef50_UPI00041EB2BE: enolase|unclassified	968.7404341038
UniRef50_W1WXZ1	959.6988564523
UniRef50_W1WXZ1|unclassified	959.6988564523
UniRef50_Q21S63: Phosphoglycerate kinase	958.5686023432
UniRef50_Q21S63: Phosphoglycerate kinase|unclassified	958.5686023432
UniRef50_Q8YIY0: Phosphoglycerate kinase	957.5246831019
UniRef50_Q8YIY0: Phosphoglycerate kinase|unclassified	957.5246831019
UniRef50_UPI00046A7212: hypothetical protein	943.2796535749
UniRef50_UPI00046A7212: hypothetical protein|unclassified	943.2796535749
UniRef50_UPI0004744C6E: hypothetical protein, partial	933.1501994320
UniRef50_UPI0004744C6E: hypothetical protein, partial|unclassified	933.1501994320
UniRef50_Q07637: Pyruvate kinase	930.6234163865
UniRef50_Q07637: Pyruvate kinase|unclassified	930.6234163865
UniRef50_B2GAM0: Enolase	910.3502256998
UniRef50_B2GAM0: Enolase|unclassified	910.3502256998
UniRef50_K8BTG1	909.0406214925
UniRef50_K8BTG1|unclassified	909.0406214925
UniRef50_P44304: Glyceraldehyde-3-phosphate dehydrogenase	898.4553889398
UniRef50_P44304: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	898.4553889398
UniRef50_P50319: Phosphoglycerate kinase, chromosomal	892.1208953346
UniRef50_P50319: Phosphoglycerate kinase, chromosomal|unclassified	892.1208953346
UniRef50_K8ACM9	890.2970686778
UniRef50_K8ACM9|unclassified	890.2970686778
UniRef50_B5F050: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	873.7699630469
UniRef50_B5F050: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	873.7699630469
UniRef50_UPI0000E0E9D6: pyruvate kinase	859.5279867974
UniRef50_UPI0000E0E9D6: pyruvate kinase|unclassified	859.5279867974
UniRef50_W7WT16	857.8707771510
UniRef50_W7WT16|unclassified	857.8707771510
UniRef50_E7G0X8: CarR protein	845.5271972891
UniRef50_E7G0X8: CarR protein|unclassified	845.5271972891
UniRef50_UPI0004701A70: enolase	845.5087629942
UniRef50_UPI0004701A70: enolase|unclassified	845.5087629942
UniRef50_P34918: Glyceraldehyde-3-phosphate dehydrogenase 3	840.7574109080
UniRef50_P34918: Glyceraldehyde-3-phosphate dehydrogenase 3|unclassified	840.7574109080
UniRef50_UPI0002EC15CB: hypothetical protein	837.5945581198
UniRef50_UPI0002EC15CB: hypothetical protein|unclassified	837.5945581198
UniRef50_C0RLW2: Mannonate dehydratase	836.4898779665
UniRef50_C0RLW2: Mannonate dehydratase|unclassified	836.4898779665
UniRef50_F3R1P5: ROK family protein	832.7735195873
UniRef50_F3R1P5: ROK family protein|unclassified	832.7735195873
UniRef50_UPI000468BEA2: hypothetical protein	825.1418689584
UniRef50_UPI000468BEA2: hypothetical protein|unclassified	825.1418689584
UniRef50_UPI000467D708: hypothetical protein	813.8984451258
UniRef50_UPI000467D708: hypothetical protein|unclassified	813.8984451258
UniRef50_B9KEN0: Enolase	795.5506090534
UniRef50_B9KEN0: Enolase|unclassified	795.5506090534
UniRef50_UPI0003643D55: hypothetical protein, partial	793.2185336349
UniRef50_UPI0003643D55: hypothetical protein, partial|unclassified	793.2185336349
UniRef50_O34673: Altronate dehydratase	779.5324915988
UniRef50_O34673: Altronate dehydratase|unclassified	779.5324915988
UniRef50_B1JZ61: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	768.2629388332
UniRef50_B1JZ61: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	768.2629388332
UniRef50_A7FKP6: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	762.4078045003
UniRef50_A7FKP6: 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase|unclassified	762.4078045003
UniRef50_Q47826	760.8756115624
UniRef50_Q47826|unclassified	760.8756115624
UniRef50_W7WSG3	759.6181209366
UniRef50_W7WSG3|unclassified	759.6181209366
UniRef50_R6B1W4: Glyceraldehyde-3-phosphate dehydrogenase	754.4833551166
UniRef50_R6B1W4: Glyceraldehyde-3-phosphate dehydrogenase|unclassified	754.4833551166
UniRef50_UPI00029A3FDD: phosphoglyceromutase	743.1757728853
UniRef50_UPI00029A3FDD: phosphoglyceromutase|unclassified	743.1757728853
UniRef50_Q59931: NADP-dependent glyceraldehyde-3-phosphate dehydrogenase	742.7641988339
UniRef50_Q59931: NADP-dependent glyceraldehyde-3-phosphate dehydrogenase|unclassified	742.7641988339
