# Gene Family	SamplecAMP_signaling_in_bacteria_Abundance-CPM
UNMAPPED	223990
UniRef50_P00936: Adenylate cyclase	14860
UniRef50_P00936: Adenylate cyclase|unclassified	14860
UniRef50_P44685: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	8633.83
UniRef50_P44685: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	8633.83
UniRef50_Q8DEI1: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	8373.64
UniRef50_Q8DEI1: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	8373.64
UniRef50_UPI00046EF20B: hypothetical protein	6996.58
UniRef50_UPI00046EF20B: hypothetical protein|unclassified	6996.58
UniRef50_UPI0001912E33: adenylate cyclase, partial	6230.31
UniRef50_UPI0001912E33: adenylate cyclase, partial|unclassified	6230.31
UniRef50_UPI00046692A2: ArsR family transcriptional regulator	5812.55
UniRef50_UPI00046692A2: ArsR family transcriptional regulator|unclassified	5812.55
UniRef50_X2MHE1	5675.12
UniRef50_X2MHE1|unclassified	5675.12
UniRef50_UPI00046FF159: ArsR family transcriptional regulator	4521.94
UniRef50_UPI00046FF159: ArsR family transcriptional regulator|unclassified	4521.94
UniRef50_H8M025	3743.4
UniRef50_H8M025|unclassified	3743.4
UniRef50_UPI00037B42F5: activator of HSP90 ATPase	3731.81
UniRef50_UPI00037B42F5: activator of HSP90 ATPase|unclassified	3731.81
UniRef50_A7MWP5	3682.77
UniRef50_A7MWP5|unclassified	3682.77
UniRef50_UPI0003B4F9C7: transcriptional regulator	3621.12
UniRef50_UPI0003B4F9C7: transcriptional regulator|unclassified	3621.12
UniRef50_UPI0004747D3B: ArsR family transcriptional regulator	3619.9
UniRef50_UPI0004747D3B: ArsR family transcriptional regulator|unclassified	3619.9
UniRef50_UPI00037270E1: hypothetical protein	3615.74
UniRef50_UPI00037270E1: hypothetical protein|unclassified	3615.74
UniRef50_UPI00036C4B1A: hypothetical protein	3592.53
UniRef50_UPI00036C4B1A: hypothetical protein|unclassified	3592.53
UniRef50_X3UJW5	3260.19
UniRef50_X3UJW5|unclassified	3260.19
UniRef50_D4P095: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	3227.54
UniRef50_D4P095: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	3227.54
UniRef50_P40134: Adenylate cyclase	3185.7
UniRef50_P40134: Adenylate cyclase|unclassified	3185.7
UniRef50_UPI000309EEE3: adenylate cyclase	2980.23
UniRef50_UPI000309EEE3: adenylate cyclase|unclassified	2980.23
UniRef50_E8YJT7: Adenylate cyclase	2912.89
UniRef50_E8YJT7: Adenylate cyclase|unclassified	2912.89
UniRef50_A0A014LKU9	2829.77
UniRef50_A0A014LKU9|unclassified	2829.77
UniRef50_W0PN27: CYTH domain protein	2747.77
UniRef50_W0PN27: CYTH domain protein|unclassified	2747.77
UniRef50_G5LTU8: Adenylate cyclase	2699.15
UniRef50_G5LTU8: Adenylate cyclase|unclassified	2699.15
UniRef50_F0KXE3	2694.52
UniRef50_F0KXE3|unclassified	2694.52
UniRef50_UPI0002E42363: hypothetical protein	2636.85
UniRef50_UPI0002E42363: hypothetical protein|unclassified	2636.85
UniRef50_R4MH96: Adenylate cyclase	2612.34
UniRef50_R4MH96: Adenylate cyclase|unclassified	2612.34
UniRef50_A3NZP7: Adenylate cyclase	2585.46
UniRef50_A3NZP7: Adenylate cyclase|unclassified	2585.46
UniRef50_Q320T0: Diguanylate cyclase DosC	2517.63
UniRef50_Q320T0: Diguanylate cyclase DosC|unclassified	2517.63
UniRef50_UPI000368A522: hypothetical protein	2480.18
UniRef50_UPI000368A522: hypothetical protein|unclassified	2480.18
UniRef50_UPI0003687BE3: hypothetical protein	2440.36
UniRef50_UPI0003687BE3: hypothetical protein|unclassified	2440.36
UniRef50_UPI00046A45CC: ArsR family transcriptional regulator	2440.04
UniRef50_UPI00046A45CC: ArsR family transcriptional regulator|unclassified	2440.04
UniRef50_UPI0004793932: ArsR family transcriptional regulator	2407.7
UniRef50_UPI0004793932: ArsR family transcriptional regulator|unclassified	2407.7
UniRef50_UPI0003A7CEA0: ArsR family transcriptional regulator	2398.01
UniRef50_UPI0003A7CEA0: ArsR family transcriptional regulator|unclassified	2398.01
UniRef50_I2WL24: ATP-dependent Clp endopeptidase, proteolytic subunit ClpP domain protein	2378.56
UniRef50_I2WL24: ATP-dependent Clp endopeptidase, proteolytic subunit ClpP domain protein|unclassified	2378.56
UniRef50_UPI00037EC6BD: ArsR family transcriptional regulator	2372.12
UniRef50_UPI00037EC6BD: ArsR family transcriptional regulator|unclassified	2372.12
UniRef50_A0A011Q1J9: Helix-turn-helix domain protein	2363.07
UniRef50_A0A011Q1J9: Helix-turn-helix domain protein|unclassified	2363.07
UniRef50_T9FFT5	2317.57
UniRef50_T9FFT5|unclassified	2317.57
UniRef50_A0A056HU79	2291.89
UniRef50_A0A056HU79|unclassified	2291.89
UniRef50_C3SDK9: Oxygen sensing protein	2122.68
UniRef50_C3SDK9: Oxygen sensing protein|unclassified	2122.68
UniRef50_A0A046U716: Adenylate cyclase	2108.44
UniRef50_A0A046U716: Adenylate cyclase|unclassified	2108.44
UniRef50_R4M3K2	2106.31
UniRef50_R4M3K2|unclassified	2106.31
UniRef50_I2WA17: Mu-like prophage major head subunit gpT domain protein	2092.84
UniRef50_I2WA17: Mu-like prophage major head subunit gpT domain protein|unclassified	2092.84
UniRef50_W8GEZ6: Adenylate cyclase	2090.25
UniRef50_W8GEZ6: Adenylate cyclase|unclassified	2090.25
UniRef50_UPI0003609A7E: hypothetical protein	2074.4
UniRef50_UPI0003609A7E: hypothetical protein|unclassified	2074.4
UniRef50_A1WSG8: Putative cAMP phosphodiesterase	2069.2
UniRef50_A1WSG8: Putative cAMP phosphodiesterase|unclassified	2069.2
UniRef50_UPI0003753EFA: ArsR family transcriptional regulator	2052.51
UniRef50_UPI0003753EFA: ArsR family transcriptional regulator|unclassified	2052.51
UniRef50_I0G608: Transcriptional regulatory protein	2019.1
UniRef50_I0G608: Transcriptional regulatory protein|unclassified	2019.1
UniRef50_UPI00037A0480: hypothetical protein	2015.07
UniRef50_UPI00037A0480: hypothetical protein|unclassified	2015.07
UniRef50_Q8X8Z2	2005.84
UniRef50_Q8X8Z2|unclassified	2005.84
UniRef50_UPI00037825CE: hypothetical protein, partial	1997.91
UniRef50_UPI00037825CE: hypothetical protein, partial|unclassified	1997.91
UniRef50_X8E464	1991.82
UniRef50_X8E464|unclassified	1991.82
UniRef50_UPI0003699B1F: hypothetical protein	1981.49
UniRef50_UPI0003699B1F: hypothetical protein|unclassified	1981.49
UniRef50_UPI00035E2726: hypothetical protein	1969.38
UniRef50_UPI00035E2726: hypothetical protein|unclassified	1969.38
UniRef50_U5MM92: Adenylate cyclase	1873.94
UniRef50_U5MM92: Adenylate cyclase|unclassified	1873.94
