# Gene Family	SamplecAMP_signaling_in_bacteria_Abundance-RPKs
UNMAPPED	64360.0000000000
UniRef50_P00936: Adenylate cyclase	4269.7879299957
UniRef50_P00936: Adenylate cyclase|unclassified	4269.7879299957
UniRef50_P44685: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	2480.7963993935
UniRef50_P44685: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	2480.7963993935
UniRef50_Q8DEI1: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	2406.0327819108
UniRef50_Q8DEI1: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	2406.0327819108
UniRef50_UPI00046EF20B: hypothetical protein	2010.3581223345
UniRef50_UPI00046EF20B: hypothetical protein|unclassified	2010.3581223345
UniRef50_UPI0001912E33: adenylate cyclase, partial	1790.1805423286
UniRef50_UPI0001912E33: adenylate cyclase, partial|unclassified	1790.1805423286
UniRef50_UPI00046692A2: ArsR family transcriptional regulator	1670.1451812005
UniRef50_UPI00046692A2: ArsR family transcriptional regulator|unclassified	1670.1451812005
UniRef50_X2MHE1	1630.6564348766
UniRef50_X2MHE1|unclassified	1630.6564348766
UniRef50_UPI00046FF159: ArsR family transcriptional regulator	1299.3073201263
UniRef50_UPI00046FF159: ArsR family transcriptional regulator|unclassified	1299.3073201263
UniRef50_H8M025	1075.6077276845
UniRef50_H8M025|unclassified	1075.6077276845
UniRef50_UPI00037B42F5: activator of HSP90 ATPase	1072.2782791187
UniRef50_UPI00037B42F5: activator of HSP90 ATPase|unclassified	1072.2782791187
UniRef50_A7MWP5	1058.1869384799
UniRef50_A7MWP5|unclassified	1058.1869384799
UniRef50_UPI0003B4F9C7: transcriptional regulator	1040.4721487793
UniRef50_UPI0003B4F9C7: transcriptional regulator|unclassified	1040.4721487793
UniRef50_UPI0004747D3B: ArsR family transcriptional regulator	1040.1213741095
UniRef50_UPI0004747D3B: ArsR family transcriptional regulator|unclassified	1040.1213741095
UniRef50_UPI00037270E1: hypothetical protein	1038.9262070273
UniRef50_UPI00037270E1: hypothetical protein|unclassified	1038.9262070273
UniRef50_UPI00036C4B1A: hypothetical protein	1032.2577935648
UniRef50_UPI00036C4B1A: hypothetical protein|unclassified	1032.2577935648
UniRef50_X3UJW5	936.7647662485
UniRef50_X3UJW5|unclassified	936.7647662485
UniRef50_D4P095: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	927.3835939654
UniRef50_D4P095: 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA|unclassified	927.3835939654
UniRef50_P40134: Adenylate cyclase	915.3606220387
