# Gene Family	SampleCobalt-zinc-cadmium_resistance_Abundance-CPM
UNMAPPED	232061
UniRef50_B5QX27: Quinolinate synthase A	7596.82
UniRef50_B5QX27: Quinolinate synthase A|unclassified	7596.82
UniRef50_UPI0001910EB0: putative membrane transport protein, partial	6899.41
UniRef50_UPI0001910EB0: putative membrane transport protein, partial|unclassified	6899.41
UniRef50_A4G431: Quinolinate synthase A	5677.13
UniRef50_A4G431: Quinolinate synthase A|unclassified	5677.13
UniRef50_W7W5U6	5362.08
UniRef50_W7W5U6|unclassified	5362.08
UniRef50_Q9K105: Quinolinate synthase A	5191.52
UniRef50_Q9K105: Quinolinate synthase A|unclassified	5191.52
UniRef50_UPI0003A117DE: hypothetical protein	4950.18
UniRef50_UPI0003A117DE: hypothetical protein|unclassified	4950.18
UniRef50_UPI0003A853F7: cation transporter	4718.02
UniRef50_UPI0003A853F7: cation transporter|unclassified	4718.02
UniRef50_UPI00046D65B6: cation transporter	4235.61
UniRef50_UPI00046D65B6: cation transporter|unclassified	4235.61
UniRef50_UPI0003C7CFE3: hypothetical protein	3997.42
UniRef50_UPI0003C7CFE3: hypothetical protein|unclassified	3997.42
UniRef50_UPI0003EE5B77: hypothetical protein	3882.44
UniRef50_UPI0003EE5B77: hypothetical protein|unclassified	3882.44
UniRef50_UPI00037DB19D: hypothetical protein, partial	3577.96
UniRef50_UPI00037DB19D: hypothetical protein, partial|unclassified	3577.96
UniRef50_UPI0003A29BE8: hypothetical protein	3531.21
UniRef50_UPI0003A29BE8: hypothetical protein|unclassified	3531.21
UniRef50_UPI0002555DD4: quinolinate synthetase	3134.05
UniRef50_UPI0002555DD4: quinolinate synthetase|unclassified	3134.05
UniRef50_UPI0003FD4D75: MULTISPECIES: hypothetical protein	3052.34
UniRef50_UPI0003FD4D75: MULTISPECIES: hypothetical protein|unclassified	3052.34
UniRef50_Q1CAJ7: Hydroxyacylglutathione hydrolase	2985.18
UniRef50_Q1CAJ7: Hydroxyacylglutathione hydrolase|unclassified	2985.18
UniRef50_W7WKE8	2843.32
UniRef50_W7WKE8|unclassified	2843.32
UniRef50_V0PFM8: Aromatic amino acid exporter	2813.82
UniRef50_V0PFM8: Aromatic amino acid exporter|unclassified	2813.82
UniRef50_UPI0002483723: drug/metabolite exporter family transporter	2783.86
UniRef50_UPI0002483723: drug/metabolite exporter family transporter|unclassified	2783.86
UniRef50_UPI0001B413DA: cation transporter	2777.37
UniRef50_UPI0001B413DA: cation transporter|unclassified	2777.37
UniRef50_UPI00036EBC53: hypothetical protein	2739.41
UniRef50_UPI00036EBC53: hypothetical protein|unclassified	2739.41
UniRef50_UPI0002DDE848: hypothetical protein	2688.49
UniRef50_UPI0002DDE848: hypothetical protein|unclassified	2688.49
UniRef50_UPI0002BBACB7: multidrug efflux transport outer membrane protein EefC	2632.81
UniRef50_UPI0002BBACB7: multidrug efflux transport outer membrane protein EefC|unclassified	2632.81
UniRef50_UPI0001912344: copper/silver efflux system, membrane component, partial	2557.52
UniRef50_UPI0001912344: copper/silver efflux system, membrane component, partial|unclassified	2557.52
UniRef50_C2SQI9: Transcriptional regulator, MerR	2480.79
UniRef50_C2SQI9: Transcriptional regulator, MerR|unclassified	2480.79
UniRef50_F3WF04: Cation efflux system protein cusB domain protein	2464.1
UniRef50_F3WF04: Cation efflux system protein cusB domain protein|unclassified	2464.1
UniRef50_UPI000468AF24: cation diffusion facilitator family transporter, partial	2450.75
UniRef50_UPI000468AF24: cation diffusion facilitator family transporter, partial|unclassified	2450.75
UniRef50_A0A011QGY0	2450.56
UniRef50_A0A011QGY0|unclassified	2450.56
UniRef50_U5SE53	2423.5
UniRef50_U5SE53|unclassified	2423.5
UniRef50_UPI0003D793E8: hypothetical protein	2404.62
UniRef50_UPI0003D793E8: hypothetical protein|unclassified	2404.62
UniRef50_A8FFS2: Quinolinate synthase A	2402.74
UniRef50_A8FFS2: Quinolinate synthase A|unclassified	2402.74
UniRef50_UPI00035D2E27: transporter, partial	2390.36
UniRef50_UPI00035D2E27: transporter, partial|unclassified	2390.36
UniRef50_W1DMS0: Cation efflux system protein CusF	2381.01
UniRef50_W1DMS0: Cation efflux system protein CusF|unclassified	2381.01
UniRef50_UPI000380047C: hypothetical protein, partial	2369.54
UniRef50_UPI000380047C: hypothetical protein, partial|unclassified	2369.54
UniRef50_Q4MWM6	2360.09
UniRef50_Q4MWM6|unclassified	2360.09
UniRef50_A0A022FMN5: 4-amino-4-deoxy-L-arabinose transferase	2353.05
UniRef50_A0A022FMN5: 4-amino-4-deoxy-L-arabinose transferase|unclassified	2353.05
UniRef50_UPI0003A9EAA5: threonine transporter RhtB	2333.99
UniRef50_UPI0003A9EAA5: threonine transporter RhtB|unclassified	2333.99
UniRef50_UPI0003763CAD: hypothetical protein, partial	2245.2
UniRef50_UPI0003763CAD: hypothetical protein, partial|unclassified	2245.2
UniRef50_B8ISV4: Trans-aconitate 2-methyltransferase	2244.98
UniRef50_B8ISV4: Trans-aconitate 2-methyltransferase|unclassified	2244.98
UniRef50_UPI0003DE8BE2: PREDICTED: metal tolerance protein 12-like, partial	2166.85
UniRef50_UPI0003DE8BE2: PREDICTED: metal tolerance protein 12-like, partial|unclassified	2166.85
UniRef50_A0A011NRR8	2093.94
UniRef50_A0A011NRR8|unclassified	2093.94
UniRef50_W7WNH8	2057.67
UniRef50_W7WNH8|unclassified	2057.67
UniRef50_S5YUX6	2052.44
UniRef50_S5YUX6|unclassified	2052.44
UniRef50_UPI0003A8BB10: zinc transporter ZitB	2048.07
UniRef50_UPI0003A8BB10: zinc transporter ZitB|unclassified	2048.07
UniRef50_B7JYJ9: Quinolinate synthase A	1987.37
UniRef50_B7JYJ9: Quinolinate synthase A|unclassified	1987.37
UniRef50_A2C9Z7: Quinolinate synthase A	1985.08
UniRef50_A2C9Z7: Quinolinate synthase A|unclassified	1985.08
UniRef50_UPI00036A8CA0: hypothetical protein	1981.99
UniRef50_UPI00036A8CA0: hypothetical protein|unclassified	1981.99
UniRef50_UPI0003F71A15: cation transporter	1955.06
UniRef50_UPI0003F71A15: cation transporter|unclassified	1955.06
UniRef50_A0A011PMC7	1905.8
UniRef50_A0A011PMC7|unclassified	1905.8
UniRef50_K2DIN8	1902.28
UniRef50_K2DIN8|unclassified	1902.28
UniRef50_Q8XBY4: Sensor kinase CusS	1894.88
UniRef50_Q8XBY4: Sensor kinase CusS|unclassified	1894.88
UniRef50_UPI00037C95A2: hypothetical protein, partial	1888.46
UniRef50_UPI00037C95A2: hypothetical protein, partial|unclassified	1888.46
UniRef50_UPI0001E8BB0B: hypothetical protein	1838.45
UniRef50_UPI0001E8BB0B: hypothetical protein|unclassified	1838.45
UniRef50_V5G1L2: Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	1781.43
UniRef50_V5G1L2: Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family|unclassified	1781.43
UniRef50_B8H2F3: Quinolinate synthase A	1749.64
UniRef50_B8H2F3: Quinolinate synthase A|unclassified	1749.64
UniRef50_UPI00046A3BAF: transcriptional regulator, partial	1744.11
UniRef50_UPI00046A3BAF: transcriptional regulator, partial|unclassified	1744.11
UniRef50_UPI00035B3747: hypothetical protein	1735.47
UniRef50_UPI00035B3747: hypothetical protein|unclassified	1735.47
UniRef50_A0A011N659	1725.31
UniRef50_A0A011N659|unclassified	1725.31
UniRef50_UPI0001817172: putative cation efflux system transmembrane protein	1724.62
UniRef50_UPI0001817172: putative cation efflux system transmembrane protein|unclassified	1724.62
UniRef50_B2HNX5: Trans-aconitate 2-methyltransferase	1719.86
UniRef50_B2HNX5: Trans-aconitate 2-methyltransferase|unclassified	1719.86
UniRef50_F0GD16: RND family efflux transporter MFP subunit (Fragment)	1719.81
UniRef50_F0GD16: RND family efflux transporter MFP subunit (Fragment)|unclassified	1719.81
UniRef50_A9M6C1: Trans-aconitate 2-methyltransferase	1717.53
UniRef50_A9M6C1: Trans-aconitate 2-methyltransferase|unclassified	1717.53
UniRef50_B1T6E7	1715.69
UniRef50_B1T6E7|unclassified	1715.69
UniRef50_UPI000465122D: hypothetical protein, partial	1708.34
UniRef50_UPI000465122D: hypothetical protein, partial|unclassified	1708.34
UniRef50_F3FUU0: Secretion protein HlyD (Fragment)	1706.6
UniRef50_F3FUU0: Secretion protein HlyD (Fragment)|unclassified	1706.6
UniRef50_U3TUE5	1704.1
UniRef50_U3TUE5|unclassified	1704.1
UniRef50_UPI0003B47C34: cation transporter	1681.22
UniRef50_UPI0003B47C34: cation transporter|unclassified	1681.22
UniRef50_UPI00016ACEC6: cation efflux family protein	1681.14
UniRef50_UPI00016ACEC6: cation efflux family protein|unclassified	1681.14
UniRef50_F0GI95: Drug/metabolite transporter (DMT) superfamily permease (Fragment)	1673.78
UniRef50_F0GI95: Drug/metabolite transporter (DMT) superfamily permease (Fragment)|unclassified	1673.78
UniRef50_UPI00039D01F1: transcriptional regulator	1665.58
UniRef50_UPI00039D01F1: transcriptional regulator|unclassified	1665.58
UniRef50_Q6LN63: Hydroxyacylglutathione hydrolase	1658.16
