# Gene Family	SampleArginine_Biosynthesis_extended_Abundance-CPM
UNMAPPED	42457.2
UniRef50_UPI00037AA99C: hypothetical protein	11178.3
UniRef50_UPI00037AA99C: hypothetical protein|unclassified	11178.3
UniRef50_P57850: Arginine repressor	9924.09
UniRef50_P57850: Arginine repressor|unclassified	9924.09
UniRef50_A4YJX9: Argininosuccinate synthase	9860.68
UniRef50_A4YJX9: Argininosuccinate synthase|unclassified	9860.68
UniRef50_Q47VK9: Arginine repressor	8714.52
UniRef50_Q47VK9: Arginine repressor|unclassified	8714.52
UniRef50_R5WIQ1	8672.69
UniRef50_R5WIQ1|unclassified	8672.69
UniRef50_Q731B9: Arginine repressor	8311.35
UniRef50_Q731B9: Arginine repressor|unclassified	8311.35
UniRef50_Q8FAD6: Ornithine carbamoyltransferase	8190.27
UniRef50_Q8FAD6: Ornithine carbamoyltransferase|unclassified	8190.27
UniRef50_B7MI93: Acetylornithine deacetylase	7825.75
UniRef50_B7MI93: Acetylornithine deacetylase|unclassified	7825.75
UniRef50_P0C1A0: Argininosuccinate synthase (Fragment)	7448.33
UniRef50_P0C1A0: Argininosuccinate synthase (Fragment)|unclassified	7448.33
UniRef50_P59302: Acetylglutamate kinase	7345.48
UniRef50_P59302: Acetylglutamate kinase|unclassified	7345.48
UniRef50_P24532: Argininosuccinate synthase	6901.54
UniRef50_P24532: Argininosuccinate synthase|unclassified	6901.54
UniRef50_Q01322: Ornithine carbamoyltransferase (Fragment)	6463.89
UniRef50_Q01322: Ornithine carbamoyltransferase (Fragment)|unclassified	6463.89
UniRef50_Q1C8B1: Succinylornithine transaminase	6311.44
UniRef50_Q1C8B1: Succinylornithine transaminase|unclassified	6311.44
UniRef50_Q01323: Ornithine carbamoyltransferase (Fragment)	6193.76
UniRef50_Q01323: Ornithine carbamoyltransferase (Fragment)|unclassified	6193.76
UniRef50_Q7N8S4: Amino-acid acetyltransferase	5977.41
UniRef50_Q7N8S4: Amino-acid acetyltransferase|unclassified	5977.41
UniRef50_Q5PK75: N-acetyl-gamma-glutamyl-phosphate reductase	5793.44
UniRef50_Q5PK75: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	5793.44
UniRef50_Q8CU41: Ornithine carbamoyltransferase 1, catabolic	5429.02
UniRef50_Q8CU41: Ornithine carbamoyltransferase 1, catabolic|unclassified	5429.02
UniRef50_A8AQR1	5244.44
UniRef50_A8AQR1|unclassified	5244.44
UniRef50_A7Z7M0: Argininosuccinate synthase	4851.87
UniRef50_A7Z7M0: Argininosuccinate synthase|unclassified	4851.87
UniRef50_B7N653: Succinyl-diaminopimelate desuccinylase	4824.34
UniRef50_B7N653: Succinyl-diaminopimelate desuccinylase|unclassified	4824.34
UniRef50_Q9CLT9: Acetylornithine deacetylase	4794.81
UniRef50_Q9CLT9: Acetylornithine deacetylase|unclassified	4794.81
UniRef50_Q6AA77: Ornithine carbamoyltransferase	4444.24
UniRef50_Q6AA77: Ornithine carbamoyltransferase|unclassified	4444.24
UniRef50_B2S8N8: Argininosuccinate lyase	4411.92
UniRef50_B2S8N8: Argininosuccinate lyase|unclassified	4411.92
UniRef50_Q7WJI7: Argininosuccinate lyase	4300.01
UniRef50_Q7WJI7: Argininosuccinate lyase|unclassified	4300.01
UniRef50_Q9KNT6: N-acetyl-gamma-glutamyl-phosphate reductase	4287.94
UniRef50_Q9KNT6: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	4287.94
UniRef50_A0KLC8: Amino-acid acetyltransferase	4279.68
UniRef50_A0KLC8: Amino-acid acetyltransferase|unclassified	4279.68
UniRef50_G8LKZ7	4273.27
UniRef50_G8LKZ7|unclassified	4273.27
UniRef50_Q31H63: Argininosuccinate synthase	4218.65
UniRef50_Q31H63: Argininosuccinate synthase|unclassified	4218.65
UniRef50_Q6FFB2: Argininosuccinate lyase	4207.89
UniRef50_Q6FFB2: Argininosuccinate lyase|unclassified	4207.89
UniRef50_W7WS85	4118.41
UniRef50_W7WS85|unclassified	4118.41
UniRef50_B4TCQ6: Argininosuccinate lyase	4016.73
UniRef50_B4TCQ6: Argininosuccinate lyase|unclassified	4016.73
UniRef50_Q2YPH2: Ornithine carbamoyltransferase	3989.22
UniRef50_Q2YPH2: Ornithine carbamoyltransferase|unclassified	3989.22
UniRef50_Q59284: Succinyl-diaminopimelate desuccinylase	3913.34
UniRef50_Q59284: Succinyl-diaminopimelate desuccinylase|unclassified	3913.34
UniRef50_Q92L73: Argininosuccinate synthase	3856.68
UniRef50_Q92L73: Argininosuccinate synthase|unclassified	3856.68
UniRef50_UPI000169CBB0: argininosuccinate synthase	3789.05
UniRef50_UPI000169CBB0: argininosuccinate synthase|unclassified	3789.05
UniRef50_UPI0002F79B6B: N-acetylglutamate synthase	3784.76
UniRef50_UPI0002F79B6B: N-acetylglutamate synthase|unclassified	3784.76
UniRef50_Q2KZD0: Ornithine carbamoyltransferase	3739.08
UniRef50_Q2KZD0: Ornithine carbamoyltransferase|unclassified	3739.08
UniRef50_C0Z6S0: Argininosuccinate synthase	3673.95
