# Gene Family	SampleBacterial_Chemotaxis_Abundance-CPM
UNMAPPED	276186
UniRef50_UPI000377D90D: chemotaxis protein CheW, partial	11225.2
UniRef50_UPI000377D90D: chemotaxis protein CheW, partial|unclassified	11225.2
UniRef50_UPI0003C1325D: PREDICTED: hybrid signal transduction histidine kinase D-like	9687.73
UniRef50_UPI0003C1325D: PREDICTED: hybrid signal transduction histidine kinase D-like|unclassified	9687.73
UniRef50_P21824: Chemotaxis protein methyltransferase	8485.23
UniRef50_P21824: Chemotaxis protein methyltransferase|unclassified	8485.23
UniRef50_UPI00035EC538: hypothetical protein	6864.39
UniRef50_UPI00035EC538: hypothetical protein|unclassified	6864.39
UniRef50_W1WW43	6149.48
UniRef50_W1WW43|unclassified	6149.48
UniRef50_C6EBU6: Protein phosphatase CheZ	5995.53
UniRef50_C6EBU6: Protein phosphatase CheZ|unclassified	5995.53
UniRef50_B7LP17: Protein phosphatase CheZ	5898.71
UniRef50_B7LP17: Protein phosphatase CheZ|unclassified	5898.71
UniRef50_Q1C6W3: Chemotaxis response regulator protein-glutamate methylesterase	5712.47
UniRef50_Q1C6W3: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	5712.47
UniRef50_Q9KCB8: Chemotaxis protein methyltransferase	5484.62
UniRef50_Q9KCB8: Chemotaxis protein methyltransferase|unclassified	5484.62
UniRef50_Q8CL87	5068.66
UniRef50_Q8CL87|unclassified	5068.66
UniRef50_Q9KQ06: Chemotaxis protein methyltransferase 1	4989
UniRef50_Q9KQ06: Chemotaxis protein methyltransferase 1|unclassified	4989
UniRef50_I0VLP3	4787.21
UniRef50_I0VLP3|unclassified	4787.21
UniRef50_P09384: Chemotaxis protein CheA	4667.74
UniRef50_P09384: Chemotaxis protein CheA|unclassified	4667.74
UniRef50_UPI00037A66EF: hypothetical protein	4484.99
UniRef50_UPI00037A66EF: hypothetical protein|unclassified	4484.99
UniRef50_UPI0003C7D90B: chemotaxis protein CheV	4279.15
UniRef50_UPI0003C7D90B: chemotaxis protein CheV|unclassified	4279.15
UniRef50_Q9I6V7: Chemotaxis protein methyltransferase 2	3876.61
UniRef50_Q9I6V7: Chemotaxis protein methyltransferase 2|unclassified	3876.61
UniRef50_UPI0003EE58D9: hypothetical protein, partial	3708.97
UniRef50_UPI0003EE58D9: hypothetical protein, partial|unclassified	3708.97
UniRef50_UPI000419E803: chemotaxis protein CheW	3613.52
UniRef50_UPI000419E803: chemotaxis protein CheW|unclassified	3613.52
UniRef50_V1VMF0	3529.21
UniRef50_V1VMF0|unclassified	3529.21
UniRef50_UPI00047939C9: Fis family transcriptional regulator	3457.5
UniRef50_UPI00047939C9: Fis family transcriptional regulator|unclassified	3457.5
UniRef50_Q9XDE8: Chemotaxis protein methyltransferase	3418.28
UniRef50_Q9XDE8: Chemotaxis protein methyltransferase|unclassified	3418.28
UniRef50_UPI000468D24D: chemotaxis protein	3411.64
UniRef50_UPI000468D24D: chemotaxis protein|unclassified	3411.64
