# Gene Family	SampleCobalt-zinc-cadmium_resistance_Abundance-RPKs
UNMAPPED	57953.0000000000
UniRef50_B5QX27: Quinolinate synthase A	1897.1695431656
UniRef50_B5QX27: Quinolinate synthase A|unclassified	1897.1695431656
UniRef50_UPI0001910EB0: putative membrane transport protein, partial	1723.0046054249
UniRef50_UPI0001910EB0: putative membrane transport protein, partial|unclassified	1723.0046054249
UniRef50_A4G431: Quinolinate synthase A	1417.7617441459
UniRef50_A4G431: Quinolinate synthase A|unclassified	1417.7617441459
UniRef50_W7W5U6	1339.0829818399
UniRef50_W7W5U6|unclassified	1339.0829818399
UniRef50_Q9K105: Quinolinate synthase A	1296.4893114536
UniRef50_Q9K105: Quinolinate synthase A|unclassified	1296.4893114536
UniRef50_UPI0003A117DE: hypothetical protein	1236.2191955242
UniRef50_UPI0003A117DE: hypothetical protein|unclassified	1236.2191955242
UniRef50_UPI0003A853F7: cation transporter	1178.2405442608
UniRef50_UPI0003A853F7: cation transporter|unclassified	1178.2405442608
UniRef50_UPI00046D65B6: cation transporter	1057.7682705355
UniRef50_UPI00046D65B6: cation transporter|unclassified	1057.7682705355
UniRef50_UPI0003C7CFE3: hypothetical protein	998.2834144023
UniRef50_UPI0003C7CFE3: hypothetical protein|unclassified	998.2834144023
UniRef50_UPI0003EE5B77: hypothetical protein	969.5710746570
UniRef50_UPI0003EE5B77: hypothetical protein|unclassified	969.5710746570
UniRef50_UPI00037DB19D: hypothetical protein, partial	893.5321870296
UniRef50_UPI00037DB19D: hypothetical protein, partial|unclassified	893.5321870296
UniRef50_UPI0003A29BE8: hypothetical protein	881.8560065248
UniRef50_UPI0003A29BE8: hypothetical protein|unclassified	881.8560065248
UniRef50_UPI0002555DD4: quinolinate synthetase	782.6735465438
UniRef50_UPI0002555DD4: quinolinate synthetase|unclassified	782.6735465438
UniRef50_UPI0003FD4D75: MULTISPECIES: hypothetical protein	762.2674242561
UniRef50_UPI0003FD4D75: MULTISPECIES: hypothetical protein|unclassified	762.2674242561
UniRef50_Q1CAJ7: Hydroxyacylglutathione hydrolase	745.4965916998
UniRef50_Q1CAJ7: Hydroxyacylglutathione hydrolase|unclassified	745.4965916998
UniRef50_W7WKE8	710.0691116385
UniRef50_W7WKE8|unclassified	710.0691116385
UniRef50_V0PFM8: Aromatic amino acid exporter	702.7014637599
UniRef50_V0PFM8: Aromatic amino acid exporter|unclassified	702.7014637599
UniRef50_UPI0002483723: drug/metabolite exporter family transporter	695.2196057253
UniRef50_UPI0002483723: drug/metabolite exporter family transporter|unclassified	695.2196057253
UniRef50_UPI0001B413DA: cation transporter	693.5980572546
UniRef50_UPI0001B413DA: cation transporter|unclassified	693.5980572546
UniRef50_UPI00036EBC53: hypothetical protein	684.1200795528
UniRef50_UPI00036EBC53: hypothetical protein|unclassified	684.1200795528
UniRef50_UPI0002DDE848: hypothetical protein	671.4020171671
UniRef50_UPI0002DDE848: hypothetical protein|unclassified	671.4020171671
UniRef50_UPI0002BBACB7: multidrug efflux transport outer membrane protein EefC	657.4966310443
UniRef50_UPI0002BBACB7: multidrug efflux transport outer membrane protein EefC|unclassified	657.4966310443
UniRef50_UPI0001912344: copper/silver efflux system, membrane component, partial	638.6959125094
UniRef50_UPI0001912344: copper/silver efflux system, membrane component, partial|unclassified	638.6959125094
UniRef50_C2SQI9: Transcriptional regulator, MerR	619.5330746352
UniRef50_C2SQI9: Transcriptional regulator, MerR|unclassified	619.5330746352
UniRef50_F3WF04: Cation efflux system protein cusB domain protein	615.3640613006
UniRef50_F3WF04: Cation efflux system protein cusB domain protein|unclassified	615.3640613006
