# Gene Family	SampleAmmonia_assimilation_Abundance-CPM
UNMAPPED	126361
UniRef50_H9UVF3: PilL	40769.8
UniRef50_H9UVF3: PilL|unclassified	40769.8
UniRef50_UPI00047132A1: nitrogen regulatory protein P-II 1	40468.8
UniRef50_UPI00047132A1: nitrogen regulatory protein P-II 1|unclassified	40468.8
UniRef50_UPI0003B4EBBD: nitrogen regulatory protein P-II 1	34701
UniRef50_UPI0003B4EBBD: nitrogen regulatory protein P-II 1|unclassified	34701
UniRef50_K2GIA5	20434
UniRef50_K2GIA5|unclassified	20434
UniRef50_P09832: Glutamate synthase [NADPH] small chain	14792.5
UniRef50_P09832: Glutamate synthase [NADPH] small chain|unclassified	14792.5
UniRef50_UPI00036591B2: hypothetical protein	14724.3
UniRef50_UPI00036591B2: hypothetical protein|unclassified	14724.3
UniRef50_P09831: Glutamate synthase [NADPH] large chain	9695.17
UniRef50_P09831: Glutamate synthase [NADPH] large chain|unclassified	9695.17
UniRef50_UPI0004746A8A: ammonia channel protein, partial	8594.28
UniRef50_UPI0004746A8A: ammonia channel protein, partial|unclassified	8594.28
UniRef50_W1AGW8	8354.65
UniRef50_W1AGW8|unclassified	8354.65
UniRef50_V4R440: Glutamate synthase subunit beta	6739.74
UniRef50_V4R440: Glutamate synthase subunit beta|unclassified	6739.74
UniRef50_R4MBY5	6682.27
UniRef50_R4MBY5|unclassified	6682.27
UniRef50_UPI000181692F: probable ammonium transporter (partial sequence c terminus) protein	6212.42
UniRef50_UPI000181692F: probable ammonium transporter (partial sequence c terminus) protein|unclassified	6212.42
UniRef50_UPI00037A9346: hypothetical protein	5873.31
UniRef50_UPI00037A9346: hypothetical protein|unclassified	5873.31
UniRef50_Q667I7: Bifunctional uridylyltransferase/uridylyl-removing enzyme	5754.76
UniRef50_Q667I7: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	5754.76
UniRef50_P0A2E0: Nitrogen regulation protein NR(II)	5549.7
UniRef50_P0A2E0: Nitrogen regulation protein NR(II)|unclassified	5549.7
UniRef50_K8B134	5541.88
UniRef50_K8B134|unclassified	5541.88
UniRef50_Q3JWI9: PilL	5426.58
UniRef50_Q3JWI9: PilL|unclassified	5426.58
UniRef50_UPI0003810EE7: hypothetical protein	5342.39
UniRef50_UPI0003810EE7: hypothetical protein|unclassified	5342.39
UniRef50_N2RDZ5: Pyridine nucleotide-disulfide oxidoreductase family protein	5284.25
UniRef50_N2RDZ5: Pyridine nucleotide-disulfide oxidoreductase family protein|unclassified	5284.25
UniRef50_P9WN18: Glutamate synthase [NADPH] small chain	5267
UniRef50_P9WN18: Glutamate synthase [NADPH] small chain|unclassified	5267
UniRef50_K8AXC3	5166.42
UniRef50_K8AXC3|unclassified	5166.42
UniRef50_UPI000467A336: glutamate synthase, partial	5077.75
UniRef50_UPI000467A336: glutamate synthase, partial|unclassified	5077.75
UniRef50_L0ZZR3	5038.82
UniRef50_L0ZZR3|unclassified	5038.82
UniRef50_UPI0004660560: membrane protein, partial	5012.01
UniRef50_UPI0004660560: membrane protein, partial|unclassified	5012.01
UniRef50_UPI0003656724: hypothetical protein, partial	4834.35
UniRef50_UPI0003656724: hypothetical protein, partial|unclassified	4834.35
UniRef50_UPI00037CAA58: hypothetical protein	4805.13
UniRef50_UPI00037CAA58: hypothetical protein|unclassified	4805.13
UniRef50_O34399: Glutamate synthase [NADPH] small chain	4801.73
UniRef50_O34399: Glutamate synthase [NADPH] small chain|unclassified	4801.73
UniRef50_B6I424: Glutamate-ammonia-ligase adenylyltransferase	4709.98
UniRef50_B6I424: Glutamate-ammonia-ligase adenylyltransferase|unclassified	4709.98
UniRef50_UPI0003756D2D: hypothetical protein, partial	4697.63
UniRef50_UPI0003756D2D: hypothetical protein, partial|unclassified	4697.63
UniRef50_UPI00047168DF: hypothetical protein, partial	4489.71
UniRef50_UPI00047168DF: hypothetical protein, partial|unclassified	4489.71
